category,pageid,work_title,page_title,work_folder,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page,wenyan_mode,wenyan_score,wenyan_label,wenyan_chars,wenyan_modern_density,wenyan_classical_density,wenyan_avg_sentence_len,wenyan_is_poetry,wenyan_short_text
中華民國公有領域,17110,中華民國第十任總統就職演說,中華民國第十任總統就職演說,中華民國第十任總統就職演說,1,scrape_output\raw\中華民國公有領域\中華民國第十任總統就職演說\中華民國第十任總統就職演說__juan_01.txt,scrape_output\clean\中華民國公有領域\中華民國第十任總統就職演說\中華民國第十任總統就職演說__juan_01.txt,5963,5916,0,separate,0.017094774136403867,wenyan-like,5645,0.10434012400354296,0.015057573073516387,37.02013422818792,0,0
中華民國公有領域,1158067,中華民國第十六任總統就職演說,中華民國第十六任總統就職演說,中華民國第十六任總統就職演說,1,scrape_output\raw\中華民國公有領域\中華民國第十六任總統就職演說\中華民國第十六任總統就職演說__juan_01.txt,scrape_output\clean\中華民國公有領域\中華民國第十六任總統就職演說\中華民國第十六任總統就職演說__juan_01.txt,5927,5832,0,separate,0.07926720285969616,wenyan-like,5595,0.08275245755138516,0.013762287756925827,34.575949367088604,0,0
中華民國公有領域,200614,中華民國第十四任總統就職演說,中華民國第十四任總統就職演說,中華民國第十四任總統就職演說,1,scrape_output\suspected_baihua\raw\中華民國公有領域\中華民國第十四任總統就職演說\中華民國第十四任總統就職演說__juan_01.txt,scrape_output\suspected_baihua\clean\中華民國公有領域\中華民國第十四任總統就職演說\中華民國第十四任總統就職演說__juan_01.txt,6795,6679,0,separate,-0.026224694792149617,baihua-like,6471,0.11636532220676866,0.011435635914078195,27.232758620689655,0,0
中華民國公有領域,196651,中華民國第四任總統就職演說,中華民國第四任總統就職演說,中華民國第四任總統就職演說,1,scrape_output\raw\中華民國公有領域\中華民國第四任總統就職演說\中華民國第四任總統就職演說__juan_01.txt,scrape_output\clean\中華民國公有領域\中華民國第四任總統就職演說\中華民國第四任總統就職演說__juan_01.txt,4254,4211,0,separate,0.12288094071533559,wenyan-like,4082,0.08206761391474768,0.03454189122978932,44.120879120879124,0,0
中華民國公有領域,1066780,中華民國臨時副總統為會師兜剿白朗各隊伍應否責成一軍致大總統函,中華民國臨時副總統為會師兜剿白朗各隊伍應否責成一軍致大總統函,中華民國臨時副總統為會師兜剿白朗各隊伍應否責成一軍致大總統函,1,scrape_output\raw\中華民國公有領域\中華民國臨時副總統為會師兜剿白朗各隊伍應否責成一軍致大總統函\中華民國臨時副總統為會師兜剿白朗各隊伍應否責成一軍致大總統函__juan_01.txt,scrape_output\clean\中華民國公有領域\中華民國臨時副總統為會師兜剿白朗各隊伍應否責成一軍致大總統函\中華民國臨時副總統為會師兜剿白朗各隊伍應否責成一軍致大總統函__juan_01.txt,823,778,0,separate,0.1260900140646976,wenyan-like,711,0.02390998593530239,0.02390998593530239,16.804878048780488,0,0
中華民國公有領域,871061,中華民國與尼日共和國恢復外交關係聯合公報,中華民國與尼日共和國恢復外交關係聯合公報,中華民國與尼日共和國恢復外交關係聯合公報,1,scrape_output\suspected_baihua\raw\中華民國公有領域\中華民國與尼日共和國恢復外交關係聯合公報\中華民國與尼日共和國恢復外交關係聯合公報__juan_01.txt,scrape_output\suspected_baihua\clean\中華民國公有領域\中華民國與尼日共和國恢復外交關係聯合公報\中華民國與尼日共和國恢復外交關係聯合公報__juan_01.txt,550,507,0,separate,-0.03603603603603603,baihua-like,444,0.03153153153153153,0.02927927927927928,13.903225806451612,0,0
中華民國公有領域,891796,中華民國與聖露西亞恢復外交關係聯合公報,中華民國與聖露西亞恢復外交關係聯合公報,中華民國與聖露西亞恢復外交關係聯合公報,1,scrape_output\suspected_baihua\raw\中華民國公有領域\中華民國與聖露西亞恢復外交關係聯合公報\中華民國與聖露西亞恢復外交關係聯合公報__juan_01.txt,scrape_output\suspected_baihua\clean\中華民國公有領域\中華民國與聖露西亞恢復外交關係聯合公報\中華民國與聖露西亞恢復外交關係聯合公報__juan_01.txt,520,460,0,separate,-0.045112781954887216,baihua-like,399,0.03508771929824561,0.03007518796992481,12.933333333333334,0,0
中華民國公有領域,1086239,中華民國與英商克里斯浦銀行團借款合同,中華民國與英商克里斯浦銀行團借款合同,中華民國與英商克里斯浦銀行團借款合同,1,scrape_output\suspected_baihua\raw\中華民國公有領域\中華民國與英商克里斯浦銀行團借款合同\中華民國與英商克里斯浦銀行團借款合同__juan_01.txt,scrape_output\suspected_baihua\clean\中華民國公有領域\中華民國與英商克里斯浦銀行團借款合同\中華民國與英商克里斯浦銀行團借款合同__juan_01.txt,1422,1379,0,separate,-0.018619084561675728,baihua-like,1289,0.027928626842513578,0.032583397982932506,11.055045871559633,0,0
中華民國公有領域,111476,中華民國與蘇維埃社會主義共和國聯邦關於中國長春鐵路之協定,中華民國與蘇維埃社會主義共和國聯邦關於中國長春鐵路之協定,中華民國與蘇維埃社會主義共和國聯邦關於中國長春鐵路之協定,1,scrape_output\raw\中華民國公有領域\中華民國與蘇維埃社會主義共和國聯邦關於中國長春鐵路之協定\中華民國與蘇維埃社會主義共和國聯邦關於中國長春鐵路之協定__juan_01.txt,scrape_output\clean\中華民國公有領域\中華民國與蘇維埃社會主義共和國聯邦關於中國長春鐵路之協定\中華民國與蘇維埃社會主義共和國聯邦關於中國長春鐵路之協定__juan_01.txt,2473,2422,0,separate,0.02120315581854043,wenyan-like,2028,0.016272189349112426,0.035009861932938854,14.119718309859154,0,0
中華民國公有領域,871063,中華民國與貝里斯建立外交關係聯合公報,中華民國與貝里斯建立外交關係聯合公報,中華民國與貝里斯建立外交關係聯合公報,1,scrape_output\suspected_baihua\raw\中華民國公有領域\中華民國與貝里斯建立外交關係聯合公報\中華民國與貝里斯建立外交關係聯合公報__juan_01.txt,scrape_output\suspected_baihua\clean\中華民國公有領域\中華民國與貝里斯建立外交關係聯合公報\中華民國與貝里斯建立外交關係聯合公報__juan_01.txt,540,497,0,separate,-0.03211009174311927,baihua-like,436,0.03211009174311927,0.03211009174311927,14.133333333333333,0,0
中華民國公有領域,871062,中華民國與賴比瑞亞共和國恢復外交關係聯合公報,中華民國與賴比瑞亞共和國恢復外交關係聯合公報,中華民國與賴比瑞亞共和國恢復外交關係聯合公報,1,scrape_output\suspected_baihua\raw\中華民國公有領域\中華民國與賴比瑞亞共和國恢復外交關係聯合公報\中華民國與賴比瑞亞共和國恢復外交關係聯合公報__juan_01.txt,scrape_output\suspected_baihua\clean\中華民國公有領域\中華民國與賴比瑞亞共和國恢復外交關係聯合公報\中華民國與賴比瑞亞共和國恢復外交關係聯合公報__juan_01.txt,582,539,0,separate,-0.02521008403361344,baihua-like,476,0.029411764705882353,0.031512605042016806,14.935483870967742,0,0
中華民國公有領域,870085,中華民國與馬其頓共和國建立外交關係聯合公報,中華民國與馬其頓共和國建立外交關係聯合公報,中華民國與馬其頓共和國建立外交關係聯合公報,1,scrape_output\raw\中華民國公有領域\中華民國與馬其頓共和國建立外交關係聯合公報\中華民國與馬其頓共和國建立外交關係聯合公報__juan_01.txt,scrape_output\clean\中華民國公有領域\中華民國與馬其頓共和國建立外交關係聯合公報\中華民國與馬其頓共和國建立外交關係聯合公報__juan_01.txt,636,593,0,separate,0.1386363636363636,wenyan-like,528,0.026515151515151516,0.03409090909090909,16.0625,0,0
中華民國公有領域,1213632,中華民國與馬拉加西聯合公報,中華民國與馬拉加西聯合公報,中華民國與馬拉加西聯合公報,1,scrape_output\raw\中華民國公有領域\中華民國與馬拉加西聯合公報\中華民國與馬拉加西聯合公報__juan_01.txt,scrape_output\clean\中華民國公有領域\中華民國與馬拉加西聯合公報\中華民國與馬拉加西聯合公報__juan_01.txt,1041,998,0,separate,0.15,wenyan-like,894,0.024608501118568233,0.03691275167785235,18.574468085106382,0,0
中華民國公有領域,871064,中華民國與馬紹爾群島共和國建立外交關係聯合公報,中華民國與馬紹爾群島共和國建立外交關係聯合公報,中華民國與馬紹爾群島共和國建立外交關係聯合公報,1,scrape_output\raw\中華民國公有領域\中華民國與馬紹爾群島共和國建立外交關係聯合公報\中華民國與馬紹爾群島共和國建立外交關係聯合公報__juan_01.txt,scrape_output\clean\中華民國公有領域\中華民國與馬紹爾群島共和國建立外交關係聯合公報\中華民國與馬紹爾群島共和國建立外交關係聯合公報__juan_01.txt,589,546,0,separate,0.1251552795031056,wenyan-like,483,0.028985507246376812,0.031055900621118012,15.161290322580646,0,0
中華民國公有領域,182440,中華民國蘇維埃社會主義共和國聯邦互不侵犯條約,中華民國蘇維埃社會主義共和國聯邦互不侵犯條約,中華民國蘇維埃社會主義共和國聯邦互不侵犯條約,1,scrape_output\raw\中華民國公有領域\中華民國蘇維埃社會主義共和國聯邦互不侵犯條約\中華民國蘇維埃社會主義共和國聯邦互不侵犯條約__juan_01.txt,scrape_output\clean\中華民國公有領域\中華民國蘇維埃社會主義共和國聯邦互不侵犯條約\中華民國蘇維埃社會主義共和國聯邦互不侵犯條約__juan_01.txt,1129,1086,0,separate,0.10525494276795004,wenyan-like,961,0.036420395421436005,0.03225806451612903,22.13953488372093,0,0
中華民國公有領域,107425,中華民國蘇維埃社會主義共和國聯邦友好同盟條約,中華民國蘇維埃社會主義共和國聯邦友好同盟條約/換文,中華民國蘇維埃社會主義共和國聯邦友好同盟條約,1,scrape_output\raw\中華民國公有領域\中華民國蘇維埃社會主義共和國聯邦友好同盟條約\中華民國蘇維埃社會主義共和國聯邦友好同盟條約__juan_01.txt,scrape_output\clean\中華民國公有領域\中華民國蘇維埃社會主義共和國聯邦友好同盟條約\中華民國蘇維埃社會主義共和國聯邦友好同盟條約__juan_01.txt,1460,1407,0,separate,0.007299270072992706,wenyan-like,1233,0.0186536901865369,0.031630170316301706,14.452380952380953,0,0
中華民國公有領域,107424,中華民國蘇維埃社會主義共和國聯邦友好同盟條約及其他有關文件,中華民國蘇維埃社會主義共和國聯邦友好同盟條約及其他有關文件,中華民國蘇維埃社會主義共和國聯邦友好同盟條約及其他有關文件,1,scrape_output\suspected_baihua\raw\中華民國公有領域\中華民國蘇維埃社會主義共和國聯邦友好同盟條約及其他有關文件\中華民國蘇維埃社會主義共和國聯邦友好同盟條約及其他有關文件__juan_01.txt,scrape_output\suspected_baihua\clean\中華民國公有領域\中華民國蘇維埃社會主義共和國聯邦友好同盟條約及其他有關文件\中華民國蘇維埃社會主義共和國聯邦友好同盟條約及其他有關文件__juan_01.txt,577,528,0,separate,-0.033039647577092504,baihua-like,454,0.03303964757709251,0.03303964757709251,11.384615384615385,0,0
