work_key,author,source_site,page_title,page_url,birth_year,death_year,target,decision_reason,extraction_method,song_context,evidence_text,status
不詳/平泉草木記跋,葉夢得,wikisource,Author:葉夢得,https://zh.wikisource.org/wiki/Author:%E8%91%89%E5%A4%A2%E5%BE%97,1077,1148,南宋,death_year_1148_gt_1127,categories,True,1077年出生；1148年逝世,resolved
不詳/廣大發願頌,龍樹菩薩,wikisource,Author:龍樹菩薩,https://zh.wikisource.org/wiki/Author:%E9%BE%8D%E6%A8%B9%E8%8F%A9%E8%96%A9,,,,not_song_context,no_dates,False,,rejected_non_song_or_disambiguation
不詳/廣大發願頌,龍樹菩薩,wikipedia,龍樹,https://zh.wikipedia.org/wiki/%E9%BE%8D%E6%A8%B9,,,,not_song_context,no_dates,False,,rejected_non_song_or_disambiguation
不詳/彥周詩話,許顗,wikisource,,,,,,,,False,,missing_page
不詳/彥周詩話,許顗,wikisource,,,,,,,,False,,missing_page
不詳/彥周詩話,許顗,wikipedia,許顗,https://zh.wikipedia.org/wiki/%E8%A8%B1%E9%A1%97,,,,insufficient_date_evidence,no_dates,True,,no_usable_date
不詳/後山詩話,陳師道,wikisource,Author:陳師道,https://zh.wikisource.org/wiki/Author:%E9%99%B3%E5%B8%AB%E9%81%93,1053,1101,北宋,death_year_1101_le_1127,categories,True,1053年出生；1101年逝世,resolved
不詳/從駕記,陳隨隱,wikisource,,,,,,,,False,,missing_page
不詳/從駕記,陳隨隱,wikisource,,,,,,,,False,,missing_page
不詳/從駕記,陳隨隱,wikipedia,,,,,,,,False,,missing_page
不詳/御書屯田三事跋,岳飛,wikisource,Author:岳飛,https://zh.wikisource.org/wiki/Author:%E5%B2%B3%E9%A3%9B,1103,1142,南宋,death_year_1142_gt_1127,categories,True,1103年出生；1142年逝世,resolved
不詳/復西京長水縣捷奏,岳飛,wikisource,Author:岳飛,https://zh.wikisource.org/wiki/Author:%E5%B2%B3%E9%A3%9B,1103,1142,南宋,death_year_1142_gt_1127,categories,True,1103年出生；1142年逝世,resolved
不詳/復雅歌詞,鮦陽居士,wikisource,,,,,,,,False,,missing_page
不詳/復雅歌詞,鮦陽居士,wikisource,,,,,,,,False,,missing_page
不詳/復雅歌詞,鮦陽居士,wikipedia,,,,,,,,False,,missing_page
不詳/微招 (梅),梅,wikisource,,,,,,,,False,,missing_page
不詳/微招 (梅),梅,wikisource,,,,,,,,False,,missing_page
不詳/微招 (梅),梅,wikipedia,梅,https://zh.wikipedia.org/wiki/%E6%A2%85,,,,not_song_context,no_dates,False,,rejected_non_song_or_disambiguation
不詳/德隅齋畫品,李廌,wikisource,Author:李廌,https://zh.wikisource.org/wiki/Author:%E6%9D%8E%E5%BB%8C,1059,1109,北宋,death_year_1109_le_1127,categories,True,1059年出生；1109年逝世,resolved
不詳/念奴嬌 (李億),李億,wikisource,,,,,,,,False,,missing_page
不詳/念奴嬌 (李億),李億,wikisource,,,,,,,,False,,missing_page
不詳/念奴嬌 (李億),李億,wikipedia,,,,,,,,False,,missing_page
不詳/思古堂,劉濤,wikisource,Author:劉濤,https://zh.wikisource.org/wiki/Author:%E5%8A%89%E6%BF%A4,,,,insufficient_date_evidence,no_dates,True,,no_usable_date
不詳/思古堂,劉濤,wikipedia,刘涛,https://zh.wikipedia.org/wiki/%E5%88%98%E6%B6%9B,,,,not_song_context,no_dates,False,,rejected_non_song_or_disambiguation
不詳/思歸舊隠,周敦頤,wikisource,Author:周敦頤,https://zh.wikisource.org/wiki/Author:%E5%91%A8%E6%95%A6%E9%A0%A4,1017,1073,北宋,death_year_1073_le_1127,categories,True,1017年出生；1073年逝世,resolved
不詳/思陵翰墨志,高宗皇帝,wikisource,,,,,,,,False,,missing_page
不詳/思陵翰墨志,高宗皇帝,wikisource,,,,,,,,False,,missing_page
不詳/思陵翰墨志,高宗皇帝,wikipedia,高宗,https://zh.wikipedia.org/wiki/%E9%AB%98%E5%AE%97,,,,not_song_context,no_dates,False,,rejected_non_song_or_disambiguation
不詳/愛日齋叢抄,葉釐,wikisource,Author:葉釐,https://zh.wikisource.org/wiki/Author:%E8%91%89%E9%87%90,,,,insufficient_date_evidence,no_dates,True,,no_usable_date
不詳/愛日齋叢抄,葉釐,wikipedia,,,,,,,,False,,missing_page
不詳/感皇恩 (趙企),趙企,wikisource,,,,,,,,False,,missing_page
不詳/感皇恩 (趙企),趙企,wikisource,,,,,,,,False,,missing_page
不詳/感皇恩 (趙企),趙企,wikipedia,,,,,,,,False,,missing_page
不詳/慶全庵桃花,謝枋得,wikisource,,,,,,,,False,,missing_page
不詳/慶全庵桃花,謝枋得,wikisource,,,,,,,,False,,missing_page
不詳/慶全庵桃花,謝枋得,wikipedia,謝枋得,https://zh.wikipedia.org/wiki/%E8%AC%9D%E6%9E%8B%E5%BE%97,1226,1289,南宋,death_year_1289_gt_1127,categories,True,1226年出生；1289年逝世,resolved
