priority,reason,work_key,authors,unresolved_authors,resolved_targets,file_count,titles,target,note
low,no_author_candidate,不詳/兩漢筆記,,,,12,兩漢筆記 | 兩漢筆記__juan_01.txt | 兩漢筆記/卷一 | 兩漢筆記__juan_02.txt | 兩漢筆記/卷二 | 兩漢筆記__juan_03.txt,,
low,one_or_more_authors_have_no_usable_date,不詳/六十頌如理論,龍樹菩薩,龍樹菩薩,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/劉氏菊譜,劉蒙,劉蒙,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/北牕炙輠錄,左思,左思,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/北狩見聞録,曹勳,曹勳,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/十七史百將傳,張預,張預,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/十歲時遊寺賦詩,吳敏,吳敏,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/十誦羯磨比丘要用,釋僧璩,釋僧璩,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/南嶽九真人傳,廖侁,廖侁,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/南嶽總勝集,陳田夫,陳田夫,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/南浦 (程垓),程垓,程垓,,1,,,
low,no_author_candidate,不詳/南華真經口義,,,,32,南華真經口義 | 南華真經口義__juan_01.txt | 南華真經口義/1 | 南華真經口義__juan_02.txt | 南華真經口義/10 | 南華真經口義__juan_03.txt,,
low,one_or_more_authors_have_no_usable_date,不詳/南華竹軒题诗,葛敏修,葛敏修,,1,,,
low,no_author_candidate,不詳/南部新書,,,,10,南部新書 | 南部新書__juan_01.txt | 南部新書/丁卷 | 南部新書__juan_02.txt | 南部新書/丙卷 | 南部新書__juan_03.txt,,
low,no_author_candidate,不詳/博濟方,,,,5,博濟方 | 博濟方__juan_01.txt | 博濟方/卷一 | 博濟方__juan_02.txt | 博濟方/卷二 | 博濟方__juan_03.txt,,
low,one_or_more_authors_have_no_usable_date,不詳/厚德錄,李元綱,李元綱,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/友會談叢,上官融,上官融,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/叢林公論,惠彬,惠彬,,1,,,
low,no_author_candidate,不詳/古今事文類聚外集,,,,1,古今事文類聚外集 | 古今事文類聚外集__juan_01.txt | 古今事文類聚外集/卷一,,
low,one_or_more_authors_have_no_usable_date,不詳/古今紀要逸編,黃震,黃震,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/史氏菊譜,史正志,史正志,,1,,,
low,no_author_candidate,不詳/史載之方,,,,1,史載之方 | 史載之方__juan_01.txt | 史載之方/卷上,,
low,no_author_candidate,不詳/吳越備史,,,,4,吳越備史 | 吳越備史__juan_01.txt | 吳越備史/卷1 | 吳越備史__juan_02.txt | 吳越備史/卷2 | 吳越備史__juan_03.txt,,
low,one_or_more_authors_have_no_usable_date,不詳/咏玉环,曾覿,曾覿,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/品茶要錄,黄儒,黄儒,,1,,,
low,no_author_candidate,不詳/唐子西文錄,,,,1,唐子西文錄 | 唐子西文錄__juan_01.txt,,
low,no_author_candidate,不詳/唐鑑,,,,24,唐鑑 | 唐鑑__juan_01.txt | 唐鑑/卷一 | 唐鑑__juan_02.txt | 唐鑑/卷二 | 唐鑑__juan_03.txt,,
low,one_or_more_authors_have_no_usable_date,不詳/喜遷鶯 (吳禮之),吳禮之,吳禮之,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/嘉禾百詠,張堯,張堯,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/嚴州圖經,董弅,董弅,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/四六談麈,謝伋,謝伋,,1,,,
low,no_author_candidate,不詳/四分律行事鈔資持記,,,,3,四分律行事鈔資持記 | 四分律行事鈔資持記__juan_01.txt | 四分律行事鈔資持記/卷001 | 四分律行事鈔資持記__juan_02.txt | 四分律行事鈔資持記/卷002 | 四分律行事鈔資持記__juan_03.txt,,
low,no_author_candidate,不詳/四明十義書,,,,2,四明十義書 | 四明十義書__juan_01.txt | 四明十義書/卷001 | 四明十義書__juan_02.txt | 四明十義書/卷002,,
low,no_author_candidate,不詳/四明尊者教行錄,,,,7,四明尊者教行錄 | 四明尊者教行錄__juan_01.txt | 四明尊者教行錄/卷001 | 四明尊者教行錄__juan_02.txt | 四明尊者教行錄/卷002 | 四明尊者教行錄__juan_03.txt,,
low,one_or_more_authors_have_no_usable_date,不詳/外科精要,陳自明,陳自明,,1,,,
