status,note,source_folder,target_folder,work_rel,source_path,target_path,authors,date_evidence,file_count
moved,,不詳,南宋,良馬對,不詳/良馬對,南宋/良馬對,岳飛,岳飛:wikisource:1142:1103:death_year_1142_gt_1127,1
moved,,不詳,北宋,芝園集,不詳/芝園集,北宋/芝園集,元照,元照:wikipedia:1116:1048:death_year_1116_le_1127,1
review,target_work_folder_exists,不詳,南宋,苕溪漁隱叢話,不詳/苕溪漁隱叢話,南宋/苕溪漁隱叢話,胡仔,胡仔:wikisource:1170:1095:death_year_1170_gt_1127,17
moved,,不詳,南宋,苕溪漁隱詞話,不詳/苕溪漁隱詞話,南宋/苕溪漁隱詞話,胡仔,胡仔:wikisource:1170:1095:death_year_1170_gt_1127,1
moved,,不詳,南宋,茶山解嘲,不詳/茶山解嘲,南宋/茶山解嘲,葛勝仲,葛勝仲:wikipedia:1144:1072:death_year_1144_gt_1127,1
moved,,不詳,南宋,茶竈,不詳/茶竈,南宋/茶竈,項安世,項安世:wikipedia:1208:1153:death_year_1208_gt_1127,1
moved,,不詳,北宋,荈茗錄,不詳/荈茗錄,北宋/荈茗錄,陶穀,陶穀:wikisource:970:903:death_year_970_le_1127,1
moved,,不詳,南宋,菩薩蠻 (呂本中),不詳/菩薩蠻 (呂本中),南宋/菩薩蠻 (呂本中),呂本中,呂本中:wikisource:1145:1084:death_year_1145_gt_1127,1
moved,,不詳,北宋,華嚴庵,不詳/華嚴庵,北宋/華嚴庵,李廌,李廌:wikisource:1109:1059:death_year_1109_le_1127,1
review,target_work_folder_exists,不詳,北宋,虎鈐經,不詳/虎鈐經,北宋/虎鈐經,許洞,許洞:wikipedia:1015:976:death_year_1015_le_1127,20
moved,,不詳,北宋,虹橋,不詳/虹橋,北宋/虹橋,楊蟠,楊蟠:wikipedia:1106:1017:death_year_1106_le_1127,1
moved,,不詳,南宋,蠶婦吟,不詳/蠶婦吟,南宋/蠶婦吟,謝枋得,謝枋得:wikipedia:1289:1226:death_year_1289_gt_1127,1
moved,,不詳,南宋,行營雜錄,不詳/行營雜錄,南宋/行營雜錄,趙葵,趙葵:wikipedia:1266:1190:death_year_1266_gt_1127,1
moved,,不詳,南宋,行香子 (吳潛),不詳/行香子 (吳潛),南宋/行香子 (吳潛),吳潛,吳潛:wikipedia:1262:1195:death_year_1262_gt_1127,1
moved,,不詳,北宋,行香子 (晁端禮),不詳/行香子 (晁端禮),北宋/行香子 (晁端禮),晁端禮,晁端禮:wikipedia:1113:1046:death_year_1113_le_1127,1
moved,,不詳,南宋,行香子 (汪莘),不詳/行香子 (汪莘),南宋/行香子 (汪莘),汪莘,汪莘:wikipedia:1227:1155:death_year_1227_gt_1127,1
moved,,不詳,南宋,行香子 (沈瀛),不詳/行香子 (沈瀛),南宋/行香子 (沈瀛),沈瀛,沈瀛:wikipedia::1135:birth_year_1135_ge_1127_death_unknown,1
moved,,不詳,南宋,行香子 (葛立方),不詳/行香子 (葛立方),南宋/行香子 (葛立方),葛立方,葛立方:wikipedia:1165::death_year_1165_gt_1127,1
moved,,不詳,南宋,行香子 (趙鼎),不詳/行香子 (趙鼎),南宋/行香子 (趙鼎),趙鼎,趙鼎:wikipedia:1147:1085:death_year_1147_gt_1127,1
moved,,不詳,北宋,西丘,不詳/西丘,北宋/西丘,李廌,李廌:wikisource:1109:1059:death_year_1109_le_1127,1
moved,,不詳,北宋,西郊,不詳/西郊,北宋/西郊,李廌,李廌:wikisource:1109:1059:death_year_1109_le_1127,1
moved,,不詳,北宋,觀出日,不詳/觀出日,北宋/觀出日,李廌,李廌:wikisource:1109:1059:death_year_1109_le_1127,1
moved,,不詳,北宋,觀劈石,不詳/觀劈石,北宋/觀劈石,韋驤,韋驤:wikipedia:1105:1033:death_year_1105_le_1127,1
moved,,不詳,北宋,觀文恪王公樂道院巽亭在城上下臨潩水,不詳/觀文恪王公樂道院巽亭在城上下臨潩水,北宋/觀文恪王公樂道院巽亭在城上下臨潩水,李廌,李廌:wikisource:1109:1059:death_year_1109_le_1127,1
moved,,不詳,南宋,觀漁船水碓有感,不詳/觀漁船水碓有感,南宋/觀漁船水碓有感,陳藻,陳藻:wikipedia:1225:1151:death_year_1225_gt_1127,1
moved,,不詳,北宋,詠毛女,不詳/詠毛女,北宋/詠毛女,陳摶,陳摶:wikipedia:989::death_year_989_le_1127,1
moved,,不詳,北宋,贈張乖崖,不詳/贈張乖崖,北宋/贈張乖崖,陳摶,陳摶:wikipedia:989::death_year_989_le_1127,1
moved,,不詳,南宋,踏莎行 (呂本中),不詳/踏莎行 (呂本中),南宋/踏莎行 (呂本中),呂本中,呂本中:wikisource:1145:1084:death_year_1145_gt_1127,1
moved,,不詳,北宋,送內,不詳/送內,北宋/送內,陳師道,陳師道:wikisource:1101:1053:death_year_1101_le_1127,1
moved,,不詳,北宋,送劉戶曹,不詳/送劉戶曹,北宋/送劉戶曹,呂大臨,呂大臨:wikisource:1092:1040:death_year_1092_le_1127,1
moved,,不詳,北宋,送外舅郭大夫概西川提點刑獄,不詳/送外舅郭大夫概西川提點刑獄,北宋/送外舅郭大夫概西川提點刑獄,陳師道,陳師道:wikisource:1101:1053:death_year_1101_le_1127,1
moved,,不詳,北宋,送江楚州,不詳/送江楚州,北宋/送江楚州,陳師道,陳師道:wikisource:1101:1053:death_year_1101_le_1127,1
moved,,不詳,北宋,送霍子侔還都,不詳/送霍子侔還都,北宋/送霍子侔還都,李廌,李廌:wikisource:1109:1059:death_year_1109_le_1127,1
moved,,不詳,北宋,遇便風,不詳/遇便風,北宋/遇便風,陳舜俞,陳舜俞:wikipedia:1076:1026:death_year_1076_le_1127,1
moved,,不詳,北宋,遊超化寺,不詳/遊超化寺,北宋/遊超化寺,李廌,李廌:wikisource:1109:1059:death_year_1109_le_1127,1
moved,,不詳,北宋,過臨淄,不詳/過臨淄,北宋/過臨淄,李格非,李格非:wikisource:1105:1045:death_year_1105_le_1127,1
