row_uid	polity_id	display_name	start_year	end_year	type	periods	english_name	english_page_title	ja_page_title	ja_name_source	raw_dates	interval_index	date_basis	region_en	province_en	review_status	notes	computed_periods	periods_original	merge_status	merge_issues
han_0016	japan.tanagura	棚倉藩	1603	1866	藩	江戸時代	Tanagura	Tanagura Domain	棚倉藩	html_alternate_ja	1603-1866		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代	江戸時代	folder_ready	
han_0017	japan.shirakawa	白河藩	1627	1866	藩	江戸時代	Shirakawa	Shirakawa Domain	白河藩	html_alternate_ja	1627-1866		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代	江戸時代	folder_ready	
han_0018	japan.kubota	久保田藩	1602	1871	藩	安土桃山時代;江戸時代;明治時代	Kubota	Kubota Domain	久保田藩	html_alternate_ja	1602-1871		polity	Tōhoku	Dewa Province (Present-day Yamagata and Akita Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代;明治時代	安土桃山時代;江戸時代;明治時代	folder_ready	
han_0019	japan.tsuruoka	庄内藩	1622	1871	藩	江戸時代;明治時代	Tsuruoka	Tsuruoka Domain	庄内藩	html_alternate_ja	1622-1871		polity	Tōhoku	Dewa Province (Present-day Yamagata and Akita Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
han_0020	japan.nagatoro	長瀞藩	1789	1869	藩	江戸時代;明治時代	Nagatoro	Nagatoro Domain	長瀞藩	html_alternate_ja	1789-1869		polity	Tōhoku	Dewa Province (Present-day Yamagata and Akita Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
han_0021	japan.kameda	亀田藩	1623	1871	藩	江戸時代;明治時代	Kameda	Kameda Domain	亀田藩	html_alternate_ja	1623-1871		polity	Tōhoku	Dewa Province (Present-day Yamagata and Akita Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
han_0022	japan.honjo	本荘藩	1623	1868	藩	江戸時代	Honjō	Honjō Domain	本荘藩	html_alternate_ja	1623-1868		polity	Tōhoku	Dewa Province (Present-day Yamagata and Akita Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代	江戸時代	folder_ready	
han_0023	japan.shinjo	新庄藩	1622	1871	藩	江戸時代;明治時代	Shinjō	Shinjō Domain	新庄藩	html_alternate_ja	1622-1871		polity	Tōhoku	Dewa Province (Present-day Yamagata and Akita Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
han_0024	japan.kaminoyama	上山藩	1622	1871	藩	江戸時代;明治時代	Kaminoyama	Kaminoyama Domain	上山藩	html_alternate_ja	1622-1871		polity	Tōhoku	Dewa Province (Present-day Yamagata and Akita Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
han_0025	japan.matsuoka	常陸松岡藩	1602	1861	藩	安土桃山時代;江戸時代	Matsuoka	Matsuoka Domain	常陸松岡藩	html_alternate_ja	1602-1861		polity	Kantō region	Hitachi Province (Present-day Central Ibaraki Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代	安土桃山時代;江戸時代	folder_ready	
han_0026	japan.shishido	常陸宍戸藩	1602	1871	藩	安土桃山時代;江戸時代;明治時代	Shishido	Shishido Domain	常陸宍戸藩	html_alternate_ja	1602-1871		polity	Kantō region	Hitachi Province (Present-day Central Ibaraki Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代;明治時代	安土桃山時代;江戸時代;明治時代	folder_ready	
han_0027	japan.shimotsuma	下妻藩	1591	1871	藩	安土桃山時代;江戸時代;明治時代	Shimotsuma	Shimotsuma Domain	下妻藩	html_alternate_ja	1591-1871		polity	Kantō region	Hitachi Province (Present-day Central Ibaraki Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代;明治時代	安土桃山時代;江戸時代;明治時代	folder_ready	
han_0028	japan.hitachi_fuchu	常陸府中藩	1602	1871	藩	安土桃山時代;江戸時代;明治時代	Hitachi-Fuchū	Hitachi-Fuchū Domain	常陸府中藩	html_alternate_ja	1602-1871		polity	Kantō region	Hitachi Province (Present-day Central Ibaraki Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代;明治時代	安土桃山時代;江戸時代;明治時代	folder_ready	
han_0029	japan.aso	麻生藩	1604	1871	藩	江戸時代;明治時代	Asō	Asō Domain	麻生藩	html_alternate_ja	1604-1871		polity	Kantō region	Hitachi Province (Present-day Central Ibaraki Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
han_0030	japan.yatabe	谷田部藩	1616	1871	藩	江戸時代;明治時代	Yatabe	Yatabe Domain	谷田部藩	html_alternate_ja	1616-1871		polity	Kantō region	Hitachi Province (Present-day Central Ibaraki Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
han_0031	japan.ushiku	牛久藩	1628	1871	藩	江戸時代;明治時代	Ushiku	Ushiku Domain	牛久藩	html_alternate_ja	1628-1871		polity	Kantō region	Hitachi Province (Present-day Central Ibaraki Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
han_0032	japan.otawara	大田原藩	1600	1871	藩	安土桃山時代;江戸時代;明治時代	Ōtawara	Ōtawara Domain	大田原藩	html_alternate_ja	1600-1871		polity	Kantō region	Shimotsuke Province (Present-day Tochigi Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代;明治時代	安土桃山時代;江戸時代;明治時代	folder_ready	
han_0033	japan.utsunomiya	宇都宮藩	1601	1871	藩	安土桃山時代;江戸時代;明治時代	Utsunomiya	Utsunomiya Domain	宇都宮藩	html_alternate_ja	1601-1871		polity	Kantō region	Shimotsuke Province (Present-day Tochigi Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代;明治時代	安土桃山時代;江戸時代;明治時代	folder_ready	
han_0034	japan.mibu	壬生藩	1601	1871	藩	安土桃山時代;江戸時代;明治時代	Mibu	Mibu Domain	壬生藩	html_alternate_ja	1601-1871		polity	Kantō region	Shimotsuke Province (Present-day Tochigi Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代;明治時代	安土桃山時代;江戸時代;明治時代	folder_ready	
han_0035	japan.sano	佐野藩	1600	1688	藩	安土桃山時代;江戸時代	Sano	Sano Domain	佐野藩	html_alternate_ja	1600-1688		polity	Kantō region	Shimotsuke Province (Present-day Tochigi Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代	安土桃山時代;江戸時代	folder_ready	
han_0036	japan.karasuyama	烏山藩	1627	1871	藩	江戸時代;明治時代	Karasuyama	Karasuyama Domain	烏山藩	html_alternate_ja	1627-1871		polity	Kantō region	Shimotsuke Province (Present-day Tochigi Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
han_0037	japan.takasaki	高崎藩	1590	1871	藩	安土桃山時代;江戸時代;明治時代	Takasaki	Takasaki Domain	高崎藩	html_alternate_ja	1590-1871		polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代;明治時代	安土桃山時代;江戸時代;明治時代	folder_ready	
han_0038	japan.numata	沼田藩	1656	1871	藩	江戸時代;明治時代	Numata	Numata Domain	沼田藩	html_alternate_ja	1656-1871		polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
han_0039	japan.annaka	安中藩	1615	1871	藩	江戸時代;明治時代	Annaka	Annaka Domain	安中藩	html_alternate_ja	1615-1871		polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
han_0040	japan.nanokaichi	七日市藩	1616	1871	藩	江戸時代;明治時代	Nanokaichi	Nanokaichi Domain	七日市藩	html_alternate_ja	1616-1871		polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
han_0041	japan.obata	小幡藩	1590	1871	藩	安土桃山時代;江戸時代;明治時代	Obata	Obata Domain	小幡藩	html_alternate_ja	1590-1871		polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代;明治時代	安土桃山時代;江戸時代;明治時代	folder_ready	
han_0042	japan.koga	古河藩	1590	1871	藩	安土桃山時代;江戸時代;明治時代	Koga	Koga Domain	古河藩	html_alternate_ja	1590-1871		polity	Kantō region	Shimōsa Province (Present-day Northern Chiba, Southeastern Ibaraki and West portion of the Edogawa River in Saitama Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代;明治時代	安土桃山時代;江戸時代;明治時代	folder_ready	
han_0043	japan.yuki	結城藩	1590	1871	藩	安土桃山時代;江戸時代;明治時代	Yūki	Yūki Domain	結城藩	html_alternate_ja	1590-1871		polity	Kantō region	Shimōsa Province (Present-day Northern Chiba, Southeastern Ibaraki and West portion of the Edogawa River in Saitama Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代;明治時代	安土桃山時代;江戸時代;明治時代	folder_ready	
han_0044	japan.sekiyado	関宿藩	1590	1871	藩	安土桃山時代;江戸時代;明治時代	Sekiyado	Sekiyado Domain	関宿藩	html_alternate_ja	1590-1871		polity	Kantō region	Shimōsa Province (Present-day Northern Chiba, Southeastern Ibaraki and West portion of the Edogawa River in Saitama Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代;明治時代	安土桃山時代;江戸時代;明治時代	folder_ready	
han_0045	japan.takaoka	高岡藩	1640	1871	藩	江戸時代;明治時代	Takaoka	Takaoka Domain	高岡藩	html_alternate_ja	1640-1871		polity	Kantō region	Shimōsa Province (Present-day Northern Chiba, Southeastern Ibaraki and West portion of the Edogawa River in Saitama Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	江戸時代;明治時代	江戸時代;明治時代	folder_ready	
han_0046	japan.omigawa	小見川藩	1594	1871	藩	安土桃山時代;江戸時代;明治時代	Omigawa	Omigawa Domain	小見川藩	html_alternate_ja	1594-1871		polity	Kantō region	Shimōsa Province (Present-day Northern Chiba, Southeastern Ibaraki and West portion of the Edogawa River in Saitama Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代;明治時代	安土桃山時代;江戸時代;明治時代	folder_ready	
han_0047	japan.sakura	佐倉藩	1593	1871	藩	安土桃山時代;江戸時代;明治時代	Sakura	Sakura Domain	佐倉藩	html_alternate_ja	1593-1871		polity	Kantō region	Shimōsa Province (Present-day Northern Chiba, Southeastern Ibaraki and West portion of the Edogawa River in Saitama Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代;明治時代	安土桃山時代;江戸時代;明治時代	folder_ready	
han_0048	japan.tako	多古藩	1590	1871	藩	安土桃山時代;江戸時代;明治時代	Tako	Tako Domain	多古藩	html_alternate_ja	1590-1871		polity	Kantō region	Shimōsa Province (Present-day Northern Chiba, Southeastern Ibaraki and West portion of the Edogawa River in Saitama Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.	安土桃山時代;江戸時代;明治時代	安土桃山時代;江戸時代;明治時代	folder_ready	
