relative_path,changed,skipped,old_nation,new_nation,old_times,new_times,old_region,new_region,reason
大日本帝国/朝鮮/仁山先生文集 (蘇輝冕)/仁山先生文集 (蘇輝冕)__juan_12.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/仁山先生文集 (蘇輝冕)/仁山先生文集 (蘇輝冕)__juan_13.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/仁山先生文集 (蘇輝冕)/仁山先生文集 (蘇輝冕)__juan_14.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/仁山先生文集 (蘇輝冕)/仁山先生文集 (蘇輝冕)__juan_15.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/仁山先生文集 (蘇輝冕)/仁山先生文集 (蘇輝冕)__juan_16.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/仁山先生文集 (蘇輝冕)/仁山先生文集 (蘇輝冕)__juan_17.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/來庵先生文集/來庵先生文集__juan_01.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/來庵先生文集/來庵先生文集__juan_02.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/來庵先生文集/來庵先生文集__juan_03.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/來庵先生文集/來庵先生文集__juan_04.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/來庵先生文集/來庵先生文集__juan_05.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/來庵先生文集/來庵先生文集__juan_06.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/來庵先生文集/來庵先生文集__juan_07.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/來庵先生文集/來庵先生文集__juan_08.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/來庵先生文集/來庵先生文集__juan_09.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/來庵先生文集/來庵先生文集__juan_10.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/來庵先生文集/來庵先生文集__juan_11.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/來庵先生文集/來庵先生文集__juan_12.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/來庵先生文集/來庵先生文集__juan_13.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/來庵先生文集/來庵先生文集__juan_14.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/來庵先生文集/來庵先生文集__juan_15.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/信菴遺稿/信菴遺稿__juan_01.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/信菴遺稿/信菴遺稿__juan_02.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/儉窩遺稿/儉窩遺稿__juan_01.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/儉窩遺稿/儉窩遺稿__juan_02.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/再思堂先生逸集/再思堂先生逸集__juan_01.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/再思堂先生逸集/再思堂先生逸集__juan_02.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/勉菴先生續集/勉菴先生續集__juan_01.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/勉菴先生續集/勉菴先生續集__juan_02.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/勉菴先生續集/勉菴先生續集__juan_03.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/勉菴先生續集/勉菴先生續集__juan_04.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/南村先生文集/南村先生文集__juan_01.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/南村先生文集/南村先生文集__juan_02.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/南村先生文集/南村先生文集__juan_03.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/南村先生文集/南村先生文集__juan_04.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/南村先生文集/南村先生文集__juan_05.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/南村先生文集/南村先生文集__juan_06.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/南村先生文集/南村先生文集__juan_07.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/圭菴先生文集/圭菴先生文集__juan_01.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/圭菴先生文集/圭菴先生文集__juan_02.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/圭菴先生文集/圭菴先生文集__juan_03.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/圭菴先生文集/圭菴先生文集__juan_04.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/大溪先生文集 (李承煕)/大溪先生文集 (李承煕)__juan_01.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
大日本帝国/朝鮮/大溪先生文集 (李承煕)/大溪先生文集 (李承煕)__juan_02.txt,yes,no,朝鮮,大日本帝國，朝鮮,大日本帝國,大日本帝國,,朝鮮,derived from 大日本帝國/<territory>/... folder path
