kind,id,identity_key,path,title,parent_work_id,source_document_id,status
work,5445,work:中國漢文/clean/周朝/東周/戰國時代/原不詳/國語,中國漢文/clean/周朝/東周/戰國時代/原不詳/國語,國語,,,active
work,8563,work:中國漢文/clean/唐朝/全唐文,中國漢文/clean/唐朝/全唐文,全唐文,,,active
work,8564,work:中國漢文/clean/唐朝/全唐詩,中國漢文/clean/唐朝/全唐詩,全唐詩,,,active
work,51009,work:中國漢文/clean/宋朝/北宋/冊府元龜,中國漢文/clean/宋朝/北宋/冊府元龜,冊府元龜,,,active
work,69565,work:中國漢文/clean/明朝/大明/永樂大典,中國漢文/clean/明朝/大明/永樂大典,永樂大典,,,active
work,74785,work:中國漢文/clean/清朝/大清/全唐文,中國漢文/clean/清朝/大清/全唐文,全唐文,,,active
work,74786,work:中國漢文/clean/清朝/大清/全唐詩,中國漢文/clean/清朝/大清/全唐詩,全唐詩,,,active
work,75266,work:中國漢文/clean/清朝/大清/四庫全書,中國漢文/clean/清朝/大清/四庫全書,四庫全書,,,active
work,76620,work:中國漢文/clean/清朝/大清/欽定古今圖書集成,中國漢文/clean/清朝/大清/欽定古今圖書集成,欽定古今圖書集成,,,active
document,11436,document:中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_01.txt,中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_01.txt,國語__juan_01,5445,,active
document,11437,document:中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_02.txt,中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_02.txt,國語__juan_02,5445,,active
document,11438,document:中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_03.txt,中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_03.txt,國語__juan_03,5445,,active
document,11439,document:中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_04.txt,中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_04.txt,國語__juan_04,5445,,active
document,11440,document:中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_05.txt,中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_05.txt,國語__juan_05,5445,,active
document,11441,document:中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_06.txt,中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_06.txt,國語__juan_06,5445,,active
document,11442,document:中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_07.txt,中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_07.txt,國語__juan_07,5445,,active
document,11443,document:中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_08.txt,中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_08.txt,國語__juan_08,5445,,active
document,11444,document:中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_09.txt,中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_09.txt,國語__juan_09,5445,,active
document,11445,document:中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_10.txt,中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_10.txt,國語__juan_10,5445,,active
document,11446,document:中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_11.txt,中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_11.txt,國語__juan_11,5445,,active
document,11447,document:中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_12.txt,中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_12.txt,國語__juan_12,5445,,active
document,11448,document:中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_13.txt,中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_13.txt,國語__juan_13,5445,,active
document,11449,document:中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_14.txt,中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_14.txt,國語__juan_14,5445,,active
document,11450,document:中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_15.txt,中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_15.txt,國語__juan_15,5445,,active
document,11451,document:中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_16.txt,中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_16.txt,國語__juan_16,5445,,active
document,11452,document:中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_17.txt,中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_17.txt,國語__juan_17,5445,,active
document,11453,document:中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_18.txt,中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_18.txt,國語__juan_18,5445,,active
document,11454,document:中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_19.txt,中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_19.txt,國語__juan_19,5445,,active
document,11455,document:中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_20.txt,中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_20.txt,國語__juan_20,5445,,active
document,11456,document:中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_21.txt,中國漢文/clean/周朝/東周/戰國時代/原不詳/國語/國語__juan_21.txt,國語__juan_21,5445,,active
document,13280,document:中國漢文/clean/周朝/東周/戰國時代/楚/楚辭/卷第十七/亂曰.txt,中國漢文/clean/周朝/東周/戰國時代/楚/楚辭/卷第十七/亂曰.txt,亂曰,5480,,active
document,13292,document:中國漢文/clean/周朝/東周/戰國時代/楚/楚辭/卷第十五/亂曰.txt,中國漢文/clean/周朝/東周/戰國時代/楚/楚辭/卷第十五/亂曰.txt,亂曰,5480,,active
document,18826,document:中國漢文/clean/唐朝/全唐文/全唐文__juan_01.txt,中國漢文/clean/唐朝/全唐文/全唐文__juan_01.txt,全唐文__juan_01,8563,,active
document,18827,document:中國漢文/clean/唐朝/全唐文/全唐文__juan_02.txt,中國漢文/clean/唐朝/全唐文/全唐文__juan_02.txt,全唐文__juan_02,8563,,active
