folder_type,corpus_root,category,work_folder,pageid,work_title,display_title,page_title,author,times,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
clean,中國漢文,三國,佛說大安般守意經,,佛說大安般守意經,佛說大安般守意經,佛說大安般守意經/卷00,,,3,中國漢文\raw\三國\佛說大安般守意經\佛說大安般守意經__juan_03.txt,中國漢文\clean\三國\佛說大安般守意經\佛說大安般守意經__juan_03.txt,1273,1273,0
clean,中國漢文,三國,佛說太子瑞應本起經,,佛說太子瑞應本起經,佛說太子瑞應本起經,佛說太子瑞應本起經/卷上,,,1,中國漢文\raw\三國\佛說太子瑞應本起經\佛說太子瑞應本起經__juan_01.txt,中國漢文\clean\三國\佛說太子瑞應本起經\佛說太子瑞應本起經__juan_01.txt,8829,8815,0
clean,中國漢文,三國,佛說太子瑞應本起經,,佛說太子瑞應本起經,佛說太子瑞應本起經,佛說太子瑞應本起經/卷下,,,2,中國漢文\raw\三國\佛說太子瑞應本起經\佛說太子瑞應本起經__juan_02.txt,中國漢文\clean\三國\佛說太子瑞應本起經\佛說太子瑞應本起經__juan_02.txt,8320,8308,0
clean,中國漢文,三國,佛說孛經抄,,佛說孛經抄,佛說孛經抄,佛說孛經抄,,,1,中國漢文\raw\三國\佛說孛經抄\佛說孛經抄__juan_01.txt,中國漢文\clean\三國\佛說孛經抄\佛說孛經抄__juan_01.txt,10520,10473,0
clean,中國漢文,三國,佛說孫多耶致經,,佛說孫多耶致經,佛說孫多耶致經,佛說孫多耶致經,,,1,中國漢文\raw\三國\佛說孫多耶致經\佛說孫多耶致經__juan_01.txt,中國漢文\clean\三國\佛說孫多耶致經\佛說孫多耶致經__juan_01.txt,1183,1146,0
clean,中國漢文,三國,佛說慧印三昧經,,佛說慧印三昧經,佛說慧印三昧經,佛說慧印三昧經,,,1,中國漢文\raw\三國\佛說慧印三昧經\佛說慧印三昧經__juan_01.txt,中國漢文\clean\三國\佛說慧印三昧經\佛說慧印三昧經__juan_01.txt,10839,10799,0
clean,中國漢文,三國,佛說摩訶迦羅大黑天神大福德圓滿陀羅尼經,,佛說摩訶迦羅大黑天神大福德圓滿陀羅尼經,佛說摩訶迦羅大黑天神大福德圓滿陀羅尼經,佛說摩訶迦羅大黑天神大福德圓滿陀羅尼經,,,1,中國漢文\raw\三國\佛說摩訶迦羅大黑天神大福德圓滿陀羅尼經\佛說摩訶迦羅大黑天神大福德圓滿陀羅尼經__juan_01.txt,中國漢文\clean\三國\佛說摩訶迦羅大黑天神大福德圓滿陀羅尼經\佛說摩訶迦羅大黑天神大福德圓滿陀羅尼經__juan_01.txt,470,433,0
clean,中國漢文,三國,佛說月明菩薩經,,佛說月明菩薩經,佛說月明菩薩經,佛說月明菩薩經,,,1,中國漢文\raw\三國\佛說月明菩薩經\佛說月明菩薩經__juan_01.txt,中國漢文\clean\三國\佛說月明菩薩經\佛說月明菩薩經__juan_01.txt,1588,1540,0
clean,中國漢文,三國,佛說未生冤經,,佛說未生冤經,佛說未生冤經,佛說未生冤經,,,1,中國漢文\raw\三國\佛說未生冤經\佛說未生冤經__juan_01.txt,中國漢文\clean\三國\佛說未生冤經\佛說未生冤經__juan_01.txt,1831,1782,0
clean,中國漢文,三國,佛說梵網六十二見經,,佛說梵網六十二見經,佛說梵網六十二見經,佛說梵網六十二見經,,,1,中國漢文\raw\三國\佛說梵網六十二見經\佛說梵網六十二見經__juan_01.txt,中國漢文\clean\三國\佛說梵網六十二見經\佛說梵網六十二見經__juan_01.txt,11093,11056,0
clean,中國漢文,三國,佛說法律三昧經,,佛說法律三昧經,佛說法律三昧經,佛說法律三昧經,,,1,中國漢文\raw\三國\佛說法律三昧經\佛說法律三昧經__juan_01.txt,中國漢文\clean\三國\佛說法律三昧經\佛說法律三昧經__juan_01.txt,3976,3939,0
clean,中國漢文,三國,佛說犢子經,,佛說犢子經,佛說犢子經,佛說犢子經,,,1,中國漢文\raw\三國\佛說犢子經\佛說犢子經__juan_01.txt,中國漢文\clean\三國\佛說犢子經\佛說犢子經__juan_01.txt,861,808,0
clean,中國漢文,三國,佛說猘狗經,,佛說猘狗經,佛說猘狗經,佛說猘狗經,,,1,中國漢文\raw\三國\佛說猘狗經\佛說猘狗經__juan_01.txt,中國漢文\clean\三國\佛說猘狗經\佛說猘狗經__juan_01.txt,988,951,0
clean,中國漢文,三國,佛說維摩詰經,,佛說維摩詰經,佛說維摩詰經,佛說維摩詰經/卷01,,,1,中國漢文\raw\三國\佛說維摩詰經\佛說維摩詰經__juan_01.txt,中國漢文\clean\三國\佛說維摩詰經\佛說維摩詰經__juan_01.txt,15680,15672,0
clean,中國漢文,三國,佛說維摩詰經,,佛說維摩詰經,佛說維摩詰經,佛說維摩詰經/卷02,,,2,中國漢文\raw\三國\佛說維摩詰經\佛說維摩詰經__juan_02.txt,中國漢文\clean\三國\佛說維摩詰經\佛說維摩詰經__juan_02.txt,14901,14889,0
clean,中國漢文,三國,佛說老女人經,,佛說老女人經,佛說老女人經,佛說老女人經,,,1,中國漢文\raw\三國\佛說老女人經\佛說老女人經__juan_01.txt,中國漢文\clean\三國\佛說老女人經\佛說老女人經__juan_01.txt,1057,1014,0
clean,中國漢文,三國,佛說蓱沙王五願經,,佛說蓱沙王五願經,佛說蓱沙王五願經,佛說蓱沙王五願經,,,1,中國漢文\raw\三國\佛說蓱沙王五願經\佛說蓱沙王五願經__juan_01.txt,中國漢文\clean\三國\佛說蓱沙王五願經\佛說蓱沙王五願經__juan_01.txt,3651,3614,0
clean,中國漢文,三國,佛說諸法本經,,佛說諸法本經,佛說諸法本經,佛說諸法本經,,,1,中國漢文\raw\三國\佛說諸法本經\佛說諸法本經__juan_01.txt,中國漢文\clean\三國\佛說諸法本經\佛說諸法本經__juan_01.txt,465,426,0
clean,中國漢文,三國,佛說賴吒和羅經,,佛說賴吒和羅經,佛說賴吒和羅經,佛說賴吒和羅經,,,1,中國漢文\raw\三國\佛說賴吒和羅經\佛說賴吒和羅經__juan_01.txt,中國漢文\clean\三國\佛說賴吒和羅經\佛說賴吒和羅經__juan_01.txt,5673,5630,0
