folder_type,corpus_root,category,work_folder,pageid,work_title,display_title,page_title,author,times,juan_count,min_juan_index,max_juan_index,total_char_count_raw,total_char_count_clean,empty_juan_count,example_raw_path,example_clean_path
clean,中國漢文,三國,佛說孛經抄,,佛說孛經抄,佛說孛經抄,佛說孛經抄,,,1,1,1,10520,10473,0,中國漢文\raw\三國\佛說孛經抄\佛說孛經抄__juan_01.txt,中國漢文\clean\三國\佛說孛經抄\佛說孛經抄__juan_01.txt
clean,中國漢文,三國,佛說孫多耶致經,,佛說孫多耶致經,佛說孫多耶致經,佛說孫多耶致經,,,1,1,1,1183,1146,0,中國漢文\raw\三國\佛說孫多耶致經\佛說孫多耶致經__juan_01.txt,中國漢文\clean\三國\佛說孫多耶致經\佛說孫多耶致經__juan_01.txt
clean,中國漢文,三國,佛說慧印三昧經,,佛說慧印三昧經,佛說慧印三昧經,佛說慧印三昧經,,,1,1,1,10839,10799,0,中國漢文\raw\三國\佛說慧印三昧經\佛說慧印三昧經__juan_01.txt,中國漢文\clean\三國\佛說慧印三昧經\佛說慧印三昧經__juan_01.txt
clean,中國漢文,三國,佛說摩訶迦羅大黑天神大福德圓滿陀羅尼經,,佛說摩訶迦羅大黑天神大福德圓滿陀羅尼經,佛說摩訶迦羅大黑天神大福德圓滿陀羅尼經,佛說摩訶迦羅大黑天神大福德圓滿陀羅尼經,,,1,1,1,470,433,0,中國漢文\raw\三國\佛說摩訶迦羅大黑天神大福德圓滿陀羅尼經\佛說摩訶迦羅大黑天神大福德圓滿陀羅尼經__juan_01.txt,中國漢文\clean\三國\佛說摩訶迦羅大黑天神大福德圓滿陀羅尼經\佛說摩訶迦羅大黑天神大福德圓滿陀羅尼經__juan_01.txt
clean,中國漢文,三國,佛說月明菩薩經,,佛說月明菩薩經,佛說月明菩薩經,佛說月明菩薩經,,,1,1,1,1588,1540,0,中國漢文\raw\三國\佛說月明菩薩經\佛說月明菩薩經__juan_01.txt,中國漢文\clean\三國\佛說月明菩薩經\佛說月明菩薩經__juan_01.txt
clean,中國漢文,三國,佛說未生冤經,,佛說未生冤經,佛說未生冤經,佛說未生冤經,,,1,1,1,1831,1782,0,中國漢文\raw\三國\佛說未生冤經\佛說未生冤經__juan_01.txt,中國漢文\clean\三國\佛說未生冤經\佛說未生冤經__juan_01.txt
clean,中國漢文,三國,佛說梵網六十二見經,,佛說梵網六十二見經,佛說梵網六十二見經,佛說梵網六十二見經,,,1,1,1,11093,11056,0,中國漢文\raw\三國\佛說梵網六十二見經\佛說梵網六十二見經__juan_01.txt,中國漢文\clean\三國\佛說梵網六十二見經\佛說梵網六十二見經__juan_01.txt
clean,中國漢文,三國,佛說法律三昧經,,佛說法律三昧經,佛說法律三昧經,佛說法律三昧經,,,1,1,1,3976,3939,0,中國漢文\raw\三國\佛說法律三昧經\佛說法律三昧經__juan_01.txt,中國漢文\clean\三國\佛說法律三昧經\佛說法律三昧經__juan_01.txt
clean,中國漢文,三國,佛說犢子經,,佛說犢子經,佛說犢子經,佛說犢子經,,,1,1,1,861,808,0,中國漢文\raw\三國\佛說犢子經\佛說犢子經__juan_01.txt,中國漢文\clean\三國\佛說犢子經\佛說犢子經__juan_01.txt
clean,中國漢文,三國,佛說猘狗經,,佛說猘狗經,佛說猘狗經,佛說猘狗經,,,1,1,1,988,951,0,中國漢文\raw\三國\佛說猘狗經\佛說猘狗經__juan_01.txt,中國漢文\clean\三國\佛說猘狗經\佛說猘狗經__juan_01.txt
