"chars","n"
"客",1074560
"羅",1067995
"賊",1066646
"象",1063728
"到",1058659
"表",1055810
"俱",1055699
"惡",1050838
"精",1048422
"車",1038701
"歲",1037026
"降",1035607
"留",1032624
"甲",1029972
"末",1024288
"載",1023774
"寧",1023501
"賜",1021195
"容",1017272
"共",1016540
"貴",1015185
"告",1015123
"才",1012886
"賦",1012624
"亂",1009921
"秦",1008989
"微",1007059
"韻",1005897
"景",1005393
"考",1002984
"業",1002965
"交",1001635
"離",998756
"盛",997174
"除",995668
"伏",990760
"執",988841
"再",986835
"似",984095
"形",979935
"星",978769
"朱",977953
"黃",977918
"比",975848
"類",973719
"殿",971961
"陰",968598
"省",966218
"眾",966055
"蓋",965118
"妻",964271
"具",962301
"靈",958895
"依",955326
"梁",953492
"別",947907
"飛",947311
"魏",946676
"送",945182
"孔",943108
"順",941405
"楚",940588
"汝",940552
"室",939995
"苦",938890
"號",937674
"喜",937257
"備",936904
"計",931456
"指",929546
"敬",928206
"典",926536
"誠",926203
"滿",924641
"丁",924566
"職",921272
"升",918787
"吳",918011
"嘉",917725
"存",915091
"趙",910465
"己",909941
"血",909136
"寺",908751
"良",907738
"儀",906804
"亡",903587
"識",903339
"視",901646
"品",901640
"徒",901472
"兼",900048
"紀",896596
"回",896066
"衛",894127
"仲",893848
"疑",891836
"戰",891512
"須",891264
"只",890496
"恩",890369
"乾",890009
"登",889671
"待",888326
"幾",887240
"落",887215
"姓",886413
"釋",885916
"果",885757
"養",884853
"濟",884324
"智",883816
"衆",883141
"轉",882601
"疾",882544
"遺",880736
"授",879568
"種",877900
"設",877876
"鄉",875912
"退",875284
"痛",873549
"參",872743
"楊",868385
"報",867574
"湖",866810
"福",864191
"獻",856823
"布",856536
"愛",856414
"逺",855244
"吉",853942
"聽",853471
"余",853071
"工",847690
"歌",845875
"的",844653
"臺",843412
"兮",841896
"連",838344
"總",838327
"遇",836636
"丹",835995
"句",835210
"斯",833417
"美",832518
"曲",826979
"持",821483
"監",820049
"邊",819170
"遷",818461
"兄",817943
"宮",817535
"察",815435
"恐",815318
"兒",813056
"保",811866
"輕",808623
"特",808381
"康",806613
"念",806297
"胡",805481
"婦",801360
"藏",800051
"飲",798081
"列",795986
"编",794824
"斷",793077
"舍",792129
"俗",790512
"宫",790016
"乘",789163
"申",787261
"辑",786243
"皮",785610
"隂",783985
"讀",781492
"尺",780889
"冬",778511
"感",775648
"願",775078
"某",774626
"遊",773937
"領",773483
"幸",772314
"破",772207
"刺",772041
"樹",771901
"泉",771407
"仙",770882
"被",769434
"葉",767838
"㑹",765347
"看",765158
"院",762120
"施",762045
"赤",761611
"期",759654
"慶",759074
"關",757399
"謝",755440
"昭",755436
"甘",753608
"素",749957
"呼",747587
"説",747102
"畫",746868
"銀",746863
"運",744308
"急",743756
"序",743606
"達",742115
"僧",740757
"两",739934
"竹",738401
"器",737349
"嚴",736507
"克",732413
"率",731915
"昌",731524
"差",730859
"徐",730404
"根",730323
"予",729091
"刑",727907
"員",727140
"曹",727138
"收",722906
"傷",722507
"邑",722265
"昔",720667
"邪",720206
"仍",715921
"气",715121
"免",714669
"无",712928
"忽",712742
"管",712266
"别",712174
"野",710604
"魯",710532
"息",709395
"牛",708774
"顧",708469
"端",708274
"藥",708229
"私",703631
"憂",703454
"推",702660
"照",702421
"營",701717
"召",701110
"廷",699047
"薩",698773
"厚",698605
"魚",697871
"延",695940
"誰",694979
"曾",694415
"勢",693441
"寶",693371
"庶",692165
"祀",690761
"孟",689931
"補",689867
"權",689721
"附",688528
"篇",688187
"結",686250
"溪",685481
"題",682492
"韓",682209
"撫",681143
"窮",681110
"崇",679382
"耶",679292
"沙",678532
"阿",676483
"湯",675953
"覺",674508
"辰",674173
"味",673425
"絶",673414
"提",673043
"廢",672821
"害",670974
"積",670339
"威",670068
"夷",667364
"雪",664735
"喪",664638
"給",664436
"虛",662867
"造",661722
"菩",661064
"杜",658604
"亭",658540
"夢",656810
"統",656694
"謀",652717
"鎮",652511
"笑",652243
"叔",651458
"越",650468
"商",649996
"庭",649031
"丸",646012
"答",645424
"戒",645370
"虚",643098
"樓",640459
"尋",640275
"宿",638531
"敗",638364
"燕",636497
"調",636443
"男",636331
"勞",636325
"庫",636164
"冠",635352
"孤",634153
"儒",634075
"繼",632590
"友",631882
"射",631296
"澤",630166
"住",629984
"蘇",629945
"辛",629758
"移",629496
"闕",628188
"滅",625033
"寸",624861
"懷",623215
"據",622291
"干",622223
"浮",621765
"攻",620816
"禁",620433
"虎",618917
"松",618537
"并",617532
"博",617450
"走",616515
"適",611787
"尤",611287
"貞",610327
"熱",609863
"紅",607275
"丞",606426
"伐",604437
"悉",604239
"丘",604099
"督",604071
"罷",602172
"最",601181
"務",599792
"波",598233
"英",597014
"示",595916
"帶",595107
"顯",594718
"休",593412
"逆",592668
"雅",591190
"贈",590919
"池",590693
"約",590532
"細",589029
"谷",587485
"量",586841
"納",585345
"咸",583524
"骨",582951
"閣",578301
"犯",576949
"嵗",576015
"陸",575755
"騎",575662
"律",574566
"洪",574151
"追",573757
"舟",573087
"那",572271
"錄",571488
"幽",571391
"副",571360
"試",570446
"驚",569396
"患",569345
"案",568554
"角",568405
"放",566369
"紫",564565
"哀",563776
"丈",563506
"淮",563331
"選",562815
"詳",562056
"筆",561379
"淨",560251
"愈",558722
"簡",558517
"唯",557100
"獲",554812
"掌",553187
"狀",550076
"源",548303
"詞",547543
"宰",545288
"雜",543931
"惠",543523
"鳥",543247
"隱",542290
"米",542085
"莊",542083
"富",541819
"忘",541720
"接",540962
"征",540473
"緣",540133
"榮",539995
"資",537266
"肉",535489
"露",533473
"妙",530717
"薄",529957
"壽",529270
"虞",527828
"陛",526669
"擊",525366
"早",523708
"乙",522757
"密",522603
"眼",521534
"泰",521294
"垂",521157
"防",520871
"寄",520536
"折",519032
"温",518868
"條",518677
"恭",515504
"羣",514756
"貢",513576
"爵",513493
"步",513341
"累",513311
"房",512570
"畢",512272
"夕",512203
"勿",511351
"賞",510554
"習",510410
"例",509442
"刻",509211
"超",506857
"季",506640
"校",506326
"午",505707
"竟",505149
"橋",504476
"尉",504445
"略",504391
"塵",504110
"役",503563
"聚",502872
"程",502407
"編",501931
"鼓",500935
"謹",498966
"郭",496936
"经",496293
"支",495986
"洞",495360
"乞",493905
"境",493618
"迎",492981
"怒",492976
"腹",491856
"質",491734
"热",491630
"齋",491514
"科",491422
"剛",490592
"枝",489477
"鳴",488904
"救",487320
"諭",486769
"判",486148
"衰",485998
"機",485183
"毛",484788
"盖",484127
"烏",482985
"殊",482632
"朕",481925
"欽",480647
"負",476823
"毒",476565
"姑",476051
"勤",475238
"靜",474881
"愚",474401
