character,laoguoyin,zhuyin,ipa,codepoint
乂,ngai4,ㄫㄞ4,ŋaɪ4,U+4E42
乂,yi4,ㄧ4,i4,U+4E42
乃,nai3,ㄋㄞ3,naɪ3,U+4E43
之,i,ㄧ,i,U+4E4B
之,zh,ㄓ,ʈʂ,U+4E4B
之,zhi1,ㄓㄭ1,ʈʂɨ1,U+4E4B
乏,fa5,ㄈㄚ5,fa5,U+4E4F
乓,pang1,ㄆㄤ1,pʰɑŋ1,U+4E53
乖,guai1,ㄍㄨㄞ1,kuaɪ1,U+4E56
乘,cheng2,ㄔㄥ2,ʈʂʰəŋ2,U+4E58
乙,yi3,ㄧ3,i3,U+4E59
九,angr,ㄤㄦ,,U+4E5D
九,eo5,ㄜ5,ɤ5,U+4E5D
九,iai,ㄧㄞ,,U+4E5D
九,jieu3,ㄐㄧㄡ3,tɕiɔʊ3,U+4E5D
九,o5,ㄛ5,ɔ5,U+4E5D
乞,qi5,ㄑㄧ5,tɕʰi5,U+4E5E
也,e,ㄝ,ɛ,U+4E5F
也,ye3,ㄧㄝ3,iɛ3,U+4E5F
乱,luan4,ㄌㄨㄢ4,luan4,U+4E71
乳,ru3,ㄖㄨ3,ʐu3,U+4E73
乾,gan1,ㄍㄢ1,kan1,U+4E7E
乾,qian2,ㄑㄧㄢ2,tɕʰiɛn2,U+4E7E
亂,luan4,ㄌㄨㄢ4,luan4,U+4E82
了,la,ㄌㄚ,la,U+4E86
了,leo,ㄌㄜ,lɤ,U+4E86
了,liau3,ㄌㄧㄠ3,liɑʊ3,U+4E86
事,shi3,ㄕㄭ3,ʂɨ3,U+4E8B
事,shi4,ㄕㄭ4,ʂɨ4,U+4E8B
二,angr,ㄤㄦ,,U+4E8C
二,ar,ㄚㄦ,,U+4E8C
二,aur,ㄠㄦ,,U+4E8C
二,er,ㄦ,əɻ,U+4E8C
二,er4,ㄦ4,əɻ4,U+4E8C
二,eur,ㄡㄦ,,U+4E8C
二,or,ㄛㄦ,,U+4E8C
二,riw,ㄖㄭ,ʐɨ,U+4E8C
云,yun2,,,U+4E91
互,hu4,ㄏㄨ4,xu4,U+4E92
五,ar,ㄚㄦ,,U+4E94
五,u,ㄨ,u,U+4E94
五,wu3,ㄨ3,u3,U+4E94
井,zing3,ㄗㄧㄥ3,,U+4E95
亘,geng4,ㄍㄥ4,kəŋ4,U+4E98
亘,syuan1,ㄙㄩㄢ1,,U+4E98
些,sie1,ㄙㄧㄝ1,siɛ1,U+4E9B
亞,ya4,ㄧㄚ4,iɑ4,U+4E9E
亟,ji5,ㄐㄧ5,tɕi5,U+4E9F
亟,qi4,ㄑㄧ4,tɕʰi4,U+4E9F
亡,wang2,ㄨㄤ2,,U+4EA1
亢,gang1,ㄍㄤ1,kɑŋ1,U+4EA2
亢,kang4,ㄎㄤ4,kʰɑŋ4,U+4EA2
交,jiau1,ㄐㄧㄠ1,tɕiɑʊ1,U+4EA4
亥,hai4,ㄏㄞ4,xaɪ4,U+4EA5
亨,heng1,ㄏㄥ1,xəŋ1,U+4EA8
享,xiang3,ㄒㄧㄤ3,,U+4EAB
京,jing1,ㄐㄧㄥ1,,U+4EAC
亭,ting2,ㄊㄧㄥ2,,U+4EAD
亮,liang4,ㄌㄧㄤ4,,U+4EAE
人,ren2,ㄖㄣ2,ʐən2,U+4EBA
什,shi5,ㄕㄭ5,ʂɨ5,U+4EC0
仃,ding1,ㄉㄧㄥ1,,U+4EC3
仄,zeo5,ㄗㄜ5,tsɤ5,U+4EC4
仆,peu4,ㄆㄡ4,pʰoʊ4,U+4EC6
仇,cheu2,ㄔㄡ2,ʈʂʰoʊ2,U+4EC7
仇,qieu2,ㄑㄧㄡ2,tɕʰiɔʊ2,U+4EC7
今,jin1,ㄐㄧㄣ1,tɕin1,U+4ECA
介,jiai4,ㄐㄧㄞ4,,U+4ECB
仍,reng2,ㄖㄥ2,ʐəŋ2,U+4ECD
从,cung2,ㄘㄨㄥ2,tsʰʊŋ2,U+4ECE
仕,shi4,ㄕㄭ4,ʂɨ4,U+4ED5
他,ta1,ㄊㄚ1,tʰa1,U+4ED6
仗,zhang4,ㄓㄤ4,ʈʂɑŋ4,U+4ED7
仙,in,ㄧㄣ,in,U+4ED9
仙,sian1,ㄙㄧㄢ1,siɛn1,U+4ED9
代,dai4,ㄉㄞ4,taɪ4,U+4EE3
令,ling2,ㄌㄧㄥ2,,U+4EE4
令,ling4,ㄌㄧㄥ4,,U+4EE4
以,yi3,ㄧ3,i3,U+4EE5
仰,yang3,ㄧㄤ3,,U+4EF0
仲,zhung4,ㄓㄨㄥ4,ʈʂʊŋ4,U+4EF2
价,jia4,ㄐㄧㄚ4,tɕiɑ4,U+4EF7
任,ren4,ㄖㄣ4,ʐən4,U+4EFB
仿,fang3,ㄈㄤ3,fɑŋ3,U+4EFF
企,qi3,ㄑㄧ3,tɕʰi3,U+4F01
企,qi4,ㄑㄧ4,tɕʰi4,U+4F01
伉,kang4,ㄎㄤ4,kʰɑŋ4,U+4F09
伏,fu5,ㄈㄨ5,fu5,U+4F0F
伐,fa5,ㄈㄚ5,fa5,U+4F10
休,xieu1,ㄒㄧㄡ1,ɕiɔʊ1,U+4F11
伙,huo3,ㄏㄨㄛ3,xuɔ3,U+4F19
伱,ni3,ㄋㄧ3,ni3,U+4F31
伴,ban4,ㄅㄢ4,pan4,U+4F34
伴,pan4,ㄆㄢ4,pʰan4,U+4F34
伶,ling2,ㄌㄧㄥ2,,U+4F36
似,shi4,ㄕㄭ4,ʂɨ4,U+4F3C
似,si4,ㄙㄭ4,sɨ4,U+4F3C
伽,jia1,ㄐㄧㄚ1,tɕiɑ1,U+4F3D
伽,qia2,ㄑㄧㄚ2,tɕʰiɑ2,U+4F3D
佁,ai3,ㄞ3,aɪ3,U+4F41
佁,chi4,ㄔㄭ4,ʈʂʰɨ4,U+4F41
但,dan4,ㄉㄢ4,tan4,U+4F46
佉,qyu1,ㄑㄩ1,tɕʰy1,U+4F49
低,di1,ㄉㄧ1,ti1,U+4F4E
住,zhu4,ㄓㄨ4,ʈʂu4,U+4F4F
佑,yeu4,ㄧㄡ4,iɔʊ4,U+4F51
佔,dan1,ㄉㄢ1,tan1,U+4F54
佔,zhan4,ㄓㄢ4,ʈʂan4,U+4F54
何,ho2,ㄏㄛ2,xɔ2,U+4F55
佛,bi5,ㄅㄧ5,pi5,U+4F5B
佛,fu5,ㄈㄨ5,fu5,U+4F5B
作,zo5,ㄗㄛ5,tsɔ5,U+4F5C
你,ni3,ㄋㄧ3,ni3,U+4F60
佢,qyu2,ㄑㄩ2,tɕʰy2,U+4F62
佩,pei4,ㄆㄟ4,pʰeɪ4,U+4F69
佯,yang2,ㄧㄤ2,,U+4F6F
佳,jia1,ㄐㄧㄚ1,tɕiɑ1,U+4F73
佳,re,ㄖㄝ,ʐɛ,U+4F73
佻,tiau1,ㄊㄧㄠ1,tʰiɑʊ1,U+4F7B
佻,yau2,ㄧㄠ2,iɑʊ2,U+4F7B
使,shi3,ㄕㄭ3,ʂɨ3,U+4F7F
侃,kan3,ㄎㄢ3,kʰan3,U+4F83
來,lai,ㄌㄞ,laɪ,U+4F86
來,lai2,ㄌㄞ2,laɪ2,U+4F86
侈,chi3,ㄔㄭ3,ʈʂʰɨ3,U+4F88
侉,kua1,ㄎㄨㄚ1,kʰuɑ1,U+4F89
侊,guang1,ㄍㄨㄤ1,,U+4F8A
侊,gung1,ㄍㄨㄥ1,kʊŋ1,U+4F8A
例,li4,ㄌㄧ4,li4,U+4F8B
侍,shi4,ㄕㄭ4,ʂɨ4,U+4F8D
侖,lun2,ㄌㄨㄣ2,luən2,U+4F96
供,gung1,ㄍㄨㄥ1,kʊŋ1,U+4F9B
供,gung4,ㄍㄨㄥ4,kʊŋ4,U+4F9B
侯,heu2,ㄏㄡ2,xoʊ2,U+4FAF
侯,u,ㄨ,u,U+4FAF
侵,cin1,ㄘㄧㄣ1,tsʰin1,U+4FB5
侶,lyu3,ㄌㄩ3,ly3,U+4FB6
便,bian4,ㄅㄧㄢ4,piɛn4,U+4FBF
便,pian2,ㄆㄧㄢ2,pʰiɛn2,U+4FBF
係,xi4,ㄒㄧ4,ɕi4,U+4FC2
促,cu5,ㄘㄨ5,tsʰu5,U+4FC3
俄,ngo2,ㄫㄛ2,ŋɔ2,U+4FC4
俊,zyun4,ㄗㄩㄣ4,,U+4FCA
俏,ciau4,ㄘㄧㄠ4,tsʰiɑʊ4,U+4FCF
俑,tung1,ㄊㄨㄥ1,tʰʊŋ1,U+4FD1
俓,jing4,ㄐㄧㄥ4,,U+4FD3
俓,ying4,ㄧㄧㄥ4,,U+4FD3
俔,qian4,ㄑㄧㄢ4,tɕʰiɛn4,U+4FD4
俗,su5,ㄙㄨ5,su5,U+4FD7
俘,fu2,ㄈㄨ2,fu2,U+4FD8
俛,fu3,ㄈㄨ3,fu3,U+4FDB
俛,mian3,ㄇㄧㄢ3,miɛn3,U+4FDB
保,bau3,ㄅㄠ3,pɑʊ3,U+4FDD
俟,si4,ㄙㄭ4,sɨ4,U+4FDF
俠,jia5,ㄐㄧㄚ5,tɕiɑ5,U+4FE0
俠,xie5,ㄒㄧㄝ5,ɕiɛ5,U+4FE0
信,sin4,ㄙㄧㄣ4,sin4,U+4FE1
修,sieu1,ㄙㄧㄡ1,siɔʊ1,U+4FEE
俯,fu3,ㄈㄨ3,fu3,U+4FEF
俶,chu5,ㄔㄨ5,ʈʂʰu5,U+4FF6
俶,ti5,ㄊㄧ5,tʰi5,U+4FF6
俺,an3,ㄢ3,an3,U+4FFA
俾,bi3,ㄅㄧ3,pi3,U+4FFE
俾,pi4,ㄆㄧ4,pʰi4,U+4FFE
倀,zheng4,ㄓㄥ4,ʈʂəŋ4,U+5000
倄,wei4,ㄨㄟ4,ueɪ4,U+5004
倄,xiau2,ㄒㄧㄠ2,ɕiɑʊ2,U+5004
倅,cuei4,ㄘㄨㄟ4,tsʰueɪ4,U+5005
倅,zu5,ㄗㄨ5,tsu5,U+5005
倆,lia3,ㄌㄧㄚ3,liɑ3,U+5006
倉,cang1,ㄘㄤ1,tsʰɑŋ1,U+5009
個,geo,ㄍㄜ,kɤ,U+500B
個,go4,ㄍㄛ4,kɔ4,U+500B
倍,bei4,ㄅㄟ4,peɪ4,U+500D
倏,shu5,ㄕㄨ5,ʂu5,U+500F
們,men,ㄇㄣ,mən,U+5011
們,men2,ㄇㄣ2,mən2,U+5011
倒,dau3,ㄉㄠ3,tɑʊ3,U+5012
倒,dau4,ㄉㄠ4,tɑʊ4,U+5012
倔,jyue5,ㄐㄩㄝ5,tɕyɛ5,U+5014
倖,xing4,ㄒㄧㄥ4,,U+5016
倘,tang3,ㄊㄤ3,tʰɑŋ3,U+5018
候,heu,ㄏㄡ,xoʊ,U+5019
倚,yi3,ㄧ3,i3,U+501A
倚,yi4,ㄧ4,i4,U+501A
借,zie4,ㄗㄧㄝ4,tsiɛ4,U+501F
倡,chang1,ㄔㄤ1,ʈʂʰɑŋ1,U+5021
倡,chang4,ㄔㄤ4,ʈʂʰɑŋ4,U+5021
倣,fang3,ㄈㄤ3,fɑŋ3,U+5023
倦,jyuan4,ㄐㄩㄢ4,,U+5026
倩,cian4,ㄘㄧㄢ4,tsʰiɛn4,U+5029
倩,cing4,ㄘㄧㄥ4,,U+5029
倪,nji2,ㄬㄧ2,ɲi2,U+502A
倫,lun2,ㄌㄨㄣ2,luən2,U+502B
倭,wei1,ㄨㄟ1,ueɪ1,U+502D
倭,wo1,ㄨㄛ1,uɔ1,U+502D
倮,guo3,ㄍㄨㄛ3,kuɔ3,U+502E
