character,laoguoyin,zhuyin,ipa,codepoint
列,lie5,ㄌㄧㄝ5,liɛ5,U+5217
初,chu1,ㄔㄨ1,ʈʂʰu1,U+521D
删,shan1,ㄕㄢ1,ʂan1,U+5220
判,pan4,ㄆㄢ4,pʰan4,U+5224
別,bie5,ㄅㄧㄝ5,piɛ5,U+5225
刦,jie5,ㄐㄧㄝ5,tɕiɛ5,U+5226
利,li4,ㄌㄧ4,li4,U+5229
刪,ran,ㄖㄢ,ʐan,U+522A
刪,shan1,ㄕㄢ1,ʂan1,U+522A
刮,gua5,ㄍㄨㄚ5,kuɑ5,U+522E
刷,shua5,ㄕㄨㄚ5,ʂuɑ5,U+5237
券,qyuan4,ㄑㄩㄢ4,,U+5238
刺,ci4,ㄘㄭ4,tsʰɨ4,U+523A
刺,cyi5,ㄘㄧ5,tsʰi5,U+523A
刻,keo5,ㄎㄜ5,kʰɤ5,U+523B
剁,duo4,ㄉㄨㄛ4,tuɔ4,U+5241
剃,ti4,ㄊㄧ4,tʰi4,U+5243
則,zeo5,ㄗㄜ5,tsɤ5,U+5247
削,sio5,ㄙㄧㄛ5,siɔ5,U+524A
剌,la5,ㄌㄚ5,la5,U+524C
前,cian2,ㄘㄧㄢ2,tsʰiɛn2,U+524D
剎,cha5,ㄔㄚ5,ʈʂʰa5,U+524E
剎,sha5,ㄕㄚ5,ʂa5,U+524E
剔,ti5,ㄊㄧ5,tʰi5,U+5254
剛,gang1,ㄍㄤ1,kɑŋ1,U+525B
剜,wan1,ㄨㄢ1,uan1,U+525C
剝,bo5,ㄅㄛ5,pɔ5,U+525D
剩,sheng4,ㄕㄥ4,ʂəŋ4,U+5269
副,fu5,ㄈㄨ5,fu5,U+526F
副,pi5,ㄆㄧ5,pʰi5,U+526F
割,go5,ㄍㄛ5,kɔ5,U+5272
創,chuang1,ㄔㄨㄤ1,,U+5275
創,chuang4,ㄔㄨㄤ4,,U+5275
剷,chan3,ㄔㄢ3,ʈʂʰan3,U+5277
劇,jyu5,ㄐㄩ5,tɕy5,U+5287
劈,pi5,ㄆㄧ5,pʰi5,U+5288
劉,lieu2,ㄌㄧㄡ2,liɔʊ2,U+5289
劍,jian4,ㄐㄧㄢ4,tɕiɛn4,U+528D
劑,zyi1,ㄗㄧ1,tsi1,U+5291
劑,zyi4,ㄗㄧ4,tsi4,U+5291
力,li5,ㄌㄧ5,li5,U+529B
功,gung1,ㄍㄨㄥ1,kʊŋ1,U+529F
加,jia1,ㄐㄧㄚ1,tɕiɑ1,U+52A0
劣,lyue5,ㄌㄩㄝ5,lyɛ5,U+52A3
努,nu3,ㄋㄨ3,nu3,U+52AA
劫,jie5,ㄐㄧㄝ5,tɕiɛ5,U+52AB
効,xiau4,ㄒㄧㄠ4,ɕiɑʊ4,U+52B9
勃,bo5,ㄅㄛ5,pɔ5,U+52C3
勇,yung3,,,U+52C7
勉,mian3,ㄇㄧㄢ3,miɛn3,U+52C9
勒,l,ㄌ,l,U+52D2
勒,leo,ㄌㄜ,lɤ,U+52D2
勒,leo5,ㄌㄜ5,lɤ5,U+52D2
動,dung4,ㄉㄨㄥ4,tʊŋ4,U+52D5
勘,kan1,ㄎㄢ1,kʰan1,U+52D8
勘,kan4,ㄎㄢ4,kʰan4,U+52D8
勛,xyun1,ㄒㄩㄣ1,,U+52DB
勝,sheng1,ㄕㄥ1,ʂəŋ1,U+52DD
勝,sheng4,ㄕㄥ4,ʂəŋ4,U+52DD
勞,lau2,ㄌㄠ2,lɑʊ2,U+52DE
勞,lau4,ㄌㄠ4,lɑʊ4,U+52DE
募,mu4,ㄇㄨ4,mu4,U+52DF
勢,shi4,ㄕㄭ4,ʂɨ4,U+52E2
勤,qin2,ㄑㄧㄣ2,tɕʰin2,U+52E4
勦,ziau3,ㄗㄧㄠ3,tsiɑʊ3,U+52E6
勳,xyun1,ㄒㄩㄣ1,,U+52F3
勵,li4,ㄌㄧ4,li4,U+52F5
勸,qyuan4,ㄑㄩㄢ4,,U+52F8
勺,sho5,ㄕㄛ5,ʂɔ5,U+52FA
勺,zho5,ㄓㄛ5,ʈʂɔ5,U+52FA
勻,yun2,,,U+52FB
勾,geu1,ㄍㄡ1,koʊ1,U+52FE
勿,wu5,ㄨ5,u5,U+52FF
包,bau1,ㄅㄠ1,pɑʊ1,U+5305
匈,xyung1,ㄒㄩㄥ1,ɕyŋ1,U+5308
化,hua4,ㄏㄨㄚ4,xuɑ4,U+5316
化,r,ㄦ,əɻ,U+5316
北,be5,ㄅㄝ5,pɛ5,U+5317
北,bei4,ㄅㄟ4,peɪ4,U+5317
北,beo5,ㄅㄜ5,pɤ5,U+5317
匠,ziang4,ㄗㄧㄤ4,,U+5320
匡,kuang1,ㄎㄨㄤ1,,U+5321
匪,fei3,ㄈㄟ3,feɪ3,U+532A
匹,pi5,ㄆㄧ5,pʰi5,U+5339
匾,bian3,ㄅㄧㄢ3,piɛn3,U+533E
匿,nji5,ㄬㄧ5,ɲi5,U+533F
區,eu1,ㄡ1,oʊ1,U+5340
區,qyu1,ㄑㄩ1,tɕʰy1,U+5340
十,angr,ㄤㄦ,,U+5341
十,ar,ㄚㄦ,,U+5341
十,aur,ㄠㄦ,,U+5341
十,en,ㄣ,ən,U+5341
十,engr,ㄥㄦ,,U+5341
十,er,ㄦ,əɻ,U+5341
十,eur,ㄡㄦ,,U+5341
十,or,ㄛㄦ,,U+5341
十,shi5,ㄕㄭ5,ʂɨ5,U+5341
十,ungr,ㄨㄥㄦ,,U+5341
千,cian1,ㄘㄧㄢ1,tsʰiɛn1,U+5343
卄,njian4,ㄬㄧㄢ4,ɲiɛn4,U+5344
卅,sa5,ㄙㄚ5,sa5,U+5345
升,sheng1,ㄕㄥ1,ʂəŋ1,U+5347
午,wu3,ㄨ3,u3,U+5348
半,ban4,ㄅㄢ4,pan4,U+534A
半,mi,ㄇㄧ,mi,U+534A
卌,syi5,ㄙㄧ5,si5,U+534C
卑,bei1,ㄅㄟ1,peɪ1,U+5351
卒,zu5,ㄗㄨ5,tsu5,U+5352
卓,zhuo5,ㄓㄨㄛ5,ʈʂuɔ5,U+5353
協,xie5,ㄒㄧㄝ5,ɕiɛ5,U+5354
南,nan2,ㄋㄢ2,nan2,U+5357
博,bo5,ㄅㄛ5,pɔ5,U+535A
卜,bu5,ㄅㄨ5,pu5,U+535C
卝,guan4,ㄍㄨㄢ4,kuan4,U+535D
卝,gung3,ㄍㄨㄥ3,kʊŋ3,U+535D
卝,xyung4,ㄒㄩㄥ4,ɕyŋ4,U+535D
卞,bian4,ㄅㄧㄢ4,piɛn4,U+535E
占,zhan1,ㄓㄢ1,ʈʂan1,U+5360
占,zhan4,ㄓㄢ4,ʈʂan4,U+5360
卡,ka3,ㄎㄚ3,kʰa3,U+5361
卡,qia3,ㄑㄧㄚ3,tɕʰiɑ3,U+5361
卦,gua4,ㄍㄨㄚ4,kuɑ4,U+5366
卯,mau3,ㄇㄠ3,mɑʊ3,U+536F
危,ei,ㄟ,eɪ,U+5371
即,zyi5,ㄗㄧ5,tsi5,U+5373
却,qio5,ㄑㄧㄛ5,tɕʰiɔ5,U+5374
卵,luan3,ㄌㄨㄢ3,luan3,U+5375
卵,luo3,ㄌㄨㄛ3,luɔ3,U+5375
卷,jyuan3,ㄐㄩㄢ3,,U+5377
卷,jyuan4,ㄐㄩㄢ4,,U+5377
卷,qyuan2,ㄑㄩㄢ2,,U+5377
卸,sie4,ㄙㄧㄝ4,siɛ4,U+5378
卹,syu5,ㄙㄩ5,sy5,U+5379
卻,qio5,ㄑㄧㄛ5,tɕʰiɔ5,U+537B
卽,zyi5,ㄗㄧ5,tsi5,U+537D
厄,eo,ㄜ,ɤ,U+5384
厄,eo5,ㄜ5,ɤ5,U+5384
厓,yai2,ㄧㄞ2,,U+5393
厘,li2,ㄌㄧ2,li2,U+5398
原,yuan2,ㄩㄢ2,,U+539F
厥,jyue5,ㄐㄩㄝ5,tɕyɛ5,U+53A5
厦,sha4,ㄕㄚ4,ʂa4,U+53A6
厦,xia4,ㄒㄧㄚ4,ɕiɑ4,U+53A6
厭,yan4,ㄧㄢ4,iɛn4,U+53AD
厭,ye5,ㄧㄝ5,iɛ5,U+53AD
厱,lan2,ㄌㄢ2,lan2,U+53B1
厱,qian1,ㄑㄧㄢ1,tɕʰiɛn1,U+53B1
厲,li4,ㄌㄧ4,li4,U+53B2
厶,meu3,ㄇㄡ3,moʊ3,U+53B6
厶,si1,ㄙㄭ1,sɨ1,U+53B6
去,la,ㄌㄚ,la,U+53BB
去,qyu4,ㄑㄩ4,tɕʰy4,U+53BB
參,can1,ㄘㄢ1,tsʰan1,U+53C3
參,cen1,ㄘㄣ1,tsʰən1,U+53C3
參,chen1,ㄔㄣ1,ʈʂʰən1,U+53C3
參,san1,ㄙㄢ1,san1,U+53C3
參,shen1,ㄕㄣ1,ʂən1,U+53C3
又,yeu4,ㄧㄡ4,iɔʊ4,U+53C8
叉,cha1,ㄔㄚ1,ʈʂʰa1,U+53C9
及,ji5,ㄐㄧ5,tɕi5,U+53CA
友,yeu3,ㄧㄡ3,iɔʊ3,U+53CB
双,shuang1,ㄕㄨㄤ1,,U+53CC
反,fan3,ㄈㄢ3,fan3,U+53CD
叔,shu5,ㄕㄨ5,ʂu5,U+53D4
取,cyu3,ㄘㄩ3,tsʰy3,U+53D6
变,bian4,ㄅㄧㄢ4,piɛn4,U+53D8
叙,syu4,ㄙㄩ4,sy4,U+53D9
叛,pan4,ㄆㄢ4,pʰan4,U+53DB
叟,seu3,ㄙㄡ3,soʊ3,U+53DF
叠,die5,ㄉㄧㄝ5,tiɛ5,U+53E0
叢,cung2,ㄘㄨㄥ2,tsʰʊŋ2,U+53E2
口,i,ㄧ,i,U+53E3
口,keu3,ㄎㄡ3,kʰoʊ3,U+53E3
句,geu1,ㄍㄡ1,koʊ1,U+53E5
句,jyu4,ㄐㄩ4,tɕy4,U+53E5
另,ling4,ㄌㄧㄥ4,,U+53E6
叨,tau1,ㄊㄠ1,tʰɑʊ1,U+53E8
叩,keu4,ㄎㄡ4,kʰoʊ4,U+53E9
叫,jiau4,ㄐㄧㄠ4,tɕiɑʊ4,U+53EB
召,zhau4,ㄓㄠ4,ʈʂɑʊ4,U+53EC
叭,ba5,ㄅㄚ5,pa5,U+53ED
叮,ding1,ㄉㄧㄥ1,,U+53EE
可,k,ㄎ,kʰ,U+53EF
可,ko3,ㄎㄛ3,kʰɔ3,U+53EF
台,tai1,ㄊㄞ1,tʰaɪ1,U+53F0
台,tai2,ㄊㄞ2,tʰaɪ2,U+53F0
台,yi2,ㄧ2,i2,U+53F0
史,shi3,ㄕㄭ3,ʂɨ3,U+53F2
右,yeu4,ㄧㄡ4,iɔʊ4,U+53F3
叶,e,ㄝ,ɛ,U+53F6
叶,xie5,ㄒㄧㄝ5,ɕiɛ5,U+53F6
司,si1,ㄙㄭ1,sɨ1,U+53F8
叼,diau1,ㄉㄧㄠ1,tiɑʊ1,U+53FC
吁,xyu1,ㄒㄩ1,ɕy1,U+5401
吃,chi5,ㄔㄭ5,ʈʂʰɨ5,U+5403
吃,qi5,ㄑㄧ5,tɕʰi5,U+5403
各,go5,ㄍㄛ5,kɔ5,U+5404
合,go5,ㄍㄛ5,kɔ5,U+5408
合,ho5,ㄏㄛ5,xɔ5,U+5408
吉,ji5,ㄐㄧ5,tɕi5,U+5409
吊,diau4,ㄉㄧㄠ4,tiɑʊ4,U+540A
同,tung2,ㄊㄨㄥ2,tʰʊŋ2,U+540C
名,ming2,ㄇㄧㄥ2,,U+540D
吏,li4,ㄌㄧ4,li4,U+540F
吐,tu3,ㄊㄨ3,tʰu3,U+5410
吐,tu4,ㄊㄨ4,tʰu4,U+5410
吕,lyu3,ㄌㄩ3,ly3,U+5415
君,jyun1,ㄐㄩㄣ1,,U+541B
吝,lin4,ㄌㄧㄣ4,lin4,U+541D
吞,tun1,ㄊㄨㄣ1,tʰuən1,U+541E
吟,in2,ㄧㄣ2,in2,U+541F
吟,yin4,ㄧㄧㄣ4,,U+541F
吠,fei3,ㄈㄟ3,feɪ3,U+5420
吠,fei4,ㄈㄟ4,feɪ4,U+5420
否,feu3,ㄈㄡ3,foʊ3,U+5426
否,pi3,ㄆㄧ3,pʰi3,U+5426
吧,ba,ㄅㄚ,pa,U+5427
吩,fen1,ㄈㄣ1,fən1,U+5429
吩,pen1,ㄆㄣ1,pʰən1,U+5429
含,han2,ㄏㄢ2,xan2,U+542B
听,ting1,ㄊㄧㄥ1,,U+542C
听,ting4,ㄊㄧㄥ4,,U+542C
吳,wu2,ㄨ2,u2,U+5433
吵,chau3,ㄔㄠ3,ʈʂʰɑʊ3,U+5435
吶,na5,ㄋㄚ5,na5,U+5436
吸,xi5,ㄒㄧ5,ɕi5,U+5438
吹,chuei1,ㄔㄨㄟ1,ʈʂʰueɪ1,U+5439
吻,un3,ㄨㄣ3,uən3,U+543B
吼,heu3,ㄏㄡ3,xoʊ3,U+543C
吽,men1,ㄇㄣ1,mən1,U+543D
呀,xia1,ㄒㄧㄚ1,ɕiɑ1,U+5440
呀,ya1,ㄧㄚ1,iɑ1,U+5440
呂,lyu3,ㄌㄩ3,ly3,U+5442
呃,eo,ㄜ,ɤ,U+5443
呃,eo5,ㄜ5,ɤ5,U+5443
呆,dai1,ㄉㄞ1,taɪ1,U+5446
呆,ngai2,ㄫㄞ2,ŋaɪ2,U+5446
呈,cheng2,ㄔㄥ2,ʈʂʰəŋ2,U+5448
告,gau4,ㄍㄠ4,kɑʊ4,U+544A
呌,jiau4,ㄐㄧㄠ4,tɕiɑʊ4,U+544C
呢,nji,ㄬㄧ,ɲi,U+5462
呢,nji2,ㄬㄧ2,ɲi2,U+5462
周,zheu1,ㄓㄡ1,ʈʂoʊ1,U+5468
味,vei4,ㄪㄟ4,ʋeɪ4,U+5473
味,vi4,ㄪㄧ4,ʋi4,U+5473
味,wei4,ㄨㄟ4,ueɪ4,U+5473
呵,ha1,ㄏㄚ1,xa1,U+5475
呵,ho1,ㄏㄛ1,xɔ1,U+5475
呸,pei1,ㄆㄟ1,pʰeɪ1,U+5478
呺,hau2,ㄏㄠ2,xɑʊ2,U+547A
呺,xiau1,ㄒㄧㄠ1,ɕiɑʊ1,U+547A
呼,hu1,ㄏㄨ1,xu1,U+547C
呼,i,ㄧ,i,U+547C
命,ming4,ㄇㄧㄥ4,,U+547D
呿,qie5,ㄑㄧㄝ5,tɕʰiɛ5,U+547F
呿,qyu1,ㄑㄩ1,tɕʰy1,U+547F
和,ho2,ㄏㄛ2,xɔ2,U+548C
咍,ai,ㄞ,aɪ,U+548D
咏,yung3,,,U+548F
咒,zheu4,ㄓㄡ4,ʈʂoʊ4,U+5492
咥,die5,ㄉㄧㄝ5,tiɛ5,U+54A5
咥,xi4,ㄒㄧ4,ɕi4,U+54A5
咦,xi1,ㄒㄧ1,ɕi1,U+54A6
咦,yi2,ㄧ2,i2,U+54A6
咧,lie,ㄌㄧㄝ,liɛ,U+54A7
咬,yau3,ㄧㄠ3,iɑʊ3,U+54AC
咮,zheu1,ㄓㄡ1,ʈʂoʊ1,U+54AE
咮,zhu4,ㄓㄨ4,ʈʂu4,U+54AE
咯,go5,ㄍㄛ5,kɔ5,U+54AF
咯,lo,ㄌㄛ,lɔ,U+54AF
咯,lo5,ㄌㄛ5,lɔ5,U+54AF
咱,za2,ㄗㄚ2,tsa2,U+54B1
咱,zan2,ㄗㄢ2,tsan2,U+54B1
咳,hai2,ㄏㄞ2,xaɪ2,U+54B3
咳,kai4,ㄎㄞ4,kʰaɪ4,U+54B3
咳,keo5,ㄎㄜ5,kʰɤ5,U+54B3
咸,xian2,ㄒㄧㄢ2,ɕiɛn2,U+54B8
咻,xieu1,ㄒㄧㄡ1,ɕiɔʊ1,U+54BB
咽,yan1,ㄧㄢ1,iɛn1,U+54BD
咽,ye5,ㄧㄝ5,iɛ5,U+54BD
哀,ai,ㄞ,aɪ,U+54C0
哀,ai1,ㄞ1,aɪ1,U+54C0
品,pin3,ㄆㄧㄣ3,pʰin3,U+54C1
哄,hung3,ㄏㄨㄥ3,xʊŋ3,U+54C4
哆,chi3,ㄔㄭ3,ʈʂʰɨ3,U+54C6
哆,do3,ㄉㄛ3,tɔ3,U+54C6
哉,zai1,ㄗㄞ1,tsaɪ1,U+54C9
哎,ai1,ㄞ1,aɪ1,U+54CE
員,yun2,,,U+54E1
哥,go1,ㄍㄛ1,kɔ1,U+54E5
哦,ngo2,ㄫㄛ2,ŋɔ2,U+54E6
哦,o,ㄛ,ɔ,U+54E6
哦,o1,ㄛ1,ɔ1,U+54E6
哨,siau1,ㄙㄧㄠ1,siɑʊ1,U+54E8
哩,li,ㄌㄧ,li,U+54E9
哪,na3,ㄋㄚ3,na3,U+54EA
哭,ku5,ㄎㄨ5,kʰu5,U+54ED
哲,zhe5,ㄓㄝ5,ʈʂɛ5,U+54F2
哲,zheo5,ㄓㄜ5,ʈʂɤ5,U+54F2
哼,eng,ㄥ,əŋ,U+54FC
哼,eng1,ㄥ1,əŋ1,U+54FC
哼,heng1,ㄏㄥ1,xəŋ1,U+54FC
哿,ko3,ㄎㄛ3,kʰɔ3,U+54FF
唇,chun2,ㄔㄨㄣ2,ʈʂʰuən2,U+5507
唇,zhen1,ㄓㄣ1,ʈʂən1,U+5507
唉,ai1,ㄞ1,aɪ1,U+5509
唉,hai4,ㄏㄞ4,xaɪ4,U+5509
唏,xi1,ㄒㄧ1,ɕi1,U+550F
唏,xi3,ㄒㄧ3,ɕi3,U+550F
唐,ang,ㄤ,ɑŋ,U+5510
唐,tang2,ㄊㄤ2,tʰɑŋ2,U+5510
唧,zyi5,ㄗㄧ5,tsi5,U+5527
唯,wei2,ㄨㄟ2,ueɪ2,U+552F
唯,wei3,ㄨㄟ3,ueɪ3,U+552F
唱,chang4,ㄔㄤ4,ʈʂʰɑŋ4,U+5531
唵,an3,ㄢ3,an3,U+5535
唶,zie4,ㄗㄧㄝ4,tsiɛ4,U+5536
唷,yo5,ㄧㄛ5,iɔ5,U+5537
唾,tuo4,ㄊㄨㄛ4,tʰuɔ4,U+553E
啁,chau1,ㄔㄠ1,ʈʂʰɑʊ1,U+5541
啁,zheu1,ㄓㄡ1,ʈʂoʊ1,U+5541
商,shang1,ㄕㄤ1,ʂɑŋ1,U+5546
啊,a1,ㄚ1,a1,U+554A
問,wen4,ㄨㄣ4,uən4,U+554F
啐,chai4,ㄔㄞ4,ʈʂʰaɪ4,U+5550
啐,cuei4,ㄘㄨㄟ4,tsʰueɪ4,U+5550
啓,qi3,ㄑㄧ3,tɕʰi3,U+5553
啚,bi3,ㄅㄧ3,pi3,U+555A
啚,tu2,ㄊㄨ2,tʰu2,U+555A
啞,eo5,ㄜ5,ɤ5,U+555E
啞,ya3,ㄧㄚ3,iɑ3,U+555E
啟,qi3,ㄑㄧ3,tɕʰi3,U+555F
啡,bai3,ㄅㄞ3,paɪ3,U+5561
啡,pei1,ㄆㄟ1,pʰeɪ1,U+5561
啣,xian2,ㄒㄧㄢ2,ɕiɛn2,U+5563
啦,la,ㄌㄚ,la,U+5566
啷,lang1,ㄌㄤ1,lɑŋ1,U+5577
啼,ti2,ㄊㄧ2,tʰi2,U+557C
啾,zieu1,ㄗㄧㄡ1,tsiɔʊ1,U+557E
喁,yu2,ㄩ2,y2,U+5581
喁,yung2,,,U+5581
喃,nan2,ㄋㄢ2,nan2,U+5583
善,shan4,ㄕㄢ4,ʂan4,U+5584
喇,la5,ㄌㄚ5,la5,U+5587
喉,heu2,ㄏㄡ2,xoʊ2,U+5589
喊,han3,ㄏㄢ3,xan3,U+558A
喒,za2,ㄗㄚ2,tsa2,U+5592
喒,za3,ㄗㄚ3,tsa3,U+5592
喘,chuan3,ㄔㄨㄢ3,ʈʂʰuan3,U+5598
喚,huan4,ㄏㄨㄢ4,xuan4,U+559A
喜,xi3,ㄒㄧ3,ɕi3,U+559C
喝,ai4,ㄞ4,aɪ4,U+559D
喝,h,ㄏ,x,U+559D
喝,ho5,ㄏㄛ5,xɔ5,U+559D
喧,xyuan1,ㄒㄩㄢ1,,U+55A7
喪,sang1,ㄙㄤ1,sɑŋ1,U+55AA
喪,sang4,ㄙㄤ4,sɑŋ4,U+55AA
喫,chi5,ㄔㄭ5,ʈʂʰɨ5,U+55AB
喫,qi5,ㄑㄧ5,tɕʰi5,U+55AB
喬,qiau2,ㄑㄧㄠ2,tɕʰiɑʊ2,U+55AC
單,dan1,ㄉㄢ1,tan1,U+55AE
單,shan2,ㄕㄢ2,ʂan2,U+55AE
喲,yo5,ㄧㄛ5,iɔ5,U+55B2
嗃,xiau4,ㄒㄧㄠ4,ɕiɑʊ4,U+55C3
嗄,a2,ㄚ2,a2,U+55C4
嗄,ai4,ㄞ4,aɪ4,U+55C4
嗄,sha4,ㄕㄚ4,ʂa4,U+55C4
嗅,xieu4,ㄒㄧㄡ4,ɕiɔʊ4,U+55C5
嗆,ciang4,ㄘㄧㄤ4,,U+55C6
嗌,ai4,ㄞ4,aɪ4,U+55CC
嗌,yi5,ㄧ5,i5,U+55CC
嗎,ma,ㄇㄚ,ma,U+55CE
嗓,sang3,ㄙㄤ3,sɑŋ3,U+55D3
嗚,wu1,ㄨ1,u1,U+55DA
嗛,qian3,ㄑㄧㄢ3,tɕʰiɛn3,U+55DB
嗛,xian2,ㄒㄧㄢ2,ɕiɛn2,U+55DB
嗜,shi4,ㄕㄭ4,ʂɨ4,U+55DC
嗟,zie1,ㄗㄧㄝ1,tsiɛ1,U+55DF
嗾,seu3,ㄙㄡ3,soʊ3,U+55FE
嗾,zu5,ㄗㄨ5,tsu5,U+55FE
嘆,tan4,ㄊㄢ4,tʰan4,U+5606
嘉,jia1,ㄐㄧㄚ1,tɕiɑ1,U+5609
嘔,eu1,ㄡ1,oʊ1,U+5614
嘔,eu3,ㄡ3,oʊ3,U+5614
嘔,xyu1,ㄒㄩ1,ɕy1,U+5614
嘖,zeo5,ㄗㄜ5,tsɤ5,U+5616
嘗,chang2,ㄔㄤ2,ʈʂʰɑŋ2,U+5617
嘯,siau4,ㄙㄧㄠ4,siɑʊ4,U+562F
嘴,zuei3,ㄗㄨㄟ3,tsueɪ3,U+5634
嘵,xiau3,ㄒㄧㄠ3,ɕiɑʊ3,U+5635
嘻,xi1,ㄒㄧ1,ɕi1,U+563B
嘽,chan3,ㄔㄢ3,ʈʂʰan3,U+563D
嘽,tan1,ㄊㄢ1,tʰan1,U+563D
嘿,hei1,ㄏㄟ1,xeɪ1,U+563F
嘿,heo5,ㄏㄜ5,xɤ5,U+563F
嘿,meo5,ㄇㄜ5,mɤ5,U+563F
噎,ye5,ㄧㄝ5,iɛ5,U+564E
噎,yi5,ㄧ5,i5,U+564E
噐,qi4,ㄑㄧ4,tɕʰi4,U+5650
噓,xyu1,ㄒㄩ1,ɕy1,U+5653
噥,nang2,ㄋㄤ2,nɑŋ2,U+5665
噥,nung2,ㄋㄨㄥ2,nʊŋ2,U+5665
噦,huei4,ㄏㄨㄟ4,xueɪ4,U+5666
噦,yue5,ㄩㄝ5,yɛ5,U+5666
器,qi4,ㄑㄧ4,tɕʰi4,U+5668
噫,ai4,ㄞ4,aɪ4,U+566B
噫,yi1,ㄧ1,i1,U+566B
噫,yi4,ㄧ4,i4,U+566B
噯,ai,ㄞ,aɪ,U+566F
噯,ai1,ㄞ1,aɪ1,U+566F
噴,pen1,ㄆㄣ1,pʰən1,U+5674
嚇,heo5,ㄏㄜ5,xɤ5,U+5687
嚇,xia4,ㄒㄧㄚ4,ɕiɑ4,U+5687
嚌,zhai1,ㄓㄞ1,ʈʂaɪ1,U+568C
嚌,zyi4,ㄗㄧ4,tsi4,U+568C
嚏,ti4,ㄊㄧ4,tʰi4,U+568F
嚕,lu1,ㄌㄨ1,lu1,U+5695
嚨,lung2,ㄌㄨㄥ2,lʊŋ2,U+56A8
嚮,xiang3,ㄒㄧㄤ3,,U+56AE
嚮,xiang4,ㄒㄧㄤ4,,U+56AE
嚷,rang3,ㄖㄤ3,ʐɑŋ3,U+56B7
嚼,zio5,ㄗㄧㄛ5,tsiɔ5,U+56BC
嚾,huan1,ㄏㄨㄢ1,xuan1,U+56BE
嚾,tuan4,ㄊㄨㄢ4,tʰuan4,U+56BE
囁,njie5,ㄬㄧㄝ5,ɲiɛ5,U+56C1
囁,zhe5,ㄓㄝ5,ʈʂɛ5,U+56C1
囂,ngau2,ㄫㄠ2,ŋɑʊ2,U+56C2
囂,xiau1,ㄒㄧㄠ1,ɕiɑʊ1,U+56C2
囊,nang,ㄋㄤ,nɑŋ,U+56CA
囊,nang2,ㄋㄤ2,nɑŋ2,U+56CA
囚,cieu2,ㄘㄧㄡ2,tsʰiɔʊ2,U+56DA
囚,sieu2,ㄙㄧㄡ2,siɔʊ2,U+56DA
四,er,ㄦ,əɻ,U+56DB
四,si4,ㄙㄭ4,sɨ4,U+56DB
四,yu5,ㄩ5,y5,U+56DB
囝,jian3,ㄐㄧㄢ3,tɕiɛn3,U+56DD
回,huei2,ㄏㄨㄟ2,xueɪ2,U+56DE
因,in1,ㄧㄣ1,in1,U+56E0
困,kun4,ㄎㄨㄣ4,kʰuən4,U+56F0
固,gu4,ㄍㄨ4,ku4,U+56FA
圈,qyuan1,ㄑㄩㄢ1,,U+5708
國,gue5,ㄍㄩㄝ5,kyɛ5,U+570B
國,gueo5,ㄍㄩㄛ5,kyɔ5,U+570B
國,guo5,ㄍㄨㄛ5,kuɔ5,U+570B
圌,chuan2,ㄔㄨㄢ2,ʈʂʰuan2,U+570C
圌,shuei2,ㄕㄨㄟ2,ʂueɪ2,U+570C
園,yuan2,ㄩㄢ2,,U+5712
圖,tu2,ㄊㄨ2,tʰu2,U+5716
團,tuan2,ㄊㄨㄢ2,tʰuan2,U+5718
圜,huan2,ㄏㄨㄢ2,xuan2,U+571C
圜,yuan2,ㄩㄢ2,,U+571C
土,tu3,ㄊㄨ3,tʰu3,U+571F
在,zai4,ㄗㄞ4,tsaɪ4,U+5728
圭,guei1,ㄍㄨㄟ1,kueɪ1,U+572D
地,di,ㄉㄧ,ti,U+5730
地,di4,ㄉㄧ4,ti4,U+5730
圾,ji5,ㄐㄧ5,tɕi5,U+573E
坂,ban3,ㄅㄢ3,pan3,U+5742
均,jyun1,ㄐㄩㄣ1,,U+5747
坊,fang1,ㄈㄤ1,fɑŋ1,U+574A
坊,fang2,ㄈㄤ2,fɑŋ2,U+574A
坎,kan3,ㄎㄢ3,kʰan3,U+574E
坐,zuo4,ㄗㄨㄛ4,tsuɔ4,U+5750
坑,keng1,ㄎㄥ1,kʰəŋ1,U+5751
坡,po1,ㄆㄛ1,pʰɔ1,U+5761
坤,kun1,ㄎㄨㄣ1,kʰuən1,U+5764
坦,tan3,ㄊㄢ3,tʰan3,U+5766
坯,pei,ㄆㄟ,pʰeɪ,U+576F
坯,pi3,ㄆㄧ3,pʰi3,U+576F
坳,au1,ㄠ1,ɑʊ1,U+5773
坻,chi2,ㄔㄭ2,ʈʂʰɨ2,U+577B
坻,zhi3,ㄓㄭ3,ʈʂɨ3,U+577B
垂,chuei2,ㄔㄨㄟ2,ʈʂʰueɪ2,U+5782
型,xing2,ㄒㄧㄥ2,,U+578B
垓,gai1,ㄍㄞ1,kaɪ1,U+5793
垢,geu3,ㄍㄡ3,koʊ3,U+57A2
垢,geu4,ㄍㄡ4,koʊ4,U+57A2
埃,ai1,ㄞ1,aɪ1,U+57C3
埃,zhi4,ㄓㄭ4,ʈʂɨ4,U+57C3
埋,mai2,ㄇㄞ2,maɪ2,U+57CB
城,cheng2,ㄔㄥ2,ʈʂʰəŋ2,U+57CE
域,yu5,ㄩ5,y5,U+57DF
埤,bi4,ㄅㄧ4,pi4,U+57E4
