chars,n,rank_1224
之,54528269,1
不,30058518,2
以,25934024,3
而,21519370,4
也,19941591,5
人,19415989,6
有,18939407,7
其,18671269,8
一,17777269,9
者,16942832,10
為,16693772,11
曰,13347318,12
於,12954279,13
子,12602871,14
十,11747024,15
大,11110633,16
無,10642113,17
所,10508000,18
二,10399676,19
三,10254255,20
中,9800123,21
是,9240336,22
此,9141760,23
年,8980431,24
上,8826789,25
下,8618498,26
則,8406085,27
如,8120620,28
天,8099803,29
可,7385392,30
在,7378227,31
自,7355286,32
王,7329764,33
日,7311400,34
事,7295255,35
公,7286874,36
故,7068329,37
得,7015494,38
至,6972445,39
生,6956072,40
四,6894767,41
五,6867029,42
言,6831951,43
書,6824768,44
行,6470487,45
時,6417117,46
丨,6276152,47
知,6124306,48
與,6055936,49
山,6003262,50
道,5985331,51
文,5980448,52
又,5939836,53
月,5728790,54
後,5639422,55
見,5568557,56
亦,5452779,57
明,5242162,58
出,5187865,59
相,5169165,60
何,5127564,61
州,5045581,62
名,4989318,63
然,4967316,64
南,4913619,65
今,4854611,66
作,4847027,67
心,4799890,68
未,4701642,69
謂,4684747,70
水,4657918,71
用,4649187,72
皆,4631357,73
能,4627972,74
國,4488226,75
使,4458522,76
百,4451395,77
若,4387648,78
六,4349566,79
云,4336119,80
正,4324969,81
太,4305797,82
臣,4287913,83
官,4275061,84
于,4272327,85
來,4268662,86
方,4256765,87
君,4252584,88
矣,4214458,89
世,4206393,90
東,4201527,91
已,4190458,92
地,4135125,93
非,4095697,94
成,4061678,95
入,4028844,96
本,3941326,97
諸,3941082,98
同,3911787,99
西,3910773,100
及,3906554,101
夫,3892343,102
將,3860134,103
先,3773727,104
分,3772969,105
元,3758904,106
當,3718867,107
前,3696426,108
士,3640302,109
去,3632452,110
法,3608307,111
家,3569315,112
安,3553618,113
乃,3547396,114
詩,3526132,115
爲,3513021,116
長,3493513,117
等,3395039,118
陽,3371563,119
縣,3357129,120
我,3350316,121
軍,3334048,122
多,3308048,123
氏,3300457,124
禮,3295722,125
九,3293906,126
從,3285562,127
八,3262220,128
門,3254519,129
朝,3247537,130
七,3246817,131
小,3222571,132
令,3195641,133
復,3185466,134
城,3135934,135
平,3128341,136
風,3117680,137
萬,3101991,138
帝,3082617,139
即,3052029,140
傳,3048181,141
白,3033649,142
兵,3027364,143
必,3025656,144
民,3011365,145
外,3002343,146
學,2997976,147
義,2996535,148
北,2967054,149
金,2924646,150
經,2922913,151
欲,2921379,152
主,2897782,153
治,2864164,154
或,2857908,155
命,2822238,156
史,2807981,157
里,2786442,158
因,2776281,159
乎,2772747,160
字,2771272,161
千,2742033,162
宗,2720342,163
數,2716973,164
石,2705796,165
古,2686654,166
意,2671152,167
馬,2664659,168
服,2649908,169
師,2631862,170
通,2619194,171
江,2618559,172
聞,2607891,173
處,2596689,174
司,2580893,175
氣,2578503,176
兩,2563379,177
神,2522431,178
歸,2499049,179
重,2487297,180
初,2450933,181
武,2437003,182
志,2436980,183
說,2435767,184
定,2430514,185
春,2428702,186
物,2409539,187
居,2401615,188
都,2394127,189
立,2393148,190
死,2365791,191
身,2360344,192
進,2340550,193
常,2330021,194
各,2323325,195
餘,2319666,196
周,2309562,197
府,2309161,198
間,2292708,199
善,2277030,200
清,2261221,201
食,2259208,202
漢,2245995,203
應,2244661,204
李,2239985,205
樂,2233993,206
河,2195157,207
理,2190660,208
取,2189818,209
雖,2187893,210
實,2181067,211
過,2174140,212
雲,2165881,213
守,2152778,214
和,2139373,215
少,2134357,216
德,2127008,217
聖,2122699,218
問,2077971,219
合,2047817,220
足,2027892,221
起,2002906,222
海,1995320,223
部,1982850,224
吾,1958616,225
秋,1948887,226
遂,1919320,227
張,1918820,228
始,1917280,229
流,1915830,230
論,1895940,231
焉,1893509,232
惟,1870729,233
光,1867611,234
觀,1855668,235
聲,1847376,236
左,1845624,237
高,1843494,238
尚,1841286,239
盡,1835375,240
父,1831687,241
老,1827549,242
皇,1825808,243
右,1824515,244
宜,1815525,245
功,1814088,246
陳,1813725,247
祖,1813444,248
侯,1805790,249
黄,1799692,250
女,1798528,251
思,1788927,252
節,1788428,253
切,1787694,254
既,1786842,255
易,1782951,256
甚,1769298,257
受,1766443,258
唐,1761756,259
次,1756170,260
色,1753563,261
發,1751224,262
第,1751091,263
集,1722952,264
花,1701135,265
開,1700796,266
宋,1698458,267
興,1684612,268
且,1680263,269
卷,1675447,270
難,1673525,271
度,1661718,272
政,1653873,273
記,1644938,274
異,1634128,275
加,1630620,276
便,1629901,277
玉,1627090,278
利,1626962,279
請,1623102,280
龍,1618319,281
酒,1617677,282
位,1617277,283
内,1616731,284
稱,1613702,285
齊,1610802,286
深,1608950,287
章,1606752,288
新,1602578,289
全,1594403,290
語,1588199,291
林,1587949,292
爾,1572479,293
力,1572282,294
制,1570554,295
親,1567329,296
舉,1531884,297
猶,1529401,298
按,1527288,299
仁,1523232,300
草,1512183,301
病,1511520,302
寒,1508959,303
還,1507125,304
首,1504896,305
終,1502537,306
直,1489274,307
注,1483982,308
求,1483875,309
夜,1479268,310
母,1475406,311
建,1474160,312
空,1473880,313
廣,1473684,314
孫,1471775,315
修,1471041,316
木,1467406,317
路,1463603,318
好,1460973,319
豈,1460793,320
止,1459537,321
凡,1453118,322
化,1452843,323
耳,1446245,324
反,1433870,325
失,1432527,326
任,1431776,327
由,1430306,328
半,1429739,329
性,1427488,330
舊,1423166,331
郡,1420728,332
田,1417336,333
望,1415683,334
奉,1412317,335
議,1409711,336
更,1408154,337
賢,1407383,338
往,1403085,339
解,1396040,340
著,1394287,341
情,1382176,342
致,1380606,343
音,1377672,344
屬,1376014,345
御,1373895,346
衣,1367456,347
信,1367131,348
口,1363358,349
錢,1363232,350
莫,1359334,351
近,1352676,352
他,1350562,353
夏,1335104,354
京,1334397,355
土,1322156,356
奏,1313015,357
火,1312693,358
華,1305049,359
獨,1300927,360
卒,1294471,361
佛,1283012,362
雨,1277205,363
侍,1274951,364
郎,1273036,365
置,1271156,366
真,1270850,367
頭,1270727,368
敢,1269799,369
嘗,1269480,370
遠,1267502,371
晉,1267092,372
弟,1260627,373
益,1251742,374
青,1248543,375
內,1246589,376
劉,1245232,377
散,1244742,378
每,1238106,379
辭,1233719,380
了,1230027,381
堂,1228867,382
封,1223958,383
哉,1219864,384
目,1219273,385
動,1218198,386
勝,1215504,387
原,1212001,388
極,1209647,389
香,1208824,390
手,1205839,391
詔,1204727,392
彼,1198404,393
教,1196310,394
固,1194118,395
體,1188533,396
變,1186954,397
后,1178548,398
許,1177586,399
圖,1176622,400
罪,1174297,401
殺,1173100,402
伯,1172599,403
對,1172052,404
孝,1170344,405
要,1170332,406
坐,1169919,407
卿,1168846,408
引,1163920,409
鄭,1160155,410
改,1156194,411
並,1151969,412
久,1147336,413
徳,1144663,414
祭,1130663,415
为,1128808,416
廟,1124514,417
宣,1123096,418
陵,1122444,419
向,1121718,420
就,1120930,421
臨,1118660,422
尊,1118108,423
會,1113305,424
遣,1112585,425
忠,1111541,426
代,1109406,427
隨,1107971,428
吏,1106818,429
但,1104769,430
川,1104434,431
髙,1100191,432
永,1094915,433
面,1086257,434
承,1086249,435
疏,1077744,436
拜,1075829,437
界,1075566,438
客,1074560,439
羅,1067995,440
賊,1066646,441
象,1063728,442
到,1058659,443
表,1055810,444
俱,1055699,445
惡,1050838,446
精,1048422,447
車,1038701,448
歲,1037026,449
降,1035607,450
留,1032624,451
甲,1029972,452
末,1024288,453
載,1023774,454
寧,1023501,455
賜,1021195,456
容,1017272,457
共,1016540,458
貴,1015185,459
告,1015123,460
才,1012886,461
賦,1012624,462
亂,1009921,463
秦,1008989,464
微,1007059,465
韻,1005897,466
景,1005393,467
考,1002984,468
業,1002965,469
交,1001635,470
離,998756,471
盛,997174,472
除,995668,473
伏,990760,474
執,988841,475
再,986835,476
似,984095,477
形,979935,478
星,978769,479
朱,977953,480
黃,977918,481
比,975848,482
類,973719,483
殿,971961,484
陰,968598,485
省,966218,486
眾,966055,487
蓋,965118,488
妻,964271,489
具,962301,490
靈,958895,491
依,955326,492
梁,953492,493
別,947907,494
飛,947311,495
魏,946676,496
送,945182,497
孔,943108,498
順,941405,499
楚,940588,500
汝,940552,501
室,939995,502
苦,938890,503
號,937674,504
喜,937257,505
備,936904,506
計,931456,507
指,929546,508
敬,928206,509
典,926536,510
誠,926203,511
滿,924641,512
丁,924566,513
職,921272,514
升,918787,515
吳,918011,516
嘉,917725,517
存,915091,518
趙,910465,519
己,909941,520
血,909136,521
寺,908751,522
良,907738,523
儀,906804,524
亡,903587,525
識,903339,526
視,901646,527
品,901640,528
徒,901472,529
兼,900048,530
紀,896596,531
回,896066,532
衛,894127,533
仲,893848,534
疑,891836,535
戰,891512,536
須,891264,537
只,890496,538
恩,890369,539
乾,890009,540
登,889671,541
待,888326,542
幾,887240,543
落,887215,544
姓,886413,545
釋,885916,546
果,885757,547
養,884853,548
濟,884324,549
智,883816,550
衆,883141,551
轉,882601,552
疾,882544,553
遺,880736,554
授,879568,555
種,877900,556
設,877876,557
鄉,875912,558
退,875284,559
痛,873549,560
參,872743,561
楊,868385,562
報,867574,563
湖,866810,564
福,864191,565
獻,856823,566
布,856536,567
愛,856414,568
逺,855244,569
吉,853942,570
聽,853471,571
余,853071,572
工,847690,573
歌,845875,574
的,844653,575
臺,843412,576
兮,841896,577
連,838344,578
總,838327,579
遇,836636,580
丹,835995,581
句,835210,582
斯,833417,583
美,832518,584
曲,826979,585
持,821483,586
監,820049,587
邊,819170,588
遷,818461,589
兄,817943,590
宮,817535,591
察,815435,592
恐,815318,593
兒,813056,594
保,811866,595
輕,808623,596
特,808381,597
康,806613,598
念,806297,599
胡,805481,600
婦,801360,601
藏,800051,602
飲,798081,603
列,795986,604
编,794824,605
斷,793077,606
舍,792129,607
俗,790512,608
宫,790016,609
乘,789163,610
申,787261,611
辑,786243,612
皮,785610,613
隂,783985,614
讀,781492,615
尺,780889,616
冬,778511,617
感,775648,618
願,775078,619
某,774626,620
遊,773937,621
領,773483,622
幸,772314,623
破,772207,624
刺,772041,625
樹,771901,626
泉,771407,627
仙,770882,628
被,769434,629
葉,767838,630
㑹,765347,631
看,765158,632
院,762120,633
施,762045,634
赤,761611,635
期,759654,636
慶,759074,637
關,757399,638
謝,755440,639
昭,755436,640
甘,753608,641
素,749957,642
呼,747587,643
説,747102,644
畫,746868,645
銀,746863,646
運,744308,647
急,743756,648
序,743606,649
達,742115,650
僧,740757,651
两,739934,652
竹,738401,653
器,737349,654
嚴,736507,655
克,732413,656
率,731915,657
昌,731524,658
差,730859,659
徐,730404,660
根,730323,661
予,729091,662
刑,727907,663
員,727140,664
曹,727138,665
收,722906,666
傷,722507,667
邑,722265,668
昔,720667,669
邪,720206,670
仍,715921,671
气,715121,672
免,714669,673
无,712928,674
忽,712742,675
管,712266,676
别,712174,677
野,710604,678
魯,710532,679
息,709395,680
牛,708774,681
顧,708469,682
端,708274,683
藥,708229,684
私,703631,685
憂,703454,686
推,702660,687
照,702421,688
營,701717,689
召,701110,690
廷,699047,691
薩,698773,692
厚,698605,693
魚,697871,694
延,695940,695
誰,694979,696
曾,694415,697
勢,693441,698
寶,693371,699
庶,692165,700
祀,690761,701
孟,689931,702
補,689867,703
權,689721,704
附,688528,705
篇,688187,706
結,686250,707
溪,685481,708
題,682492,709
韓,682209,710
撫,681143,711
窮,681110,712
崇,679382,713
耶,679292,714
沙,678532,715
阿,676483,716
湯,675953,717
覺,674508,718
辰,674173,719
味,673425,720
絶,673414,721
提,673043,722
廢,672821,723
害,670974,724
積,670339,725
威,670068,726
夷,667364,727
雪,664735,728
喪,664638,729
給,664436,730
虛,662867,731
造,661722,732
菩,661064,733
杜,658604,734
亭,658540,735
夢,656810,736
統,656694,737
謀,652717,738
鎮,652511,739
笑,652243,740
叔,651458,741
越,650468,742
商,649996,743
庭,649031,744
丸,646012,745
答,645424,746
戒,645370,747
虚,643098,748
樓,640459,749
尋,640275,750
宿,638531,751
敗,638364,752
燕,636497,753
調,636443,754
男,636331,755
勞,636325,756
庫,636164,757
冠,635352,758
孤,634153,759
儒,634075,760
繼,632590,761
友,631882,762
射,631296,763
澤,630166,764
住,629984,765
蘇,629945,766
辛,629758,767
移,629496,768
闕,628188,769
滅,625033,770
寸,624861,771
懷,623215,772
據,622291,773
干,622223,774
浮,621765,775
攻,620816,776
禁,620433,777
虎,618917,778
松,618537,779
并,617532,780
博,617450,781
走,616515,782
適,611787,783
尤,611287,784
貞,610327,785
熱,609863,786
紅,607275,787
丞,606426,788
伐,604437,789
悉,604239,790
丘,604099,791
督,604071,792
罷,602172,793
最,601181,794
務,599792,795
波,598233,796
英,597014,797
示,595916,798
帶,595107,799
顯,594718,800
休,593412,801
逆,592668,802
雅,591190,803
贈,590919,804
池,590693,805
約,590532,806
細,589029,807
谷,587485,808
量,586841,809
納,585345,810
咸,583524,811
骨,582951,812
閣,578301,813
犯,576949,814
嵗,576015,815
陸,575755,816
騎,575662,817
律,574566,818
洪,574151,819
追,573757,820
舟,573087,821
那,572271,822
錄,571488,823
幽,571391,824
副,571360,825
試,570446,826
驚,569396,827
患,569345,828
案,568554,829
角,568405,830
放,566369,831
紫,564565,832
哀,563776,833
丈,563506,834
淮,563331,835
選,562815,836
詳,562056,837
筆,561379,838
淨,560251,839
愈,558722,840
簡,558517,841
唯,557100,842
獲,554812,843
掌,553187,844
狀,550076,845
源,548303,846
詞,547543,847
宰,545288,848
雜,543931,849
惠,543523,850
鳥,543247,851
隱,542290,852
米,542085,853
莊,542083,854
富,541819,855
忘,541720,856
接,540962,857
征,540473,858
緣,540133,859
榮,539995,860
資,537266,861
肉,535489,862
露,533473,863
妙,530717,864
薄,529957,865
壽,529270,866
虞,527828,867
陛,526669,868
擊,525366,869
早,523708,870
乙,522757,871
密,522603,872
眼,521534,873
泰,521294,874
垂,521157,875
防,520871,876
寄,520536,877
折,519032,878
温,518868,879
條,518677,880
恭,515504,881
羣,514756,882
貢,513576,883
爵,513493,884
步,513341,885
累,513311,886
房,512570,887
畢,512272,888
夕,512203,889
勿,511351,890
賞,510554,891
習,510410,892
例,509442,893
刻,509211,894
超,506857,895
季,506640,896
校,506326,897
午,505707,898
竟,505149,899
橋,504476,900
尉,504445,901
略,504391,902
塵,504110,903
役,503563,904
聚,502872,905
程,502407,906
編,501931,907
鼓,500935,908
謹,498966,909
郭,496936,910
经,496293,911
支,495986,912
洞,495360,913
乞,493905,914
境,493618,915
迎,492981,916
怒,492976,917
腹,491856,918
質,491734,919
热,491630,920
齋,491514,921
科,491422,922
剛,490592,923
枝,489477,924
鳴,488904,925
救,487320,926
諭,486769,927
判,486148,928
衰,485998,929
機,485183,930
毛,484788,931
盖,484127,932
烏,482985,933
殊,482632,934
朕,481925,935
欽,480647,936
負,476823,937
毒,476565,938
姑,476051,939
勤,475238,940
靜,474881,941
愚,474401,942
戶,473629,943
雄,472728,944
巳,472419,945
揚,471421,946
塞,471012,947
沈,471011,948
這,470877,949
仰,469901,950
充,469709,951
覆,469482,952
游,469414,953
域,469352,954
想,469150,955
豐,468541,956
朔,467904,957
帥,465024,958
危,463525,959
講,461958,960
隆,460971,961
增,460517,962
蕭,459686,963
羊,459644,964
訓,458910,965
桂,457708,966
輔,456976,967
市,456655,968
井,455593,969
卦,454923,970
郊,454592,971
熟,452334,972
園,451553,973
辨,451419,974
葬,451173,975
註,450835,976
斗,448091,977
族,448061,978
奇,447767,979
庚,447311,980
则,446917,981
籍,446149,982
珠,446147,983
墓,445650,984
漸,443886,985
悲,443301,986
旗,442604,987
奔,442380,988
洛,442179,989
将,441700,990
假,441082,991
農,440862,992
敵,440640,993
蜀,439642,994
甫,439202,995
厥,438617,996
專,438594,997
祠,437996,998
社,437574,999
誤,437460,1000
裏,437450,1001
船,436101,1002
薦,435586,1003
消,434865,1004
責,434150,1005
徵,434031,1006
棄,432420,1007
畏,431891,1008
供,431709,1009
嗣,431004,1010
堅,427850,1011
秀,426896,1012
賓,426718,1013
候,425753,1014
羽,425290,1015
財,422678,1016
蘭,422303,1017
麻,422265,1018
委,422105,1019
震,422093,1020
撰,421941,1021
仕,420807,1022
符,420806,1023
丙,420692,1024
鬼,419683,1025
效,419486,1026
舞,418935,1027
雙,418729,1028
碑,416834,1029
討,416340,1030
慮,415714,1031
梅,415592,1032
佐,415532,1033
蔡,415095,1034
尹,414213,1035
煎,413574,1036
赴,413106,1037
避,413081,1038
懼,413037,1039
個,412574,1040
肅,412439,1041
圍,412122,1042
吐,411543,1043
汗,411372,1044
祥,410538,1045
術,409653,1046
否,408884,1047
靖,408652,1048
獄,408468,1049
巡,407379,1050
户,406932,1051
維,406631,1052
屋,405312,1053
来,405006,1054
鳳,403439,1055
属,403249,1056
蒙,402785,1057
爭,402025,1058
你,401430,1059
投,401310,1060
僕,400939,1061
衡,400492,1062
钱,399796,1063
弱,398763,1064
竊,396517,1065
弗,396227,1066
脉,396219,1067
翰,395931,1068
寅,395582,1069
翁,394438,1070
忍,394205,1071
蒼,393797,1072
嶺,393473,1073
旨,392901,1074
邦,392408,1075
貧,391302,1076
稍,389994,1077
諫,389087,1078
助,388632,1079
禍,388370,1080
熙,388294,1081
駕,388051,1082
證,387896,1083
賈,387135,1084
黑,386610,1085
憲,386015,1086
現,385615,1087
壬,384750,1088
違,384242,1089
決,384099,1090
招,383971,1091
冷,383777,1092
禹,382548,1093
均,382116,1094
班,382096,1095
銘,381679,1096
格,380502,1097
村,380382,1098
館,379655,1099
黨,378829,1100
逐,378777,1101
勸,377108,1102
伊,376965,1103
戊,375914,1104
諱,374776,1105
逢,374608,1106
柔,374413,1107
采,373700,1108
雷,372848,1109
閒,372646,1110
醉,372177,1111
席,371970,1112
荒,371885,1113
背,371849,1114
妄,370043,1115
哭,369684,1116
慈,369533,1117
誅,369267,1118
述,368865,1119
鼎,368296,1120
録,367974,1121
霜,367482,1122
摩,366994,1123
策,366840,1124
絕,366740,1125
柳,366395,1126
歎,365726,1127
偏,365402,1128
鍾,365232,1129
沒,365084,1130
鹽,364796,1131
逝,363829,1132
索,363507,1133
糧,363017,1134
襄,362190,1135
旣,362143,1136
縱,361679,1137
絲,361205,1138
桑,360723,1139
曉,360283,1140
壁,359989,1141
堯,359970,1142
豆,359865,1143
倉,359835,1144
穆,359151,1145
凶,358800,1146
屯,358451,1147
際,357776,1148
阳,357301,1149
禪,357079,1150
芳,356970,1151
癸,356180,1152
怨,356179,1153
煩,356033,1154
翻,355616,1155
丑,355242,1156
革,355020,1157
牧,354821,1158
酉,354282,1159
麗,354133,1160
把,353061,1161
舜,352703,1162
墨,351508,1163
殷,350631,1164
洗,350273,1165
印,350036,1166
稽,349612,1167
童,349028,1168
暮,348793,1169
汤,347831,1170
戎,347739,1171
范,347321,1172
崔,345882,1173
頃,345758,1174
炒,345519,1175
翼,345387,1176
賀,344862,1177
費,344597,1178
𤣥,344327,1179
堪,344321,1180
却,343932,1181
壯,343376,1182
巖,343045,1183
屈,343018,1184
脫,342596,1185
愁,342490,1186
短,342438,1187
桓,342349,1188
振,342323,1189
桃,342159,1190
減,341905,1191
襲,341842,1192
輿,340619,1193
斬,340197,1194
玄,339903,1195
圓,339363,1196
損,337245,1197
傅,337017,1198
过,335719,1199
履,335561,1200
險,335452,1201
雍,335431,1202
卽,334478,1203
勇,334400,1204
淵,334384,1205
強,334286,1206
祝,332727,1207
逸,332015,1208
影,331695,1209
恨,331603,1210
药,331582,1211
贊,330816,1212
階,330595,1213
群,330537,1214
廬,330508,1215
配,330286,1216
渡,329961,1217
风,329665,1218
吹,328861,1219
葢,328563,1220
額,328317,1221
允,328107,1222
錦,327669,1223
歷,327525,1224
紹,327519,1225
陶,327246,1226
貫,327125,1227
審,326964,1228
旦,326516,1229
辟,326383,1230
烈,326113,1231
亥,325926,1232
續,325871,1233
頗,325783,1234
築,325631,1235
錫,325214,1236
鶴,325197,1237
宅,324906,1238
循,324862,1239
寡,324785,1240
昏,324231,1241
歡,323430,1242
晚,323078,1243
奴,322763,1244
庸,322701,1245
底,322172,1246
蜜,320824,1247
盤,320741,1248
扶,320731,1249
坤,320654,1250
龜,320559,1251
奪,319911,1252
宇,319834,1253
佳,319506,1254
詣,318522,1255
含,318359,1256
倫,317838,1257
寳,317655,1258
研,317646,1259
毫,317554,1260
阴,316977,1261
姜,316570,1262
戌,316301,1263
勒,315425,1264
惜,315245,1265
速,314577,1266
享,313906,1267
盜,313811,1268
擇,313741,1269
胃,312916,1270
煙,312628,1271
祿,312454,1272
旁,312203,1273
旋,311902,1274
吟,311021,1275
侵,310609,1276
宴,310273,1277
强,310063,1278
顔,309237,1279
祐,309062,1280
盧,308634,1281
式,308543,1282
台,308061,1283
占,307052,1284
翠,306858,1285
希,305268,1286
鐵,305214,1287
規,305146,1288
殘,304292,1289
刀,304282,1290
津,303688,1291
碧,303661,1292
遲,303118,1293
卯,303095,1294
契,302886,1295
忌,302850,1296
杖,302379,1297
操,302261,1298
卜,302215,1299
軒,301389,1300
況,301197,1301
跡,301163,1302
敎,300051,1303
區,298425,1304
竒,297598,1305
稷,297536,1306
懐,297358,1307
材,297057,1308
尾,296805,1309
倒,295529,1310
遍,294612,1311
介,293787,1312
馳,293561,1313
導,292878,1314
孰,292735,1315
訪,291999,1316
暴,291503,1317
寂,291464,1318
輒,291383,1319
穀,290272,1320
賤,290149,1321
純,289882,1322
况,289434,1323
豫,288965,1324
徑,288866,1325
樞,288861,1326
旅,288505,1327
盈,287644,1328
岸,287599,1329
慎,287417,1330
限,287400,1331
横,287355,1332
歴,287201,1333
巴,287049,1334
瑞,286949,1335
淸,286392,1336
困,285979,1337
檢,285920,1338
渠,285866,1339
珍,285857,1340
尼,285551,1341
茂,285528,1342
優,285018,1343
護,284834,1344
厯,284431,1345
溫,284409,1346
肯,284158,1347
弓,284048,1348
側,283272,1349
抱,282685,1350
屢,282265,1351
啟,282123,1352
盟,281843,1353
頌,281613,1354
脾,281437,1355
偶,280918,1356
讓,280492,1357
綱,280303,1358
㫖,280047,1359
彌,279929,1360
荆,279789,1361
繫,279582,1362
災,279385,1363
洲,279373,1364
徙,279325,1365
倚,279320,1366
兆,279165,1367
抵,279148,1368
般,279088,1369
隋,278875,1370
談,278554,1371
漏,278163,1372
攝,277720,1373
幼,277578,1374
时,277444,1375
寇,277268,1376
署,276681,1377
耕,275941,1378
卑,275933,1379
乗,275816,1380
茶,275811,1381
輩,274921,1382
輪,273226,1383
牙,272870,1384
貌,272544,1385
飾,272147,1386
該,271539,1387
鴻,271538,1388
雞,271387,1389
鹿,270872,1390
環,270810,1391
醫,270421,1392
穴,270393,1393
傾,270388,1394
揮,270244,1395
單,270097,1396
鮮,270040,1397
膏,269930,1398
肝,269173,1399
紛,268653,1400
活,268488,1401
寵,268391,1402
懸,267333,1403
苑,267233,1404
惑,266826,1405
係,266730,1406
座,266705,1407
沉,266302,1408
隔,266185,1409
肆,266052,1410
陷,265471,1411
慕,265332,1412
禦,265048,1413
擬,264950,1414
匹,264659,1415
啓,264334,1416
藝,263834,1417
塘,263822,1418
勉,263012,1419
寢,262530,1420
淳,262441,1421
戴,262186,1422
领,261450,1423
借,261313,1424
泥,260967,1425
卻,260682,1426
晝,260485,1427
泣,260475,1428
恒,259646,1429
肺,259265,1430
岳,258958,1431
潛,258680,1432
苟,258115,1433
項,257793,1434
覽,257548,1435
慧,257527,1436
闗,256666,1437
貪,256560,1438
浙,256199,1439
燈,255581,1440
謙,255499,1441
妃,254954,1442
誦,254843,1443
遵,254360,1444
琴,253907,1445
付,253599,1446
預,253419,1447
打,253237,1448
釐,253047,1449
眞,252842,1450
亮,252351,1451
躬,252239,1452
抑,252000,1453
葛,251963,1454
舒,251140,1455
趨,250846,1456
壇,250688,1457
遼,249985,1458
荷,248869,1459
慰,248855,1460
峰,248784,1461
韋,248082,1462
旌,247700,1463
怪,247411,1464
吕,246783,1465
詠,246744,1466
缺,246407,1467
淺,245938,1468
普,245930,1469
冊,245667,1470
蒲,245560,1471
像,245548,1472
停,245083,1473
嗚,244817,1474
酌,244686,1475
柱,244680,1476
发,244426,1477
逃,243780,1478
塗,243303,1479
悔,242991,1480
謁,242854,1481
弊,242509,1482
倍,242394,1483
基,242376,1484
援,242119,1485
獸,242112,1486
片,242109,1487
寫,242092,1488
彭,241677,1489
尸,241483,1490
憐,241410,1491
裁,240882,1492
悟,240681,1493
銅,240668,1494
妾,240246,1495
賔,239710,1496
徃,238970,1497
戲,237899,1498
橫,237794,1499
究,237524,1500
段,237363,1501
炙,237329,1502
話,237252,1503
暗,237247,1504
繁,237205,1505
浸,236817,1506
齒,236507,1507
帛,235797,1508
完,235768,1509
靡,235563,1510
戚,235347,1511
嗟,235238,1512
紙,234331,1513
頓,233274,1514
閉,233017,1515
咎,232709,1516
弘,232651,1517
鐘,232491,1518
簿,232487,1519
瞻,232317,1520
粟,232002,1521
辱,231908,1522
兹,231438,1523
矢,231271,1524
爻,231257,1525
乳,231137,1526
驗,231117,1527
豪,230939,1528
曽,230815,1529
旱,230653,1530
廉,228844,1531
呂,228200,1532
厲,227318,1533
毋,227133,1534
当,227014,1535
奠,226975,1536
敕,226711,1537
擢,226467,1538
俊,226227,1539
狂,226216,1540
俟,225968,1541
包,225909,1542
斤,225651,1543
禄,225598,1544
厭,225429,1545
束,225362,1546
敏,224534,1547
閑,224524,1548
巧,224389,1549
帖,224266,1550
陣,224046,1551
巨,223716,1552
拘,223596,1553
汁,223562,1554
脈,223421,1555
驅,223059,1556
曆,222756,1557
買,222474,1558
製,222367,1559
蕩,222214,1560
潤,221651,1561
拔,221558,1562
罰,221436,1563
董,221433,1564
趣,220925,1565
舌,220852,1566
辦,220793,1567
凝,220627,1568
暑,220588,1569
蓮,220369,1570
歟,220249,1571
局,220199,1572
尙,219465,1573
劍,219402,1574
鼻,219386,1575
錯,219238,1576
粉,218930,1577
薛,218884,1578
愧,217871,1579
藩,217498,1580
髮,217306,1581
蛇,217284,1582
觸,217248,1583
諡,217097,1584
燒,216803,1585
呉,216714,1586
隠,216342,1587
掩,215999,1588
俾,215688,1589
麥,215098,1590
植,215083,1591
从,215028,1592
渾,214916,1593
焚,214837,1594
夀,214617,1595
馮,214213,1596
禽,213785,1597
浩,213602,1598
貨,213545,1599
浦,213347,1600
冀,213153,1601
驛,213022,1602
點,212784,1603
緩,212772,1604
増,212325,1605
遭,212271,1606
乆,212014,1607
敦,211966,1608
巻,211506,1609
蕃,211485,1610
篤,211364,1611
賴,211222,1612
徽,210951,1613
叛,210902,1614
敷,210472,1615
駐,209456,1616
迷,209363,1617
激,209093,1618
昧,209082,1619
鏡,209015,1620
場,208198,1621
蟲,208046,1622
朋,208032,1623
查,207954,1624
融,207939,1625
魂,207818,1626
浪,207682,1627
赦,207650,1628
桐,207320,1629
拾,206898,1630
遽,206836,1631
衍,206458,1632
柴,206094,1633
宻,205612,1634
奈,205564,1635
烟,204847,1636
晴,204646,1637
畝,204539,1638
蠻,203623,1639
亨,203350,1640
互,203302,1641
憶,203234,1642
捨,203069,1643
畧,202957,1644
畜,202916,1645
竭,202568,1646
焦,202502,1647
鄰,202451,1648
途,202422,1649
眉,201527,1650
零,201468,1651
阻,201177,1652
壞,200709,1653
黎,200401,1654
衝,200361,1655
頂,199604,1656
饑,199306,1657
暇,199265,1658
脩,199080,1659
峯,198562,1660
朴,198173,1661
伤,197995,1662
胸,197667,1663
做,197210,1664
筵,197049,1665
晦,196931,1666
練,196747,1667
腰,196423,1668
旬,196415,1669
茅,196231,1670
番,195892,1671
霞,195339,1672
傍,195270,1673
濕,195193,1674
炎,194987,1675
顏,194973,1676
涼,194831,1677
见,194764,1678
穿,194225,1679
屏,193947,1680
淚,193887,1681
澄,193663,1682
返,193638,1683
件,193502,1684
