source_title,relation,target,template
吃,alt,吔,zh-forms
吃,alt,㰟,zh-forms
吐,zh-see,捅,zh-see
吟,alt,唫,zh-forms
吟,alt,訡,zh-forms
吟,alt,噖,zh-forms
吟,alt,䪩,zh-forms
吟,alt,㕂,zh-forms
启,zh-see,啟,zh-see
咼,s,呙,zh-forms
咼,zh-see,剮,zh-see
哑,zh-see,啞,zh-see
哲,alt,喆,zh-forms
哲,alt,嚞,zh-forms
哲,alt,啠,zh-forms
哲,alt,悊,zh-forms
唂,alt,唃,zh-forms
唂,zh-see,谷,zh-see
唂,alt,谷,zh-forms
唐,alt,𡃯,zh-forms
唐,alt,𣉺,zh-forms
唐,alt,𥏬,zh-forms
唣,alt,唕,zh-forms
啐,alt,𠯥,zh-forms
啖,alt,啗,zh-forms
啖,alt,噉,zh-forms
啖,alt,餤,zh-forms
啜,alt,嚽,zh-forms
啜,alt,歠,zh-forms
啜,alt,𠼣,zh-forms
啜,alt,𡂜,zh-forms
啜,alt,𩟫,zh-forms
啜,alt,𠽶,zh-forms
啜,alt,涰,zh-forms
啜,alt,餟,zh-forms
啜,alt,諁,zh-forms
啮,zh-see,嚙,zh-see
啮,zh-see,齧,zh-see
啸,zh-see,嘯,zh-see
喑,alt,瘖,zh-forms
喑,alt,噾,zh-forms
喑,zh-see,瘖,zh-see
嗥,alt,噑,zh-forms
嗥,alt,嘷,zh-forms
嘀,alt,唙,zh-forms
嘀,zh-see,謫,zh-see
嘎,alt,玍,zh-forms
嘎,alt,戛,zh-forms
嘎,alt,戛,zh-forms
嘎,alt,朒,zh-forms
嘒,alt,嚖,zh-forms
嘗,s,尝,zh-forms
嘗,t2,嚐,zh-forms
嘗,alt,甞,zh-forms
噅,s,𠯠,zh-forms
噅,alt,噕,zh-forms
噅,zh-see,𠼮,zh-see
器,alt,噐,zh-forms
器,alt,𡄛,zh-forms
器,alt,𦈯,zh-forms
噰,alt,嗈,zh-forms
嚭,alt,噽,zh-forms
囊,alt,𬺿,zh-forms
囊,alt,嚢,zh-forms
囊,alt,𡄜,zh-forms
囊,alt,𢑿,zh-forms
囊,alt,𣡦,zh-forms
囊,alt,𣡪,zh-forms
囊,alt,𧛦,zh-forms
囊,alt,𣡏,zh-forms
囊,alt,廊,zh-forms
回,alt,囬,zh-forms
回,alt,囘,zh-forms
回,zh-see,迴,zh-see
回,alt,𠲛,zh-forms
回,alt,噲,zh-forms
因,alt,囙,zh-forms
因,alt,𤇀,zh-forms
因,zh-see,𪜶,zh-see
团,Han simp:1,團,Han simp
团,zh-see,團,zh-see
团,zh-see,糰,zh-see
团,zh-see,囚,zh-see
浏,zh-see,瀏,zh-see
艰,zh-see,艱,zh-see
营,Han simp:1,營,Han simp
营,zh-see,營,zh-see
衔,Han simp:1,銜,Han simp
衔,zh-see,銜,zh-see
譍,zh-see,應,zh-see
诱,Han simp:1,誘,Han simp
诱,zh-see,誘,zh-see
谰,Han simp:1,讕,Han simp
谰,zh-see,讕,zh-see
道,alt,噵,zh-forms
道,alt,衜,zh-forms
道,alt,衟,zh-forms
道,alt,𡬹,zh-forms
道,alt,𨔞,zh-forms
道,alt,𨕐,zh-forms
道,alt,𨕥,zh-forms
道,alt,𨖁,zh-forms
道,alt,𨗓,zh-forms
颧,zh-see,顴,zh-see
鼾,alt,哻,zh-forms
㘑,alt,囇,zh-forms
界,alt,畍,zh-forms
日,alt,囸,zh-forms
日,alt,𡆠,zh-forms
日,alt,𡇁,zh-forms
日,alt,𡆸,zh-forms
日,alt,𡇗,zh-forms
日,alt,𡈎,zh-forms
日,alt,入,zh-forms
日,alt,㒲,zh-forms
日,alt,肏,zh-forms
日,zh-see,時,zh-see
丘,alt,丠,zh-forms
丘,alt,㐀,zh-forms
丘,alt,𡊣,zh-forms
丘,alt,㘳,zh-forms
丘,alt,坵,zh-forms
丘,alt,𠀈,zh-forms
丘,alt,𠀉,zh-forms
丘,alt,𠀌,zh-forms
丘,zh-see,兵,zh-see
丘,zh-see,蚯,zh-see
冢,t2,塚,zh-forms
压,zh-see,壓,zh-see
图,Han simp:1,圖,Han simp
图,zh-see,圖,zh-see
圈,alt,圏,zh-forms
圞,s,𪢮,zh-forms
圞,alt,圝,zh-forms
圞,alt,𡈻,zh-forms
土,alt,士,zh-forms
土,alt,圡,zh-forms
土,alt,𡈽,zh-forms
土,zh-see,士,zh-see
地,alt,坔,zh-forms
地,alt,埅,zh-forms
地,alt,埊,zh-forms
地,alt,𡍑,zh-forms
地,alt,𨹛,zh-forms
地,alt,𨻐,zh-forms
地,alt,墬,zh-forms
地,alt,𡏇,zh-forms
地,alt,𠏂,zh-forms
地,alt,𡑸,zh-forms
地,alt,𡒿,zh-forms
地,alt,𡒴,zh-forms
地,alt,𡒰,zh-forms
地,alt,𡓬,zh-forms
地,alt,嶳,zh-forms
地,alt,𪒉,zh-forms
地,alt,𤅴,zh-forms
地,alt,哋,zh-forms
地,zh-see,哋,zh-see
圱,alt,圲,zh-forms
坳,alt,㘭,zh-forms
坳,alt,垇,zh-forms
坻,alt,坁,zh-forms
坻,alt,堤,zh-forms
垂,alt,𡸁,zh-forms
垂,alt,埀,zh-forms
垂,alt,𡍮,zh-forms
垂,alt,𠂹,zh-forms
垂,alt,𠄒,zh-forms
垂,alt,𠣔,zh-forms
垂,alt,𠃀,zh-forms
垄,zh-see,壟,zh-see
垒,zh-see,壘,zh-see
垛,alt,垜,zh-forms
垢,alt,坸,zh-forms
垢,alt,𡊦,zh-forms
埒,alt,埓,zh-forms
埙,zh-see,塤,zh-see
埚,Han simp:1,堝,Han simp
埚,zh-see,堝,zh-see
埠,alt,垖十,zh-forms
埠,alt,埗,zh-forms
埯,alt,垵,zh-forms
堡,alt,㙅,zh-forms
堡,alt,堢,zh-forms
堡,alt,𡋠,zh-forms
堡,alt,𪧕,zh-forms
堡,alt,葆,zh-forms
堤,alt,隄,zh-forms
塍,zh-see,田,zh-see
塑,alt,塐,zh-forms
守,alt,㝊,zh-forms
岸,alt,㟁,zh-forms
岸,alt,屽,zh-forms
岸,alt,厈,zh-forms
岸,alt,垾,zh-forms
忌,alt,坖,zh-forms
忌,alt,㤅,zh-forms
忌,alt,𢗂,zh-forms
忌,zh-see,嫉,zh-see
棱,zh-see,稜,zh-see
殁,zh-see,歿,zh-see
泥,alt,坭,zh-forms
泥,alt,埿,zh-forms
泥,alt,𡊴,zh-forms
泥,alt,𡌰,zh-forms
泥,alt,𢇀,zh-forms
泥,alt,𥩥,zh-forms
泥,zh-see,涅,zh-see
泥,zh-see,屔,zh-see
突,alt,𠫓,zh-forms
突,alt,宊,zh-forms
突,alt,𡦾,zh-forms
突,alt,𥥛,zh-forms
突,alt,𥥜,zh-forms
窨,alt,堷,zh-forms
窨,zh-see,熏,zh-see
窨,zh-see,響,zh-see
经,Han simp:1,經,Han simp
经,zh-see,經,zh-see
胎,alt,孡,zh-forms
脑,Han simp:1,腦,Han simp
脑,zh-see,腦,zh-see
臺,s,台,zh-forms
臺,t2,台,zh-forms
臺,alt,坮,zh-forms
臺,alt,䑓,zh-forms
臺,zh-see,檯,zh-see
葬,alt,塟,zh-forms
葬,alt,𦵏,zh-forms
葬,alt,𦽱,zh-forms
葬,alt,𧂥,zh-forms
葬,alt,𦿑,zh-forms
葬,alt,𦱼,zh-forms
葬,alt,𦴓,zh-forms
踳,alt,𨅱,zh-forms
踳,alt,堾,zh-forms
踳,alt,蝽,zh-forms
阱,alt,穽,zh-forms
阱,alt,汬,zh-forms
阱,alt,坓,zh-forms
阱,alt,汫,zh-forms
阱,alt,𠁲,zh-forms
阱,alt,𨸥,zh-forms
㘿,zh-see,涅,zh-see
盐,Han simp:1,鹽,Han simp
盐,zh-see,鹽,zh-see
侧,zh-see,側,zh-see
卖,Han simp:1,賣,Han simp
卖,zh-see,賣,zh-see
变,zh-see,變,zh-see
圤,zh-see,墣,zh-see
坏,Han simp:1,壞,Han simp
坏,zh-see,壞,zh-see
坏,zh-see,坯,zh-see
坏,alt,坯,zh-forms
堕,Han simp:1,墮,Han simp
堕,zh-see,墮,zh-see
增,alt,増,zh-forms
增,alt,曾,zh-forms
增,alt,土,zh-forms
增,alt,𢴣,zh-forms
墩,alt,墪,zh-forms
壎,zh-see,塤,zh-see
壜,s,坛,zh-forms
