source_title,relation,target,template
𩁰,zh-see,觀,zh-see
𩁵,zh-see,䨊,zh-see
𩈊,zh-see,𩈉,zh-see
𩇧,zh-see,卯,zh-see
𩇪,zh-see,厞,zh-see
𩒺,zh-see,輔,zh-see
𩐋,zh-see,𩐊,zh-see
𩐇,zh-see,𩐊,zh-see
𩚨,zh-see,䬫,zh-see
𩚨,alt,䊆,zh-forms
𩚚,s,𬲩,zh-forms
𩚚,alt,䶿,zh-forms
𩖰,s,𫠇,zh-forms
𩚥,zh-see,粑,zh-see
𩙶,zh-see,翰,zh-see
𩚂,zh-see,饐,zh-see
𩚩,zh-see,餬,zh-see
𩛩,s,𩠃,zh-forms
𩛩,alt,裹,zh-forms
𩛩,alt,狡,zh-forms
𩛩,alt,轂,zh-forms
𩛩,alt,捲,zh-forms
