title,file_base,raw_path,clean_path,categories,cjk_chars,sentences
一九三三年,一九三三年.txt,raw\一九三三年.txt,clean\一九三三年.txt,,31,2
一九三九年,一九三九年.txt,raw\一九三九年.txt,clean\一九三九年.txt,,142,6
一九三二年,一九三二年.txt,raw\一九三二年.txt,clean\一九三二年.txt,,33,1
一九三五年,一九三五年.txt,raw\一九三五年.txt,clean\一九三五年.txt,,85,3
一九三八年,一九三八年.txt,raw\一九三八年.txt,clean\一九三八年.txt,,156,7
一九三六年,一九三六年.txt,raw\一九三六年.txt,clean\一九三六年.txt,,87,4
一九九〇年,一九九〇年.txt,raw\一九九〇年.txt,clean\一九九〇年.txt,,46,4
一九九一年,一九九一年.txt,raw\一九九一年.txt,clean\一九九一年.txt,,46,4
一九九七年,一九九七年.txt,raw\一九九七年.txt,clean\一九九七年.txt,,113,5
一九九九年,一九九九年.txt,raw\一九九九年.txt,clean\一九九九年.txt,,213,10
一九九二年,一九九二年.txt,raw\一九九二年.txt,clean\一九九二年.txt,,40,3
一九九五年,一九九五年.txt,raw\一九九五年.txt,clean\一九九五年.txt,,51,4
一九九八年,一九九八年.txt,raw\一九九八年.txt,clean\一九九八年.txt,,92,7
一九九六年,一九九六年.txt,raw\一九九六年.txt,clean\一九九六年.txt,,75,5
一九九四年,一九九四年.txt,raw\一九九四年.txt,clean\一九九四年.txt,,40,3
一九二〇年,一九二〇年.txt,raw\一九二〇年.txt,clean\一九二〇年.txt,,56,4
一九二七年,一九二七年.txt,raw\一九二七年.txt,clean\一九二七年.txt,,96,7
一九二九年,一九二九年.txt,raw\一九二九年.txt,clean\一九二九年.txt,,35,2
一九二二年,一九二二年.txt,raw\一九二二年.txt,clean\一九二二年.txt,,30,1
一九二六年,一九二六年.txt,raw\一九二六年.txt,clean\一九二六年.txt,,35,1
一九二年,一九二年.txt,raw\一九二年.txt,clean\一九二年.txt,,172,15
一九五七年,一九五七年.txt,raw\一九五七年.txt,clean\一九五七年.txt,,48,4
一九五三年,一九五三年.txt,raw\一九五三年.txt,clean\一九五三年.txt,,53,4
一九五九年,一九五九年.txt,raw\一九五九年.txt,clean\一九五九年.txt,,39,3
一九五五年,一九五五年.txt,raw\一九五五年.txt,clean\一九五五年.txt,,96,5
一九五八年,一九五八年.txt,raw\一九五八年.txt,clean\一九五八年.txt,,39,1
一九五六年,一九五六年.txt,raw\一九五六年.txt,clean\一九五六年.txt,,54,4
一九五四年,一九五四年.txt,raw\一九五四年.txt,clean\一九五四年.txt,,40,3
一九八〇年,一九八〇年.txt,raw\一九八〇年.txt,clean\一九八〇年.txt,,69,5
一九八一年,一九八一年.txt,raw\一九八一年.txt,clean\一九八一年.txt,,39,3
一九八七年,一九八七年.txt,raw\一九八七年.txt,clean\一九八七年.txt,,46,4
一九八三年,一九八三年.txt,raw\一九八三年.txt,clean\一九八三年.txt,,65,3
一九八九一念間,一九八九一念間.txt,raw\一九八九一念間.txt,clean\一九八九一念間.txt,,51,3
一九八九年,一九八九年.txt,raw\一九八九年.txt,clean\一九八九年.txt,,130,9
一九八二年,一九八二年.txt,raw\一九八二年.txt,clean\一九八二年.txt,,40,3
一九八五年,一九八五年.txt,raw\一九八五年.txt,clean\一九八五年.txt,,40,3
一九八八年,一九八八年.txt,raw\一九八八年.txt,clean\一九八八年.txt,,129,6
一九八六年,一九八六年.txt,raw\一九八六年.txt,clean\一九八六年.txt,,40,3
一九八年,一九八年.txt,raw\一九八年.txt,clean\一九八年.txt,,33,1
一九六〇年,一九六〇年.txt,raw\一九六〇年.txt,clean\一九六〇年.txt,,45,3
一九六一年,一九六一年.txt,raw\一九六一年.txt,clean\一九六一年.txt,,40,1
一九六七年,一九六七年.txt,raw\一九六七年.txt,clean\一九六七年.txt,,62,4
一九六三年,一九六三年.txt,raw\一九六三年.txt,clean\一九六三年.txt,,40,3
一九六九年,一九六九年.txt,raw\一九六九年.txt,clean\一九六九年.txt,,162,11
一九六二年,一九六二年.txt,raw\一九六二年.txt,clean\一九六二年.txt,,40,3
一九六五年,一九六五年.txt,raw\一九六五年.txt,clean\一九六五年.txt,,47,4
一九六八年,一九六八年.txt,raw\一九六八年.txt,clean\一九六八年.txt,,51,3
一九六六年,一九六六年.txt,raw\一九六六年.txt,clean\一九六六年.txt,,83,13
一九六四年,一九六四年.txt,raw\一九六四年.txt,clean\一九六四年.txt,,40,3
一九四七年,一九四七年.txt,raw\一九四七年.txt,clean\一九四七年.txt,,40,3
一九四三年,一九四三年.txt,raw\一九四三年.txt,clean\一九四三年.txt,,86,2
一九四九年,一九四九年.txt,raw\一九四九年.txt,clean\一九四九年.txt,,60,4
一九四五年,一九四五年.txt,raw\一九四五年.txt,clean\一九四五年.txt,,260,24
一九四八年,一九四八年.txt,raw\一九四八年.txt,clean\一九四八年.txt,,99,12
一九四六年,一九四六年.txt,raw\一九四六年.txt,clean\一九四六年.txt,,55,4
一二〇五年,一二〇五年.txt,raw\一二〇五年.txt,clean\一二〇五年.txt,,197,10
一二〇年,一二〇年.txt,raw\一二〇年.txt,clean\一二〇年.txt,,33,3
一二九公里驛,一二九公里驛.txt,raw\一二九公里驛.txt,clean\一二九公里驛.txt,,50,4
一二六三年,一二六三年.txt,raw\一二六三年.txt,clean\一二六三年.txt,,84,6
一五〇年,一五〇年.txt,raw\一五〇年.txt,clean\一五〇年.txt,,33,3
一人之下,一人之下.txt,raw\一人之下.txt,clean\一人之下.txt,,187,12
一八〇九年,一八〇九年.txt,raw\一八〇九年.txt,clean\一八〇九年.txt,,48,4
一八一二年戰爭,一八一二年戰爭.txt,raw\一八一二年戰爭.txt,clean\一八一二年戰爭.txt,,282,13
一八七〇年,一八七〇年.txt,raw\一八七〇年.txt,clean\一八七〇年.txt,,276,11
一八七一年,一八七一年.txt,raw\一八七一年.txt,clean\一八七一年.txt,,39,3
一八七三年,一八七三年.txt,raw\一八七三年.txt,clean\一八七三年.txt,,36,2
一八七九年,一八七九年.txt,raw\一八七九年.txt,clean\一八七九年.txt,,41,1
一八七二年,一八七二年.txt,raw\一八七二年.txt,clean\一八七二年.txt,,40,3
一八七五年,一八七五年.txt,raw\一八七五年.txt,clean\一八七五年.txt,,40,3
一八七四年,一八七四年.txt,raw\一八七四年.txt,clean\一八七四年.txt,,40,3
一八九五,一八九五.txt,raw\一八九五.txt,clean\一八九五.txt,,48,6
