page_number,final_label,initial_label,character,chars_raw,romanization,occurrence_count,manchu_script,source_chunk
3,uo,g,過,過,g’o,21,ᡬᠣ,過 g’o 21
3,uo,g,果,果,g’o,3,ᡬᠣ,果 g’o 3
3,uo,h,或,或,ho,10,ᡥᠣ,或 ho 10 / he 5
3,uo,h,或,或,he,5,ᡥᡝ,或 ho 10 / he 5
3,uo,h,活,活,ho,3,ᡥᠣ,活 ho 3
3,uo,h,惑,惑,ho,2,ᡥᠣ,惑 ho 2
3,uo,h,火,火,ho,,ᡥᠣ,火 ho
3,uo,h,夥,夥,ho,,ᡥᠣ,夥 ho
3,uo,w,我,我,o,216,ᠣ,我 o 216 / we
3,uo,w,我,我,we,,ᠸᡝ,我 o 216 / we
3,ie,b,別,別,biye,48,ᠪᡳᠶᡝ,別 biye 48 / biyei 3
3,ie,b,別,別,biyei,3,ᠪᡳᠶᡝᡳ,別 biye 48 / biyei 3
3,ie,t,帖,帖,tiye,,ᡨᡳᠶᡝ,帖 tiye
3,ie,n,揑,揑,niye,,ᠨᡳᠶᡝ,揑 niye
3,ie,l,咧,咧,liye,44,ᠯᡳᠶᡝ,咧 liye 44 / liyei
3,ie,l,咧,咧,liyei,,ᠯᡳᠶᡝᡳ,咧 liye 44 / liyei
3,ie,j,結,結,giye,5,ᡤᡳᠶᡝ,結 giye 5 / giyei 2
3,ie,j,結,結,giyei,2,ᡤᡳᠶᡝᡳ,結 giye 5 / giyei 2
3,ie,j,借,借,giye,4,ᡤᡳᠶᡝ,借 giye 4
3,ie,j,口結,口結,giye,3,ᡤᡳᠶᡝ,口結 giye 3
3,ie,j,接,接,giye,3,ᡤᡳᠶᡝ,接 giye 3
3,ie,j,節,節,giye,3,ᡤᡳᠶᡝ,節 giye 3
3,ie,j,皆,皆,giyai,2,ᡤᡳᠶᠠᡳ,皆 giyai 2
3,ie,j,捷,捷,giyei,,ᡤᡳᠶᡝᡳ,捷 giyei
3,ie,j,戒,戒,g’ai,,ᡬᠠᡳ,戒 g’ai
3,ie,q,且,且,ciye,12,ᠴᡳᠶᡝ,且 ciye 12
3,ie,q,切,切,ciye,,ᠴᡳᠶᡝ,切 ciye
3,ie,x,些,些,hiye,23,ᡥᡳᠶᡝ,些 hiye 23
3,ie,x,寫,寫,hiye,4,ᡥᡳᠶᡝ,寫 hiye 4
3,ie,x,懈,懈,hiyei,,ᡥᡳᠶᡝᡳ,懈 hiyei / hiyai
3,ie,x,懈,懈,hiyai,,ᡥᡳᠶᠠᡳ,懈 hiyei / hiyai
3,ie,x,洩,洩,hiye,,ᡥᡳᠶᡝ,洩 hiye
3,ie,x,歇,歇,hiye,,ᡥᡳᠶᡝ,歇 hiye
3,ie,y,也,也,ye,114,ᠶᡝ,也 ye 114
3,ie,y,爺,爺,ye,4,ᠶᡝ,爺 ye 4
3,ie,y,夜,夜,ye,3,ᠶᡝ,夜 ye 3
3,ie,y,葉,葉,ye,2,ᠶᡝ,葉 ye 2
3,ie,y,業,業,ye,2,ᠶᡝ,業 ye 2
3,üe,l,畧,畧,liyoo,2,ᠯᡳᠶᠣᠣ,畧 liyoo 2
3,üe,j,决,决,giowei,3,ᡤᡳᠣᠸᡝᡳ,决 giowei 3
3,üe,j,斍,斍,giyo,2,ᡤᡳᠶᠣ,斍 giyo 2
3,üe,q,確,確,kiyo,2,ᡴᡳᠶᠣ,確 kiyo 2
3,üe,q,缺,缺,kiowei,2,ᡴᡳᠣᠸᡝᡳ,缺 kiowei 2
3,üe,x,學,學/斈,hiyo,20,ᡥᡳᠶᠣ,學 / 斈 hiyo 20
3,üe,x,斈,學/斈,hiyo,20,ᡥᡳᠶᠣ,學 / 斈 hiyo 20
3,üe,y,月,月,yuwei,5,ᠶᡠᠸᡝᡳ,月 yuwei 5
3,i［ɿ］,z,子,子,dz,56,ᡯ,子 dz 56
3,i［ɿ］,z,自,自,dz,21,ᡯ,自 dz 21
3,i［ɿ］,z,字,字,dz,7,ᡯ,字 dz 7
3,i［ɿ］,z,仔,仔,dz,2,ᡯ,仔 dz 2
3,i［ɿ］,c,此,此,ts’y,20,ᡮᡟ,此 ts’y 20
3,i［ɿ］,c,次,次,ts’y,5,ᡮᡟ,次 ts’y 5
3,i［ɿ］,c,辞,辞,ts’y,3,ᡮᡟ,辞 ts’y 3
3,i［ɿ］,s,思,思,sy,5,ᠰᡟ,思 sy 5
3,i［ɿ］,s,私,私,sy,3,ᠰᡟ,私 sy 3
3,i［ɿ］,s,四,四,sy,3,ᠰᡟ,四 sy 3
3,i［ɿ］,s,似,似,sy,2,ᠰᡟ,似 sy 2
3,i［ɿ］,s,死,死,sy,2,ᠰᡟ,死 sy 2
3,i［ɿ］,s,厮,厮,sy,,ᠰᡟ,厮 sy
3,i［ʅ］,zh,只,只,dz,31,ᡯ,只 dz 31 / jy 9
3,i［ʅ］,zh,只,只,jy,9,ᡷᡳ,只 dz 31 / jy 9
3,i［ʅ］,zh,知,知,jy,38,ᡷᡳ,知 jy 38
3,i［ʅ］,zh,之,之,jy,27,ᡷᡳ,之 jy 27
3,i［ʅ］,zh,至,至,jy,5,ᡷᡳ,至 jy 5
3,i［ʅ］,zh,支,支,jy,3,ᡷᡳ,支 jy 3
3,i［ʅ］,zh,直,直,jy,2,ᡷᡳ,直 jy 2
3,i［ʅ］,zh,止,止,jy,2,ᡷᡳ,止 jy 2
3,i［ʅ］,zh,指,指,jy,2,ᡷᡳ,指 jy 2
3,i［ʅ］,zh,致,致,jy,,ᡷᡳ,致 jy
3,i［ʅ］,zh,制,制,jy,,ᡷᡳ,制 jy
3,i［ʅ］,zh,紙,紙,jy,,ᡷᡳ,紙 jy
3,i［ʅ］,ch,吃,吃,c’y,27,ᡱᡳ,吃 c’y 27
3,i［ʅ］,ch,遅,遅,c’y,4,ᡱᡳ,遅 c’y 4
3,i［ʅ］,ch,痴,痴,c’y,,ᡱᡳ,痴 c’y
3,i［ʅ］,sh,是,是,ši,267,ᡧᡳ,是 ši 267 / si
3,i［ʅ］,sh,是,是,si,,ᠰᡳ,是 ši 267 / si
3,i［ʅ］,sh,事,事,sy,67,ᠰᡟ,事 sy 67 / ši 5
3,i［ʅ］,sh,事,事,ši,5,ᡧᡳ,事 sy 67 / ši 5
3,i［ʅ］,sh,什,什,ši,67,ᡧᡳ,什 ši 67
3,i［ʅ］,sh,使,使,ši,30,ᡧᡳ,使 ši 30
3,i［ʅ］,sh,時,時,ši,28,ᡧᡳ,時 ši 28
3,i［ʅ］,sh,實,實/寔,ši,18,ᡧᡳ,實 / 寔 ši 18
3,i［ʅ］,sh,寔,實/寔,ši,18,ᡧᡳ,實 / 寔 ši 18
3,i［ʅ］,sh,師,師,sy,8,ᠰᡟ,師 sy 8
3,i［ʅ］,sh,十,十,ši,6,ᡧᡳ,十 ši 6
3,i［ʅ］,sh,失,失,ši,4,ᡧᡳ,失 ši 4
3,i［ʅ］,sh,識,識,ši,2,ᡧᡳ,識 ši 2
3,i［ʅ］,sh,世,世,ši,2,ᡧᡳ,世 ši 2
3,i［ʅ］,sh,食,食,ši,2,ᡧᡳ,食 ši 2
3,i［ʅ］,sh,士,士,ši,2,ᡧᡳ,士 ši 2
3,i［ʅ］,sh,示,示,ši,,ᡧᡳ,示 ši
3,i［ʅ］,sh,試,試,ši,,ᡧᡳ,試 ši
3,i［ʅ］,sh,施,施,ši,,ᡧᡳ,施 ši
3,i［ʅ］,sh,侍,侍,ši,,ᡧᡳ,侍 ši
3,i［ʅ］,sh,拾,拾,ši,,ᡧᡳ,拾 ši
3,i［ʅ］,r,日,日,ži,65,ᡰᡳ,日 ži 65 / žy
3,i［ʅ］,r,日,日,žy,,ᡰᠶ,日 ži 65 / žy
3,i［i］,b,必,必,bi,30,ᠪᡳ,必 bi 30
3,i［i］,b,比,比,bi,13,ᠪᡳ,比 bi 13
3,i［i］,b,彼,彼,bi,3,ᠪᡳ,彼 bi 3
3,i［i］,b,畢,畢,bi,3,ᠪᡳ,畢 bi 3
3,i［i］,p,皮,皮,pi,2,ᡦᡳ,皮 pi 2
3,i［i］,p,譬,譬,pei,2,ᡦᡝᡳ,譬 pei 2
3,i［i］,m,迷,迷,mi,,ᠮᡳ,迷 mi
3,i［i］,m,米,米,mi,,ᠮᡳ,米 mi
3,i［i］,m,彌,彌,mi,,ᠮᡳ,彌 mi
3,i［i］,d,的,的,di,350,ᡩᡳ,的 di 350
3,i［i］,d,弟,弟,di,10,ᡩᡳ,弟 di 10
3,i［i］,d,底,底,di,6,ᡩᡳ,底 di 6
3,i［i］,d,地,地,di,4,ᡩᡳ,地 di 4
3,i［i］,d,第,第,di,,ᡩᡳ,第 di
4,i［i］,t,提,提,ti,7,ᡨᡳ,提 ti 7
4,i［i］,t,体,体,ti,6,ᡨᡳ,体 ti 6 / di
4,i［i］,t,体,体,di,,ᡩᡳ,体 ti 6 / di
4,i［i］,t,替,替,ti,3,ᡨᡳ,替 ti 3
4,i［i］,t,隄,隄,ti,,ᡨᡳ,隄 ti
4,i［i］,t,踢,踢,ti,,ᡨᡳ,踢 ti
4,i［i］,n,你,你,ni,246,ᠨᡳ,你 ni 246
4,i［i］,n,呢,呢,ni,30,ᠨᡳ,呢 ni 30
4,i［i］,n,逆,逆,ni,,ᠨᡳ,逆 ni
4,i［i］,n,泥,泥,ni,,ᠨᡳ,泥 ni
4,i［i］,l,裡,裡/里,lii,83,ᠯᡳᡳ,裡 / 里 lii 83
4,i［i］,l,里,裡/里,lii,83,ᠯᡳᡳ,裡 / 里 lii 83
4,i［i］,l,理,理,lii,28,ᠯᡳᡳ,理 lii 28
4,i［i］,l,利,利,lii,8,ᠯᡳᡳ,利 lii 8 / li
4,i［i］,l,利,利,li,,ᠯᡳ,利 lii 8 / li
4,i［i］,l,力,力,lii,4,ᠯᡳᡳ,力 lii 4
4,i［i］,l,哩,哩,lii,2,ᠯᡳᡳ,哩 lii 2
4,i［i］,l,離,離,lii,,ᠯᡳᡳ,離 lii
4,i［i］,l,粒,粒,lii,,ᠯᡳᡳ,粒 lii
4,i［i］,l,礼,礼,lii,,ᠯᡳᡳ,礼 lii
4,i［i］,l,俐,俐,lii,,ᠯᡳᡳ,俐 lii
4,i［i］,l,立,立,lii,,ᠯᡳᡳ,立 lii
4,i［i］,j,給,給,gi,3,ᡤᡳ,給 gi 3 / ji 37
4,i［i］,j,給,給,ji,37,ᠵᡳ,給 gi 3 / ji 37
4,i［i］,j,幾,幾/几,ji,17,ᠵᡳ,幾 / 几 ji 17
4,i［i］,j,几,幾/几,ji,17,ᠵᡳ,幾 / 几 ji 17
4,i［i］,j,己,己,gi,9,ᡤᡳ,己 gi 9 / ji 3
4,i［i］,j,己,己,ji,3,ᠵᡳ,己 gi 9 / ji 3
4,i［i］,j,既,既,ji,7,ᠵᡳ,既 ji 7
4,i［i］,j,吉,吉,ji,6,ᠵᡳ,吉 ji 6
4,i［i］,j,急,急,gi,5,ᡤᡳ,急 gi 5
4,i［i］,j,寄,寄,ji,5,ᠵᡳ,寄 ji 5
4,i［i］,j,紀,紀,ji,4,ᠵᡳ,紀 ji 4 / gi
4,i［i］,j,紀,紀,gi,,ᡤᡳ,紀 ji 4 / gi
4,i［i］,j,記,記,gi,3,ᡤᡳ,記 gi 3 / ji
4,i［i］,j,記,記,ji,,ᠵᡳ,記 gi 3 / ji
4,i［i］,j,即,即,ji,3,ᠵᡳ,即 ji 3
4,i［i］,j,及,及,ji,3,ᠵᡳ,及 ji 3
4,i［i］,j,計,計,ji,3,ᠵᡳ,計 ji 3
4,i［i］,j,忌,忌,ji,,ᠵᡳ,忌 ji / gi
4,i［i］,j,忌,忌,gi,,ᡤᡳ,忌 ji / gi
4,i［i］,j,技,技,ji,,ᠵᡳ,技 ji
4,i［i］,j,際,際,ji,2,ᠵᡳ,際 ji 2
4,i［i］,j,済,済,ji,,ᠵᡳ,済 ji
4,i［i］,j,疾,疾,ji,,ᠵᡳ,疾 ji
4,i［i］,q,起,起,ki,20,ᡴᡳ,起 ki 20
4,i［i］,q,豈,豈,ci,12,ᠴᡳ,豈 ci 12
4,i［i］,q,其,其,ci,8,ᠴᡳ,其 ci 8
4,i［i］,q,祈,祈,ci,4,ᠴᡳ,祈 ci 4 / ki
4,i［i］,q,祈,祈,ki,,ᡴᡳ,祈 ci 4 / ki
4,i［i］,q,氣,氣,ki,4,ᡴᡳ,氣 ki 4
4,i［i］,q,齊,齊/斉,ci,2,ᠴᡳ,齊 / 斉 ci 2
4,i［i］,q,斉,齊/斉,ci,2,ᠴᡳ,齊 / 斉 ci 2
4,i［i］,q,旗,旗,ki,2,ᡴᡳ,旗 ki 2
4,i［i］,q,奇,奇,ki,2,ᡴᡳ,奇 ki 2
4,i［i］,q,棄,棄,ci,,ᠴᡳ,棄 ci
4,i［i］,q,乞,乞,ci,,ᠴᡳ,乞 ci
4,i［i］,q,騎,騎,ki,,ᡴᡳ,騎 ki
4,i［i］,x,西,西,si,14,ᠰᡳ,西 si 14
4,i［i］,x,喜,喜,hi,9,ᡥᡳ,喜 hi 9
4,i［i］,x,細,細,si,5,ᠰᡳ,細 si 5
4,i［i］,x,係,係,si,2,ᠰᡳ,係 si 2
4,i［i］,x,習,習,si,,ᠰᡳ,習 si
4,i［i］,x,希,希,hi,,ᡥᡳ,希 hi
4,i［i］,x,席,席,si,,ᠰᡳ,席 si
4,i［i］,y,一,一,i,105,ᡳ,一 i 105
4,i［i］,y,以,以,i,15,ᡳ,以 i 15
4,i［i］,y,意,意,i,12,ᡳ,意 i 12
4,i［i］,y,已,已,i,5,ᡳ,已 i 5
4,i［i］,y,依,依,i,5,ᡳ,依 i 5
4,i［i］,y,益,益,i,4,ᡳ,益 i 4
4,i［i］,y,疑,疑,i,3,ᡳ,疑 i 3
4,i［i］,y,易,易,i,3,ᡳ,易 i 3
4,i［i］,y,繹,繹,i,2,ᡳ,繹 i 2
4,i［i］,y,異,異,i,,ᡳ,異 i
4,i［i］,y,衣,衣,i,,ᡳ,衣 i
4,i［i］,y,宜,宜,i,,ᡳ,宜 i
4,i［i］,y,倚,倚,i,,ᡳ,倚 i
4,i［i］,y,矣,矣,i,,ᡳ,矣 i
4,u,b,不,不,bu,270,ᠪᡠ,不 bu 270
4,u,b,歩,歩,bu,5,ᠪᡠ,歩 bu 5
4,u,b,部,部,bu,,ᠪᡠ,部 bu
4,u,p,鋪,鋪,pu,,ᡦᡠ,鋪 pu
4,u,f,夫,夫,fu,9,ᡶᡠ,夫 fu 9
4,u,f,傅,傅,fu,8,ᡶᡠ,傅 fu 8
4,u,f,福,福,fu,2,ᡶᡠ,福 fu 2
4,u,f,付,付,fu,3,ᡶᡠ,付 fu 3
4,u,f,服,服,fu,2,ᡶᡠ,服 fu 2
4,u,f,父,父,fu,2,ᡶᡠ,父 fu 2
4,u,f,復,復,fu,,ᡶᡠ,復 fu
4,u,f,腹,腹,fu,,ᡶᡠ,腹 fu
4,u,f,負,負,fu,,ᡶᡠ,負 fu
4,u,f,富,富,fu,,ᡶᡠ,富 fu
4,u,f,府,府,fu,,ᡶᡠ,府 fu
4,u,f,撫,撫,fu,,ᡶᡠ,撫 fu
4,u,f,浮,浮,feo,,ᡶᡝᠣ,浮 feo
4,u,d,都,都,du,56,ᡩᡠ,都 du 56
4,u,d,讀,讀,du,7,ᡩᡠ,讀 du 7
4,u,d,度,度,du,2,ᡩᡠ,度 du 2
4,u,d,毒,毒,du,,ᡩᡠ,毒 du
4,u,d,獨,獨,du,,ᡩᡠ,獨 du
4,u,d,塗,塗,du,,ᡩᡠ,塗 du
4,u,d,賭,賭,du,,ᡩᡠ,賭 du
4,u,d,堵,堵,du,,ᡩᡠ,堵 du
4,u,t,兎,兎,tu,7,ᡨᡠ,兎 tu 7
4,u,t,圖,圖,tu,2,ᡨᡠ,圖 tu 2
4,u,t,土,土,tu,2,ᡨᡠ,土 tu 2
4,u,t,徒,徒,tu,2,ᡨᡠ,徒 tu 2
4,u,n,奴,奴,nu,,ᠨᡠ,奴 nu / no
4,u,n,奴,奴,no,,ᠨᠣ,奴 nu / no
4,u,l,录,录,lu,5,ᠯᡠ,录 lu 5
4,u,l,路,路,lu,2,ᠯᡠ,路 lu 2
4,u,l,露,露,leo,,ᠯᡝᠣ,露 leo
4,u,z,足,足,dzu,2,ᡯᡠ,足 dzu 2
4,u,c,粗,粗,ts’u,3,ᡨᠰᡠ,粗 ts’u 3
4,u,s,訴,訴,su,17,ᠰᡠ,訴 su 17
4,u,s,速,速,su,3,ᠰᡠ,速 su 3
4,u,s,粟,粟,su,,ᠰᡠ,粟 su
4,u,s,素,素,su,2,ᠰᡠ,素 su 2
4,u,s,俗,俗,su,,ᠰᡠ,俗 su
4,u,zh,住,住,ju,14,ᠵᡠ,住 ju 14
4,u,zh,主,主,ju,7,ᠵᡠ,主 ju 7
4,u,zh,諸,諸,ju,3,ᠵᡠ,諸 ju 3
4,u,zh,猪,猪,ju,2,ᠵᡠ,猪 ju 2
4,u,zh,煑,煑,ju,,ᠵᡠ,煑 ju
4,u,ch,處,處,cu,48,ᠴᡠ,處 cu 48
4,u,ch,出,出,cu,13,ᠴᡠ,出 cu 13
4,u,ch,除,除,cu,3,ᠴᡠ,除 cu 3
4,u,ch,楚,楚,cu,,ᠴᡠ,楚 cu
4,u,ch,初,初,ts’u,,ᡨᠰᡠ,初 ts’u
4,u,sh,書,書,šu,21,ᡧᡠ,書 šu 21
4,u,sh,叔,叔,šu,6,ᡧᡠ,叔 šu 6
4,u,sh,樹,樹,šu,5,ᡧᡠ,樹 šu 5
4,u,sh,属,属,šu,2,ᡧᡠ,属 šu 2
4,u,sh,数,数,su,2,ᠰᡠ,数 su 2
4,u,sh,舒,舒,šu,2,ᡧᡠ,舒 šu 2
4,u,sh,疎,疎,su,,ᠰᡠ,疎 su
4,u,r,如,如,žu,28,ᡰᡠ,如 žu 28 / žo
4,u,r,如,如,žo,,ᡰᠣ,如 žu 28 / žo
4,u,r,褥,褥,žu,,ᡰᡠ,褥 žu
4,u,g,故,故,gu,8,ᡤᡠ,故 gu 8
4,u,g,古,古,gu,,ᡤᡠ,古 gu
4,u,g,顧,顧,gu,,ᡤᡠ,顧 gu
4,u,g,辜,辜,gu,,ᡤᡠ,辜 gu
4,u,g,骨,骨,gu,,ᡤᡠ,骨 gu
4,u,k,苦,苦,ku,3,ᡴᡠ,苦 ku 3
4,u,k,哭,哭,ku,3,ᡴᡠ,哭 ku 3
4,u,h,胡,胡,ho,3,ᡥᠣ,胡 ho 3 / hū 3 / hu
4,u,h,胡,胡,hū,3,ᡥᡡ,胡 ho 3 / hū 3 / hu
4,u,h,胡,胡,hu,,ᡥᡠ,胡 ho 3 / hū 3 / hu
4,u,h,戸,戸,hū,4,ᡥᡡ,戸 hū 4
4,u,h,忽,忽,hu,3,ᡥᡠ,忽 hu 3 / hū
4,u,h,忽,忽,hū,,ᡥᡡ,忽 hu 3 / hū
4,u,h,惚,惚,hu,3,ᡥᡠ,惚 hu 3
4,u,h,乎,乎,hu,,ᡥᡠ,乎 hu / hū
4,u,h,乎,乎,hū,,ᡥᡡ,乎 hu / hū
4,u,h,呼,呼,hū,,ᡥᡡ,呼 hū
4,u,w,無,無,u,14,ᡠ,無 u 14
4,u,w,悞,悞,u,5,ᡠ,悞 u 5 / o 2
4,u,w,悞,悞,o,2,ᠣ,悞 u 5 / o 2
4,u,w,吾,吾,u,4,ᡠ,吾 u 4
4,u,w,屋,屋,u,4,ᡠ,屋 u 4
4,u,w,五,五,u,3,ᡠ,五 u 3
4,u,w,物,物,u,2,ᡠ,物 u 2
4,ü,l,屡,屡,lui,2,ᠯᡠᡳ,屡 lui 2
4,ü,j,句,句,gioi,8,ᡤᡳᠣᡳ,句 gioi 8
4,ü,j,矩,矩,gioi,5,ᡤᡳᠣᡳ,矩 gioi 5
4,ü,j,拘,拘,gioi,4,ᡤᡳᠣᡳ,拘 gioi 4
4,ü,j,局,局,gioi,,ᡤᡳᠣᡳ,局 gioi
4,ü,j,據,據,gioi,,ᡤᡳᠣᡳ,據 gioi
4,ü,j,居,居,gioi,,ᡤᡳᠣᡳ,居 gioi
4,ü,j,举,举,gioi,,ᡤᡳᠣᡳ,举 gioi
4,ü,q,去,去,kioi,118,ᡴᡳᠣᡳ,去 kioi 118
4,ü,q,趣,趣,kioi,2,ᡴᡳᠣᡳ,趣 kioi 2
4,ü,q,取,取,kioi,2,ᡴᡳᠣᡳ,取 kioi 2
4,ü,q,屈,屈,kioi,,ᡴᡳᠣᡳ,屈 kioi
5,ü,x,虚,虚,sioi,6,ᠰᡳᠣᡳ,虚 sioi 6
5,ü,x,絮,絮,sioi,4,ᠰᡳᠣᡳ,絮 sioi 4
5,ü,x,須,須,sioi,3,ᠰᡳᠣᡳ,須 sioi 3
5,ü,x,叙,叙,sioi,3,ᠰᡳᠣᡳ,叙 sioi 3
5,ü,x,許,許,sioi,2,ᠰᡳᠣᡳ,許 sioi 2
5,ü,y,于,于,ioi,20,ᡳᠣᡳ,于 ioi 20
5,ü,y,預,預,ioi,4,ᡳᠣᡳ,預 ioi 4
5,ü,y,雨,雨,ioi,2,ᡳᠣᡳ,雨 ioi 2
5,ü,y,欲,欲,ioi,4,ᡳᠣᡳ,欲 ioi 4
5,ü,y,遇,遇,ioi,3,ᡳᠣᡳ,遇 ioi 3
5,ü,y,愚,愚,ioi,2,ᡳᠣᡳ,愚 ioi 2
5,ü,y,餘,餘,ioi,2,ᡳᠣᡳ,餘 ioi 2
5,ü,y,語,語,ioi,,ᡳᠣᡳ,語 ioi
5,ü,y,譽,譽,ioi,,ᡳᠣᡳ,譽 ioi
5,ai,b,白,白,be,16,ᠪᡝ,白 be 16
5,ai,b,擺,擺,bai,5,ᠪᠠᡳ,擺 bai 5
5,ai,b,百,百,be,3,ᠪᡝ,百 be 3
5,ai,p,派,派,pai,2,ᡦᠠᡳ,派 pai 2
5,ai,m,買,買,mai,2,ᠮᠠᡳ,買 mai 2
5,ai,m,賣,賣,mai,2,ᠮᠠᡳ,賣 mai 2
