dataset_slug,dataset_group,represents,writing_system,display_label,source_citation,source_citation_full,source_work,source_author,source_year,underlying_text,underlying_text_year,character,transcription_latin,transcription_manchu,transcription_ipa,initial_label,final_label,occurrence_count,page_number,source_chunk,chars_raw
manju-hergen-takekoshi-2011,mandarin,Mandarin,Manchu script transcription of Mandarin,ᠮᠠᠨᠵᡠ ᡥᡝᡵᡤᡝᠨ Manju Hergen,"Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101).","Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101). Data extracted from the Qing instructional source 兼滿漢語滿洲套話清文啓蒙 (1763).",『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表,竹越 孝 / Takekoshi Takeshi,2011,兼滿漢語滿洲套話清文啓蒙,1763,發,fa,ᡶᠠ,fa,f,a,6,1,發 fa 6,發
manju-hergen-takekoshi-2011,mandarin,Mandarin,Manchu script transcription of Mandarin,ᠮᠠᠨᠵᡠ ᡥᡝᡵᡤᡝᠨ Manju Hergen,"Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101).","Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101). Data extracted from the Qing instructional source 兼滿漢語滿洲套話清文啓蒙 (1763).",『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表,竹越 孝 / Takekoshi Takeshi,2011,兼滿漢語滿洲套話清文啓蒙,1763,法,fa,ᡶᠠ,fa,f,a,,1,法 fa,法
manju-hergen-takekoshi-2011,mandarin,Mandarin,Manchu script transcription of Mandarin,ᠮᠠᠨᠵᡠ ᡥᡝᡵᡤᡝᠨ Manju Hergen,"Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101).","Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101). Data extracted from the Qing instructional source 兼滿漢語滿洲套話清文啓蒙 (1763).",『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表,竹越 孝 / Takekoshi Takeshi,2011,兼滿漢語滿洲套話清文啓蒙,1763,乏,fa,ᡶᠠ,fa,f,a,,1,乏 fa,乏
manju-hergen-takekoshi-2011,mandarin,Mandarin,Manchu script transcription of Mandarin,ᠮᠠᠨᠵᡠ ᡥᡝᡵᡤᡝᠨ Manju Hergen,"Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101).","Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101). Data extracted from the Qing instructional source 兼滿漢語滿洲套話清文啓蒙 (1763).",『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表,竹越 孝 / Takekoshi Takeshi,2011,兼滿漢語滿洲套話清文啓蒙,1763,大,da,ᡩᠠ,ta,d,a,19,1,大 da 19,大
manju-hergen-takekoshi-2011,mandarin,Mandarin,Manchu script transcription of Mandarin,ᠮᠠᠨᠵᡠ ᡥᡝᡵᡤᡝᠨ Manju Hergen,"Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101).","Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101). Data extracted from the Qing instructional source 兼滿漢語滿洲套話清文啓蒙 (1763).",『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表,竹越 孝 / Takekoshi Takeshi,2011,兼滿漢語滿洲套話清文啓蒙,1763,答,da,ᡩᠠ,ta,d,a,9,1,答 da 9,答
manju-hergen-takekoshi-2011,mandarin,Mandarin,Manchu script transcription of Mandarin,ᠮᠠᠨᠵᡠ ᡥᡝᡵᡤᡝᠨ Manju Hergen,"Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101).","Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101). Data extracted from the Qing instructional source 兼滿漢語滿洲套話清文啓蒙 (1763).",『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表,竹越 孝 / Takekoshi Takeshi,2011,兼滿漢語滿洲套話清文啓蒙,1763,打,da,ᡩᠠ,ta,d,a,2,1,打 da 2,打
manju-hergen-takekoshi-2011,mandarin,Mandarin,Manchu script transcription of Mandarin,ᠮᠠᠨᠵᡠ ᡥᡝᡵᡤᡝᠨ Manju Hergen,"Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101).","Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101). Data extracted from the Qing instructional source 兼滿漢語滿洲套話清文啓蒙 (1763).",『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表,竹越 孝 / Takekoshi Takeshi,2011,兼滿漢語滿洲套話清文啓蒙,1763,他,ta,ᡨᠠ,tʰa,t,a,68,1,他 ta 68,他
manju-hergen-takekoshi-2011,mandarin,Mandarin,Manchu script transcription of Mandarin,ᠮᠠᠨᠵᡠ ᡥᡝᡵᡤᡝᠨ Manju Hergen,"Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101).","Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101). Data extracted from the Qing instructional source 兼滿漢語滿洲套話清文啓蒙 (1763).",『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表,竹越 孝 / Takekoshi Takeshi,2011,兼滿漢語滿洲套話清文啓蒙,1763,那,na,ᠨᠠ,na,n,a,73,1,那 na 73,那
manju-hergen-takekoshi-2011,mandarin,Mandarin,Manchu script transcription of Mandarin,ᠮᠠᠨᠵᡠ ᡥᡝᡵᡤᡝᠨ Manju Hergen,"Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101).","Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101). Data extracted from the Qing instructional source 兼滿漢語滿洲套話清文啓蒙 (1763).",『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表,竹越 孝 / Takekoshi Takeshi,2011,兼滿漢語滿洲套話清文啓蒙,1763,拿,na,ᠨᠠ,na,n,a,12,1,拿 / 挐 na 12,拿/挐
manju-hergen-takekoshi-2011,mandarin,Mandarin,Manchu script transcription of Mandarin,ᠮᠠᠨᠵᡠ ᡥᡝᡵᡤᡝᠨ Manju Hergen,"Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101).","Takekoshi 竹越, Takeshi 孝. (2011). 『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表. KOTONOHA, (101). Data extracted from the Qing instructional source 兼滿漢語滿洲套話清文啓蒙 (1763).",『兼滿漢語滿洲套話清文啓蒙』満洲文字注音一覧表,竹越 孝 / Takekoshi Takeshi,2011,兼滿漢語滿洲套話清文啓蒙,1763,挐,na,ᠨᠠ,na,n,a,12,1,拿 / 挐 na 12,拿/挐
