source_url,author_page,work_title,section,page_title,output_clean_path,output_raw_path,segment_mode,median_default_score,prop_literary,prop_modern,prop_uncertain,suspected_baihua,score_error
https://zh.wikisource.org/wiki/%E6%97%A5%E6%9C%AC%E6%87%89%E5%8A%A9%E4%B8%AD%E5%9C%8B%E5%BB%A2%E9%99%A4%E4%B8%8D%E5%B9%B3%E7%AD%89%E6%A2%9D%E7%B4%84,作者:孫中山,日本應助中國廢除不平等條約,,日本應助中國廢除不平等條約,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\suspected_baihua\clean\孫中山\日本應助中國廢除不平等條約\日本應助中國廢除不平等條約__juan_01.txt,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\suspected_baihua\raw\孫中山\日本應助中國廢除不平等條約\日本應助中國廢除不平等條約__juan_01.txt,paragraph,-251.377419,0.000000,0.875000,0.125000,True,
https://zh.wikisource.org/wiki/%E6%97%A5%E6%9C%AC%E6%87%89%E6%AD%B8%E9%82%84%E4%B8%AD%E5%9C%8B%E6%AC%8A%E5%88%A9%E4%B8%A6%E6%89%BF%E8%AA%8D%E6%9C%9D%E9%AE%AE%E7%8D%A8%E7%AB%8B,作者:孫中山,日本應歸還中國權利並承認朝鮮獨立,,日本應歸還中國權利並承認朝鮮獨立,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\clean\孫中山\日本應歸還中國權利並承認朝鮮獨立\日本應歸還中國權利並承認朝鮮獨立__juan_01.txt,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\raw\孫中山\日本應歸還中國權利並承認朝鮮獨立\日本應歸還中國權利並承認朝鮮獨立__juan_01.txt,paragraph,4.812000,0.500000,0.250000,0.250000,False,
https://zh.wikisource.org/wiki/%E6%9C%9B%E5%90%84%E7%9C%81%E4%B8%80%E8%87%B4%E8%81%B2%E8%A8%8E%E8%A2%81%E6%B0%8F%E9%80%9A%E9%9B%BB,作者:孫中山,望各省一致聲討袁氏通電,,望各省一致聲討袁氏通電,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\clean\孫中山\望各省一致聲討袁氏通電\望各省一致聲討袁氏通電__juan_01.txt,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\raw\孫中山\望各省一致聲討袁氏通電\望各省一致聲討袁氏通電__juan_01.txt,paragraph,47.941246,1.000000,0.000000,0.000000,False,
https://zh.wikisource.org/wiki/%E6%9D%B1%E8%A5%BF%E8%97%A5%E5%B1%80%E5%BB%A3%E5%91%8A,作者:孫中山,東西藥局廣告,,東西藥局廣告,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\clean\孫中山\東西藥局廣告\東西藥局廣告__juan_01.txt,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\raw\孫中山\東西藥局廣告\東西藥局廣告__juan_01.txt,paragraph,0.000000,0.142857,0.285714,0.571429,False,
https://zh.wikisource.org/wiki/%E6%AC%A2%E5%AE%B4%E5%9B%BD%E6%B0%91%E5%85%9A%E5%90%84%E7%9C%81%E4%BB%A3%E8%A1%A8%E5%8F%8A%E8%92%99%E5%8F%A4%E4%BB%A3%E8%A1%A8%E7%9A%84%E6%BC%94%E8%AF%B4,作者:孫中山,欢宴国民党各省代表及蒙古代表的演说,,欢宴国民党各省代表及蒙古代表的演说,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\suspected_baihua\clean\孫中山\欢宴国民党各省代表及蒙古代表的演说\欢宴国民党各省代表及蒙古代表的演说__juan_01.txt,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\suspected_baihua\raw\孫中山\欢宴国民党各省代表及蒙古代表的演说\欢宴国民党各省代表及蒙古代表的演说__juan_01.txt,paragraph,-205.619534,0.000000,0.833333,0.166667,True,
https://zh.wikisource.org/wiki/%E6%AC%B2%E6%95%91%E4%B8%AD%E5%9C%8B%E5%BF%85%E5%85%88%E6%8E%A8%E5%80%92%E6%BB%BF%E6%B8%85,作者:孫中山,欲救中國必先推倒滿清,,欲救中國必先推倒滿清,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\suspected_baihua\clean\孫中山\欲救中國必先推倒滿清\欲救中國必先推倒滿清__juan_01.txt,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\suspected_baihua\raw\孫中山\欲救中國必先推倒滿清\欲救中國必先推倒滿清__juan_01.txt,paragraph,-5.670000,0.000000,1.000000,0.000000,True,
https://zh.wikisource.org/wiki/%E6%AD%A1%E8%BF%8E%E8%98%87%E8%81%AF%E8%BB%8D%E8%89%A6%E7%A5%9D%E8%A9%9E,作者:孫中山,歡迎蘇聯軍艦祝詞,,歡迎蘇聯軍艦祝詞,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\suspected_baihua\clean\孫中山\歡迎蘇聯軍艦祝詞\歡迎蘇聯軍艦祝詞__juan_01.txt,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\suspected_baihua\raw\孫中山\歡迎蘇聯軍艦祝詞\歡迎蘇聯軍艦祝詞__juan_01.txt,paragraph,0.000000,0.166667,0.500000,0.333333,True,
https://zh.wikisource.org/wiki/%E6%AD%A6%E6%98%8C%E8%B5%B7%E7%BE%A9%E5%BE%8C%E9%80%9A%E5%91%8A%E5%90%84%E5%9C%8B%E6%9B%B8,作者:孫中山,武昌起義後通告各國書,,武昌起義後通告各國書,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\clean\孫中山\武昌起義後通告各國書\武昌起義後通告各國書__juan_01.txt,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\raw\孫中山\武昌起義後通告各國書\武昌起義後通告各國書__juan_01.txt,paragraph,0.595000,0.125000,0.000000,0.875000,False,
https://zh.wikisource.org/wiki/%E6%B0%91%E5%A0%B1%E7%99%BC%E5%88%8A%E8%A9%9E,作者:孫中山,民報發刊詞,,民報發刊詞,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\clean\孫中山\民報發刊詞\民報發刊詞__juan_01.txt,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\raw\孫中山\民報發刊詞\民報發刊詞__juan_01.txt,paragraph,45.146823,1.000000,0.000000,0.000000,False,
https://zh.wikisource.org/wiki/%E6%B0%91%E7%94%9F%E4%B8%BB%E7%BE%A9%E8%88%87%E7%A4%BE%E6%9C%83%E9%9D%A9%E5%91%BD,作者:孫中山,民生主義與社會革命,,民生主義與社會革命,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\suspected_baihua\clean\孫中山\民生主義與社會革命\民生主義與社會革命__juan_01.txt,C:\Users\chipp\OneDrive\Documents\fanyahanwen-corpus\scrape_output\suspected_baihua\raw\孫中山\民生主義與社會革命\民生主義與社會革命__juan_01.txt,paragraph,32.713369,0.500000,0.500000,0.000000,True,
