status,error,source_categories,category_path,work_title,page_title,chapter,sequence,source_url,header_nation,header_categories,year,ws_categories,ws_category_scope,raw_path,clean_path,chars_raw,chars_clean,wenyan_median_default_score,wenyan_prop_literary,wenyan_prop_modern,wenyan_prop_uncertain,wenyan_suspected_modern,wenyan_error
saved,,越南典籍,越南 > 越南典籍,保大八年正月拾陸日覆奏一道,保大八年正月拾陸日覆奏一道,root,1,https://zh.wikisource.org/wiki/%E4%BF%9D%E5%A4%A7%E5%85%AB%E5%B9%B4%E6%AD%A3%E6%9C%88%E6%8B%BE%E9%99%B8%E6%97%A5%E8%A6%86%E5%A5%8F%E4%B8%80%E9%81%93,,越南典籍,1933年,1933年，越南典籍,page,raw\保大八年正月拾陸日覆奏一道\保大八年正月拾陸日覆奏一道__0001__front_matter.txt,clean\保大八年正月拾陸日覆奏一道\保大八年正月拾陸日覆奏一道__0001__front_matter.txt,2026,1533,0.000000,0.055556,0.000000,0.944444,0,
saved,,越南典籍,越南 > 越南典籍,保大八年準許吏部吳大臣辭職諭旨,保大八年準許吏部吳大臣辭職諭旨,root,1,https://zh.wikisource.org/wiki/%E4%BF%9D%E5%A4%A7%E5%85%AB%E5%B9%B4%E6%BA%96%E8%A8%B1%E5%90%8F%E9%83%A8%E5%90%B3%E5%A4%A7%E8%87%A3%E8%BE%AD%E8%81%B7%E8%AB%AD%E6%97%A8,,越南典籍,1933年,1933年，越南典籍,page,raw\保大八年準許吏部吳大臣辭職諭旨\保大八年準許吏部吳大臣辭職諭旨__0001__front_matter.txt,clean\保大八年準許吏部吳大臣辭職諭旨\保大八年準許吏部吳大臣辭職諭旨__0001__front_matter.txt,681,508,0.925000,0.000000,0.000000,1.000000,0,
saved,,阮朝,越南 > 阮朝,保大帝冊立皇后諭旨,保大帝冊立皇后諭旨,root,1,https://zh.wikisource.org/wiki/%E4%BF%9D%E5%A4%A7%E5%B8%9D%E5%86%8A%E7%AB%8B%E7%9A%87%E5%90%8E%E8%AB%AD%E6%97%A8,,阮朝,1934年,1934年，1934年 (提及)，阮朝,page,raw\保大帝冊立皇后諭旨\保大帝冊立皇后諭旨__0001__front_matter.txt,clean\保大帝冊立皇后諭旨\保大帝冊立皇后諭旨__0001__front_matter.txt,1170,798,4.925000,0.500000,0.000000,0.500000,0,
saved,,阮朝,越南 > 阮朝,保大拾陸年貳月貳拾捌日欽奉諭準追封郡公賜祭祝文,保大拾陸年貳月貳拾捌日欽奉諭準追封郡公賜祭祝文,root,1,https://zh.wikisource.org/wiki/%E4%BF%9D%E5%A4%A7%E6%8B%BE%E9%99%B8%E5%B9%B4%E8%B2%B3%E6%9C%88%E8%B2%B3%E6%8B%BE%E6%8D%8C%E6%97%A5%E6%AC%BD%E5%A5%89%E8%AB%AD%E6%BA%96%E8%BF%BD%E5%B0%81%E9%83%A1%E5%85%AC%E8%B3%9C%E7%A5%AD%E7%A5%9D%E6%96%87,,阮朝,1941年,1941年，阮朝,page,raw\保大拾陸年貳月貳拾捌日欽奉諭準追封郡公賜祭祝文\保大拾陸年貳月貳拾捌日欽奉諭準追封郡公賜祭祝文__0001__front_matter.txt,clean\保大拾陸年貳月貳拾捌日欽奉諭準追封郡公賜祭祝文\保大拾陸年貳月貳拾捌日欽奉諭準追封郡公賜祭祝文__0001__front_matter.txt,999,761,0.000000,0.074074,0.000000,0.925926,0,
saved,,安南,越南 > 安南,傳檄安南官吏軍民人等,傳檄安南官吏軍民人等,root,1,https://zh.wikisource.org/wiki/%E5%82%B3%E6%AA%84%E5%AE%89%E5%8D%97%E5%AE%98%E5%90%8F%E8%BB%8D%E6%B0%91%E4%BA%BA%E7%AD%89,,安南,1406年,1406年，1406年安南，1406年檄，PD-old，大明永樂四年冬十月乙未，安南，張輔，檄,page,raw\傳檄安南官吏軍民人等\傳檄安南官吏軍民人等__0001__front_matter.txt,clean\傳檄安南官吏軍民人等\傳檄安南官吏軍民人等__0001__front_matter.txt,2025,1833,4.665000,0.884615,0.000000,0.115385,0,
saved,,阮朝,越南 > 阮朝,勤王詔 (咸宜帝),勤王詔 (咸宜帝),root,1,https://zh.wikisource.org/wiki/%E5%8B%A4%E7%8E%8B%E8%A9%94%20%28%E5%92%B8%E5%AE%9C%E5%B8%9D%29,,阮朝,1885年,1885年，1885年7月，1885年7月13日，1885年 (提及)，PD-old-80-1923，咸宜帝，阮朝,page,raw\勤王詔 (咸宜帝)\勤王詔 (咸宜帝)__0001__front_matter.txt,clean\勤王詔 (咸宜帝)\勤王詔 (咸宜帝)__0001__front_matter.txt,1182,961,0.336000,0.375000,0.000000,0.625000,0,
saved,,河内,越南 > 河内,区域全面经济伙伴关系协定,区域全面经济伙伴关系协定/序言,序言,1,https://zh.wikisource.org/wiki/%E5%8C%BA%E5%9F%9F%E5%85%A8%E9%9D%A2%E7%BB%8F%E6%B5%8E%E4%BC%99%E4%BC%B4%E5%85%B3%E7%B3%BB%E5%8D%8F%E5%AE%9A%2F%E5%BA%8F%E8%A8%80,,河内,2020年,2020年，2020年11月，2020年11月15日，2020年河内，中华人民共和国商务部，区域全面经济伙伴关系协定，河内，中华人民共和国公有领域，中华人民共和国条约,page_plus_root,raw\区域全面经济伙伴关系协定\区域全面经济伙伴关系协定__0001__序言.txt,clean\区域全面经济伙伴关系协定\区域全面经济伙伴关系协定__0001__序言.txt,1826,1260,-9.315000,0.000000,0.714286,0.285714,1,
saved,,河内,越南 > 河内,区域全面经济伙伴关系协定,区域全面经济伙伴关系协定/第一章 初始条款和一般定义,第一章 初始条款和一般定义,2,https://zh.wikisource.org/wiki/%E5%8C%BA%E5%9F%9F%E5%85%A8%E9%9D%A2%E7%BB%8F%E6%B5%8E%E4%BC%99%E4%BC%B4%E5%85%B3%E7%B3%BB%E5%8D%8F%E5%AE%9A%2F%E7%AC%AC%E4%B8%80%E7%AB%A0%20%E5%88%9D%E5%A7%8B%E6%9D%A1%E6%AC%BE%E5%92%8C%E4%B8%80%E8%88%AC%E5%AE%9A%E4%B9%89,,河内,2020年,2020年，2020年11月，2020年11月15日，2020年河内，中华人民共和国商务部，区域全面经济伙伴关系协定，河内，中华人民共和国公有领域，中华人民共和国条约,page_plus_root,raw\区域全面经济伙伴关系协定\区域全面经济伙伴关系协定__0002__第一章 初始条款和一般定义.txt,clean\区域全面经济伙伴关系协定\区域全面经济伙伴关系协定__0002__第一章 初始条款和一般定义.txt,3455,2529,0.187500,0.391304,0.260870,0.347826,0,
saved,,河内,越南 > 河内,区域全面经济伙伴关系协定,区域全面经济伙伴关系协定/第七章 贸易救济,第七章 贸易救济,3,https://zh.wikisource.org/wiki/%E5%8C%BA%E5%9F%9F%E5%85%A8%E9%9D%A2%E7%BB%8F%E6%B5%8E%E4%BC%99%E4%BC%B4%E5%85%B3%E7%B3%BB%E5%8D%8F%E5%AE%9A%2F%E7%AC%AC%E4%B8%83%E7%AB%A0%20%E8%B4%B8%E6%98%93%E6%95%91%E6%B5%8E,,河内,2020年,2020年，2020年11月，2020年11月15日，2020年河内，中华人民共和国商务部，区域全面经济伙伴关系协定，河内，中华人民共和国公有领域，中华人民共和国条约,page_plus_root,raw\区域全面经济伙伴关系协定\区域全面经济伙伴关系协定__0003__第七章 贸易救济.txt,clean\区域全面经济伙伴关系协定\区域全面经济伙伴关系协定__0003__第七章 贸易救济.txt,8272,6503,-3.005000,0.269231,0.557692,0.173077,1,
saved,,河内,越南 > 河内,区域全面经济伙伴关系协定,区域全面经济伙伴关系协定/第七章 贸易救济/附件一 与反倾销和反补贴调查相关的做法,第七章 贸易救济/附件一 与反倾销和反补贴调查相关的做法,4,https://zh.wikisource.org/wiki/%E5%8C%BA%E5%9F%9F%E5%85%A8%E9%9D%A2%E7%BB%8F%E6%B5%8E%E4%BC%99%E4%BC%B4%E5%85%B3%E7%B3%BB%E5%8D%8F%E5%AE%9A%2F%E7%AC%AC%E4%B8%83%E7%AB%A0%20%E8%B4%B8%E6%98%93%E6%95%91%E6%B5%8E%2F%E9%99%84%E4%BB%B6%E4%B8%80%20%E4%B8%8E%E5%8F%8D%E5%80%BE%E9%94%80%E5%92%8C%E5%8F%8D%E8%A1%A5%E8%B4%B4%E8%B0%83%E6%9F%A5%E7%9B%B8%E5%85%B3%E7%9A%84%E5%81%9A%E6%B3%95,,河内,2020年,2020年，2020年11月，2020年11月15日，2020年河内，中华人民共和国商务部，区域全面经济伙伴关系协定，河内，中华人民共和国公有领域，中华人民共和国条约,page_plus_root,raw\区域全面经济伙伴关系协定\区域全面经济伙伴关系协定__0004__第七章 贸易救济_附件一 与反倾销和反补贴调查相关的做法.txt,clean\区域全面经济伙伴关系协定\区域全面经济伙伴关系协定__0004__第七章 贸易救济_附件一 与反倾销和反补贴调查相关的做法.txt,2735,2016,-21.165000,0.058824,0.764706,0.176471,1,
