glyph,moe_id,grade,canonical_moe_id,canonical_glyph
󰁄,A00020-013,附錄字 ,A00020,中
󰁅,A00020-014,附錄字 ,A00020,中
串,A00021,正字 ,A00021,串
󰁆,A00021-001,異體字 ,A00021,串
丸,A00022,正字 ,A00022,丸
丸,A00022-001,異體字 ,A00022,丸
𠁽,A00022-002,異體字 ,A00022,丸
󰁇,A00022-003,異體字 ,A00022,丸
凡,A00023,正字 ,A00023,凡
凢,A00023-001,異體字 ,A00023,凡
󰁈,A00023-003,異體字 ,A00023,凡
󰁉,A00023-004,異體字 ,A00023,凡
󰁊,A00023-005,異體字 ,A00023,凡
󰁋,A00023-007,異體字 ,A00023,凡
󰁌,A00023-008,異體字 ,A00023,凡
丹,A00024,正字 ,A00024,丹
𠁿,A00024-001,異體字 ,A00024,丹
𠕑,A00024-002,異體字 ,A00024,丹
㣋,A00024-003,異體字 ,A00024,丹
󰁍,A00024-004,異體字 ,A00024,丹
𢒈,A00024-005,異體字 ,A00024,丹
󰁎,A00024-006,異體字 ,A00024,丹
󰁏,A00024-007,異體字 ,A00024,丹
󰁐,A00024-008,異體字 ,A00024,丹
󰁑,A00024-009,異體字 ,A00024,丹
󰁒,A00024-010,異體字 ,A00024,丹
󰁓,A00024-011,異體字 ,A00024,丹
󰁔,A00024-012,異體字 ,A00024,丹
󰁕,A00024-013,異體字 ,A00024,丹
主,A00025,正字 ,A00025,主
󰁖,A00025-001,異體字 ,A00025,主
󰁗,A00025-002,異體字 ,A00025,主
乃,A00026,正字 ,A00026,乃
𠄕,A00026-001,異體字 ,A00026,乃
𠚝,A00026-002,異體字 ,A00026,乃
𠧤,A00026-003,異體字 ,A00026,乃
𢎧,A00026-004,異體字 ,A00026,乃
𢏩,A00026-005,異體字 ,A00026,乃
弓,A00026-006,異體字 ,A00026,乃
𠄎,A00026-007,異體字 ,A00026,乃
󰁘,A00026-008,異體字 ,A00026,乃
󰁙,A00026-009,異體字 ,A00026,乃
󰁚,A00026-016,異體字 ,A00026,乃
󰁛,A00026-017,異體字 ,A00026,乃
廼,A00026-018,異體字 ,A00026,乃
久,A00027,正字 ,A00027,久
乆,A00027-001,異體字 ,A00027,久
镹,A00027-002,異體字 ,A00027,久
󰁜,A00027-003,異體字 ,A00027,久
么,A00028,正字 ,A00028,么
幺,A00028-001,異體字 ,A00028,么
之,A00029,正字 ,A00029,之
㞢,A00029-001,異體字 ,A00029,之
𡳿,A00029-002,異體字 ,A00029,之
𠔇,A00029-003,異體字 ,A00029,之
󰁝,A00029-004,異體字 ,A00029,之
󰁞,A00029-005,異體字 ,A00029,之
󰁟,A00029-007-1,異體字 ,A00029,之
󰁡,A00029-013,異體字 ,A00029,之
󰁢,A00029-014,異體字 ,A00029,之
󰁤,A00029-017,異體字 ,A00029,之
󰁥,A00029-018-1,異體字 ,A00029,之
󰁦,A00029-018-2,異體字 ,A00029,之
󰁧,A00029-019,附錄字 ,A00029,之
󰁨,A00029-020,附錄字 ,A00029,之
󰁩,A00029-021,附錄字 ,A00029,之
尹,A00030,正字 ,A00030,尹
𢁨,A00030-001,異體字 ,A00030,尹
𢂫,A00030-002,異體字 ,A00030,尹
𢂟,A00030-003,異體字 ,A00030,尹
𢂬,A00030-004,異體字 ,A00030,尹
󰁪,A00030-005,異體字 ,A00030,尹
𢃂,A00030-008,異體字 ,A00030,尹
𢃁,A00030-009,異體字 ,A00030,尹
󰁫,A00030-011,異體字 ,A00030,尹
𢃹,A00030-012,異體字 ,A00030,尹
󰁬,A00030-013,異體字 ,A00030,尹
𢃵,A00030-014,異體字 ,A00030,尹
乍,A00031,正字 ,A00031,乍
𠆦,A00031-001,異體字 ,A00031,乍
󰁭,A00031-002,異體字 ,A00031,乍
