glyph,moe_id,grade,canonical_moe_id,canonical_glyph
󱑐,A00900-026-1,異體字 ,A00900,妻
󱑑,A00900-026-2,異體字 ,A00900,妻
󱑒,A00900-026-4,異體字 ,A00900,妻
󱑓,A00900-027,異體字 ,A00900,妻
委,A00901,正字 ,A00901,委
妹,A00902,正字 ,A00902,妹
妮,A00903,正字 ,A00903,妮
󱑔,A00903-002,異體字 ,A00903,妮
姑,A00904,正字 ,A00904,姑
姆,A00905,正字 ,A00905,姆
娒,A00905-001,異體字 ,A00905,姆
󰊘,A00905-002,異體字 ,A00905,姆
姐,A00906,正字 ,A00906,姐
她,A00906-001,異體字 ,A00906,姐
媎,A00906-002,異體字 ,A00906,姐
毑,A00906-003,異體字 ,A00906,姐
姍,A00907,正字 ,A00907,姍
姗,A00907-001,異體字 ,A00907,姍
𡜜,A00907-002,異體字 ,A00907,姍
㛽,A00907-003,異體字 ,A00907,姍
始,A00908,正字 ,A00908,始
乨,A00908-001,異體字 ,A00908,始
𠃭,A00908-002,異體字 ,A00908,始
兘,A00908-003,異體字 ,A00908,始
𠙉,A00908-004,異體字 ,A00908,始
󱑕,A00908-005,異體字 ,A00908,始
󱑖,A00908-006,異體字 ,A00908,始
󱑗,A00908-008,異體字 ,A00908,始
󱑘,A00908-009,異體字 ,A00908,始
󱑙,A00908-009-1,異體字 ,A00908,始
󱑚,A00908-010,附錄字 ,A00908,始
姓,A00909,正字 ,A00909,姓
𤯕,A00909-001,異體字 ,A00909,姓
𤯣,A00909-002,異體字 ,A00909,姓
𤯧,A00909-003,異體字 ,A00909,姓
𤯬,A00909-004,異體字 ,A00909,姓
󱑛,A00909-005,異體字 ,A00909,姓
󱑜,A00909-006,異體字 ,A00909,姓
󱑝,A00909-007,異體字 ,A00909,姓
姊,A00910,正字 ,A00910,姊
𡛷,A00910-002,異體字 ,A00910,姊
󱑞,A00910-003,異體字 ,A00910,姊
󱑟,A00910-004,異體字 ,A00910,姊
󱑠,A00910-005,異體字 ,A00910,姊
,A00910-006,異體字 ,A00910,姊
󱑡,A00910-007,異體字 ,A00910,姊
妯,A00911,正字 ,A00911,妯
㛩,A00911-001-1,異體字 ,A00911,妯
妳,A00912,正字 ,A00912,妳
姒,A00913,正字 ,A00913,姒
㚶,A00913-001,異體字 ,A00913,姒
娰,A00913-002,異體字 ,A00913,姒
姜,A00914,正字 ,A00914,姜
󱑢,A00914-001,異體字 ,A00914,姜
󱑣,A00914-002,異體字 ,A00914,姜
𡜠,A00914-003,異體字 ,A00914,姜
姘,A00915,正字 ,A00915,姘
姘,A00915-001,異體字 ,A00915,姘
󱑤,A00915-002,異體字 ,A00915,姘
姿,A00916,正字 ,A00916,姿
󱑥,A00916-001,異體字 ,A00916,姿
󱑦,A00916-002,異體字 ,A00916,姿
󱑧,A00916-003,異體字 ,A00916,姿
󱑨,A00916-005,異體字 ,A00916,姿
󱑩,A00916-006,異體字 ,A00916,姿
󱑪,A00916-007,異體字 ,A00916,姿
󱑫,A00916-008,異體字 ,A00916,姿
󱑬,A00916-009,異體字 ,A00916,姿
󱑭,A00916-010,異體字 ,A00916,姿
姕,A00916-013,異體字 ,A00916,姿
姣,A00917,正字 ,A00917,姣
㚣,A00917-001,異體字 ,A00917,姣
𤕢,A00917-002,異體字 ,A00917,姣
姨,A00918,正字 ,A00918,姨
󱑮,A00918-003,異體字 ,A00918,姨
娃,A00919,正字 ,A00919,娃
姥,A00920,正字 ,A00920,姥
姪,A00921,正字 ,A00921,姪
妷,A00921-001,異體字 ,A00921,姪
𡥺,A00921-002,異體字 ,A00921,姪
侄,A00921-004,異體字 ,A00921,姪
󱑯,A00921-005,異體字 ,A00921,姪
姚,A00922,正字 ,A00922,姚
󱑰,A00922-001,異體字 ,A00922,姚
󱑱,A00922-002,異體字 ,A00922,姚
󱑲,A00922-003,異體字 ,A00922,姚
󱑳,A00922-004,異體字 ,A00922,姚
󱑴,A00922-005,異體字 ,A00922,姚
󱑵,A00922-006,異體字 ,A00922,姚
󱑶,A00922-007,異體字 ,A00922,姚
󱑷,A00922-008,異體字 ,A00922,姚
󱑸,A00922-009,異體字 ,A00922,姚
󱑹,A00922-009-1,異體字 ,A00922,姚
姦,A00923,正字 ,A00923,姦
姧,A00923-001,異體字 ,A00923,姦
𡜑,A00923-002,異體字 ,A00923,姦
𢙶,A00923-003,異體字 ,A00923,姦
󱑺,A00923-006-1,異體字 ,A00923,姦
󱑻,A00923-006-2,異體字 ,A00923,姦
𢛝,A00923-007,異體字 ,A00923,姦
威,A00924,正字 ,A00924,威
𤰴,A00924-001,異體字 ,A00924,威
𤱫,A00924-002,異體字 ,A00924,威
󱑼,A00924-003,異體字 ,A00924,威
󱑽,A00924-004,異體字 ,A00924,威
󱑾,A00924-005,異體字 ,A00924,威
󱑿,A00924-006,異體字 ,A00924,威
󱒀,A00924-007,異體字 ,A00924,威
󱒁,A00924-008,異體字 ,A00924,威
󱒂,A00924-009,異體字 ,A00924,威
󱒃,A00924-010,異體字 ,A00924,威
󱒄,A00924-011,異體字 ,A00924,威
󱒅,A00924-012,異體字 ,A00924,威
󱒆,A00924-013,異體字 ,A00924,威
姻,A00925,正字 ,A00925,姻
𡜭,A00925-001,異體字 ,A00925,姻
婣,A00925-002,異體字 ,A00925,姻
𤯠,A00925-003,異體字 ,A00925,姻
󱒇,A00925-004,異體字 ,A00925,姻
󱒈,A00925-005,異體字 ,A00925,姻
󱒉,A00925-006,異體字 ,A00925,姻
󱒊,A00925-007,異體字 ,A00925,姻
󱒋,A00925-008,異體字 ,A00925,姻
󱒌,A00925-009,異體字 ,A00925,姻
󱒍,A00925-010,異體字 ,A00925,姻
娑,A00926,正字 ,A00926,娑
𣯌,A00926-001,異體字 ,A00926,娑
𣯢,A00926-002,異體字 ,A00926,娑
娘,A00927,正字 ,A00927,娘
󱒎,A00927-001,異體字 ,A00927,娘
孃,A00927-005,異體字 ,A00927,娘
娜,A00928,正字 ,A00928,娜
𡟦,A00928-001,異體字 ,A00928,娜
󱒏,A00928-002,異體字 ,A00928,娜
󱒐,A00928-003,異體字 ,A00928,娜
󱒑,A00928-004,異體字 ,A00928,娜
娟,A00929,正字 ,A00929,娟
姢,A00929-001,異體字 ,A00929,娟
󱒒,A00929-002,異體字 ,A00929,娟
娛,A00930,正字 ,A00930,娛
娛,A00930-001,異體字 ,A00930,娛
娱,A00930-002,異體字 ,A00930,娛
娯,A00930-003,異體字 ,A00930,娛
󱒓,A00930-004,異體字 ,A00930,娛
󱒔,A00930-005,異體字 ,A00930,娛
󱒕,A00930-006,異體字 ,A00930,娛
󱒖,A00930-007,異體字 ,A00930,娛
󱒗,A00930-008,異體字 ,A00930,娛
娓,A00931,正字 ,A00931,娓
󱒘,A00931-001,附錄字 ,A00931,娓
姬,A00932,正字 ,A00932,姬
㚦,A00932-001,異體字 ,A00932,姬
姬,A00932-002,異體字 ,A00932,姬
󱒙,A00932-003,異體字 ,A00932,姬
󱒚,A00932-004,異體字 ,A00932,姬
󱒛,A00932-005,異體字 ,A00932,姬
󱒜,A00932-006,異體字 ,A00932,姬
󱒝,A00932-007,異體字 ,A00932,姬
󱒞,A00932-009,異體字 ,A00932,姬
󱒟,A00932-010,異體字 ,A00932,姬
󱒠,A00932-011,異體字 ,A00932,姬
姫,A00932-012,異體字 ,A00932,姬
󱒡,A00932-013,異體字 ,A00932,姬
󱒢,A00932-014,異體字 ,A00932,姬
󱒣,A00932-015,異體字 ,A00932,姬
󱒤,A00932-016,異體字 ,A00932,姬
󱒥,A00932-017,異體字 ,A00932,姬
󱒦,A00932-018,異體字 ,A00932,姬
󱒧,A00932-019,異體字 ,A00932,姬
󱒨,A00932-020,異體字 ,A00932,姬
󱒩,A00932-021,異體字 ,A00932,姬
󱒪,A00932-022,異體字 ,A00932,姬
󱒫,A00932-023,異體字 ,A00932,姬
󱒬,A00932-024,異體字 ,A00932,姬
姖,A00932-025,異體字 ,A00932,姬
󱒭,A00932-026,異體字 ,A00932,姬
󱒮,A00932-027,異體字 ,A00932,姬
󱒯,A00932-028,異體字 ,A00932,姬
󱒰,A00932-029,異體字 ,A00932,姬
󱒱,A00932-030,異體字 ,A00932,姬
󱒲,A00932-031,異體字 ,A00932,姬
󱒳,A00932-032,異體字 ,A00932,姬
󱒴,A00932-033,異體字 ,A00932,姬
㚶,A00932-034,異體字 ,A00932,姬
娠,A00933,正字 ,A00933,娠
㛛,A00933-001,異體字 ,A00933,娠
󱒵,A00933-003,異體字 ,A00933,娠
󱒶,A00933-004,異體字 ,A00933,娠
󱒷,A00933-005,異體字 ,A00933,娠
娣,A00934,正字 ,A00934,娣
󱒸,A00934-001,異體字 ,A00934,娣
娩,A00935,正字 ,A00935,娩
㝃,A00935-001,異體字 ,A00935,娩
󱒹,A00935-002,異體字 ,A00935,娩
󱒺,A00935-003,異體字 ,A00935,娩
󱒻,A00935-004,異體字 ,A00935,娩
㛯,A00935-008,異體字 ,A00935,娩
娥,A00936,正字 ,A00936,娥
󱒼,A00936-001,異體字 ,A00936,娥
䄉,A00936-002,異體字 ,A00936,娥
娌,A00937,正字 ,A00937,娌
娶,A00938,正字 ,A00938,娶
󱒽,A00938-001-1,異體字 ,A00938,娶
婁,A00939,正字 ,A00939,婁
𡇔,A00939-001,異體字 ,A00939,婁
娄,A00939-002,異體字 ,A00939,婁
𡜰,A00939-003,異體字 ,A00939,婁
𡝤,A00939-004,異體字 ,A00939,婁
𡡼,A00939-005,異體字 ,A00939,婁
𡞔,A00939-006,異體字 ,A00939,婁
𡝨,A00939-007,異體字 ,A00939,婁
𡡋,A00939-008,異體字 ,A00939,婁
󱒾,A00939-009,異體字 ,A00939,婁
󱒿,A00939-010,異體字 ,A00939,婁
󱓀,A00939-011,異體字 ,A00939,婁
󱓁,A00939-012,異體字 ,A00939,婁
󱓃,A00939-014,異體字 ,A00939,婁
󱓄,A00939-015,異體字 ,A00939,婁
󱓆,A00939-017,異體字 ,A00939,婁
󱓇,A00939-018,異體字 ,A00939,婁
󱓉,A00939-020,異體字 ,A00939,婁
󱓊,A00939-021,異體字 ,A00939,婁
󱓍,A00939-023-1,異體字 ,A00939,婁
󱓎,A00939-023-2,異體字 ,A00939,婁
󱓐,A00939-024,附錄字 ,A00939,婁
婉,A00940,正字 ,A00940,婉
󱓒,A00940-001,異體字 ,A00940,婉
󱓓,A00940-002,異體字 ,A00940,婉
󱓔,A00940-003,異體字 ,A00940,婉
,A00940-004,異體字 ,A00940,婉
󱓕,A00940-005,異體字 ,A00940,婉
󱓖,A00940-006,異體字 ,A00940,婉
󱓘,A00940-008,異體字 ,A00940,婉
䛷,A00940-009,異體字 ,A00940,婉
,A00940-010,異體字 ,A00940,婉
婦,A00941,正字 ,A00941,婦
媍,A00941-001,異體字 ,A00941,婦
󱓙,A00941-002,異體字 ,A00941,婦
婦,A00941-003,異體字 ,A00941,婦
𢽰,A00941-004,異體字 ,A00941,婦
󱓚,A00941-005,異體字 ,A00941,婦
󱓛,A00941-006,異體字 ,A00941,婦
󱓜,A00941-007,異體字 ,A00941,婦
󱓝,A00941-008,異體字 ,A00941,婦
󱓞,A00941-009,異體字 ,A00941,婦
婪,A00942,正字 ,A00942,婪
惏,A00942-001,異體字 ,A00942,婪
婀,A00943,正字 ,A00943,婀
妸,A00943-001,異體字 ,A00943,婀
娿,A00943-002,異體字 ,A00943,婀
󱓟,A00943-003,異體字 ,A00943,婀
娼,A00944,正字 ,A00944,娼
婢,A00945,正字 ,A00945,婢
󱓠,A00945-001,異體字 ,A00945,婢
󱓡,A00945-002,異體字 ,A00945,婢
󱓢,A00945-003,異體字 ,A00945,婢
󱓣,A00945-005,異體字 ,A00945,婢
婚,A00946,正字 ,A00946,婚
𡕽,A00946-001,異體字 ,A00946,婚
𡝪,A00946-002,異體字 ,A00946,婚
㛰,A00946-003,異體字 ,A00946,婚
𡕼,A00946-004,異體字 ,A00946,婚
𡖀,A00946-005,異體字 ,A00946,婚
󱓤,A00946-006,異體字 ,A00946,婚
󱓥,A00946-007,異體字 ,A00946,婚
󱓦,A00946-008,異體字 ,A00946,婚
󱓧,A00946-009,異體字 ,A00946,婚
󱓨,A00946-010,異體字 ,A00946,婚
󱓩,A00946-011,異體字 ,A00946,婚
󱓪,A00946-012,異體字 ,A00946,婚
婆,A00947,正字 ,A00947,婆
𡟖,A00947-001,異體字 ,A00947,婆
㜑,A00947-002,異體字 ,A00947,婆
𡣩,A00947-003,異體字 ,A00947,婆
󱓫,A00947-004,異體字 ,A00947,婆
󱓬,A00947-005,異體字 ,A00947,婆
婊,A00948,正字 ,A00948,婊
婷,A00949,正字 ,A00949,婷
󱓭,A00949-001,異體字 ,A00949,婷
媚,A00950,正字 ,A00950,媚
𡡾,A00950-001,異體字 ,A00950,媚
𡡚,A00950-002,異體字 ,A00950,媚
󱓮,A00950-003,異體字 ,A00950,媚
󱓯,A00950-004,異體字 ,A00950,媚
󱓰,A00950-005,異體字 ,A00950,媚
󱓱,A00950-006,異體字 ,A00950,媚
婿,A00951,正字 ,A00951,婿
壻,A00951-001,異體字 ,A00951,婿
𦕓,A00951-002,異體字 ,A00951,婿
𡎎,A00951-003,異體字 ,A00951,婿
,A00951-003-1,異體字 ,A00951,婿
󱓲,A00951-003-2,異體字 ,A00951,婿
𡠸,A00951-004,異體字 ,A00951,婿
聟,A00951-005,異體字 ,A00951,婿
󱓳,A00951-006,異體字 ,A00951,婿
󱓴,A00951-008,異體字 ,A00951,婿
󱓵,A00951-009,異體字 ,A00951,婿
󱓶,A00951-010,異體字 ,A00951,婿
󱓷,A00951-011,異體字 ,A00951,婿
󱓸,A00951-012,異體字 ,A00951,婿
󱓹,A00951-013,異體字 ,A00951,婿
,A00951-014,異體字 ,A00951,婿
󱓺,A00951-015,異體字 ,A00951,婿
𦖜,A00951-016-1,異體字 ,A00951,婿
󱓻,A00951-017,附錄字 ,A00951,婿
媒,A00952,正字 ,A00952,媒
媛,A00953,正字 ,A00953,媛
󱓼,A00953-001,異體字 ,A00953,媛
󱓽,A00953-002,異體字 ,A00953,媛
󱓿,A00953-004,異體字 ,A00953,媛
嫁,A00954,正字 ,A00954,嫁
嫉,A00955,正字 ,A00955,嫉
愱,A00955-001,異體字 ,A00955,嫉
𡜍,A00955-002,異體字 ,A00955,嫉
󱔀,A00955-003,異體字 ,A00955,嫉
𢞱,A00955-004,異體字 ,A00955,嫉
嫌,A00956,正字 ,A00956,嫌
󱔂,A00956-002,異體字 ,A00956,嫌
󱔄,A00956-004,異體字 ,A00956,嫌
󱔅,A00956-005,異體字 ,A00956,嫌
媾,A00957,正字 ,A00957,媾
󱔆,A00957-001,異體字 ,A00957,媾
󱔇,A00957-004,異體字 ,A00957,媾
󱔈,A00957-005,異體字 ,A00957,媾
媽,A00958,正字 ,A00958,媽
󱔉,A00958-002,異體字 ,A00958,媽
媼,A00959,正字 ,A00959,媼
媪,A00959-001,異體字 ,A00959,媼
󱔊,A00959-002,異體字 ,A00959,媼
媳,A00960,正字 ,A00960,媳
嫂,A00961,正字 ,A00961,嫂
㛐,A00961-001,異體字 ,A00961,嫂
㛮,A00961-002,異體字 ,A00961,嫂
㛮,A00961-003,異體字 ,A00961,嫂
󱔌,A00961-004,異體字 ,A00961,嫂
󱔍,A00961-005,異體字 ,A00961,嫂
󱔎,A00961-006,異體字 ,A00961,嫂
󱔏,A00961-007,異體字 ,A00961,嫂
󱔐,A00961-008,異體字 ,A00961,嫂
󱔑,A00961-009,異體字 ,A00961,嫂
媲,A00962,正字 ,A00962,媲
󱔒,A00962-001,異體字 ,A00962,媲
嫡,A00963,正字 ,A00963,嫡
𡡿,A00963-001,異體字 ,A00963,嫡
󱔕,A00963-004,異體字 ,A00963,嫡
嫦,A00964,正字 ,A00964,嫦
嫩,A00965,正字 ,A00965,嫩
嫰,A00965-001,異體字 ,A00965,嫩
𤯦,A00965-002,異體字 ,A00965,嫩
𤯯,A00965-003,異體字 ,A00965,嫩
𦠫,A00965-004,異體字 ,A00965,嫩
󱔖,A00965-005,異體字 ,A00965,嫩
媆,A00965-006,異體字 ,A00965,嫩
㜛,A00965-007,異體字 ,A00965,嫩
󱔗,A00965-008,異體字 ,A00965,嫩
󱔘,A00965-009,異體字 ,A00965,嫩
󱔙,A00965-011,異體字 ,A00965,嫩
󱔚,A00965-012,異體字 ,A00965,嫩
嫗,A00966,正字 ,A00966,嫗
󱔜,A00966-002,異體字 ,A00966,嫗
嫖,A00967,正字 ,A00967,嫖
𡤚,A00967-001,異體字 ,A00967,嫖
闝,A00967-002,異體字 ,A00967,嫖
嫘,A00968,正字 ,A00968,嫘
𡤯,A00968-001,異體字 ,A00968,嫘
嫣,A00969,正字 ,A00969,嫣
嬉,A00970,正字 ,A00970,嬉
󱔝,A00970-001,異體字 ,A00970,嬉
嫻,A00971,正字 ,A00971,嫻
嫺,A00971-001,異體字 ,A00971,嫻
󱔠,A00971-003,異體字 ,A00971,嫻
嬋,A00972,正字 ,A00972,嬋
婵,A00972-001,異體字 ,A00972,嬋
󱔢,A00972-004,異體字 ,A00972,嬋
𡠐,A00972-005,異體字 ,A00972,嬋
嫵,A00973,正字 ,A00973,嫵
娬,A00973-001,異體字 ,A00973,嫵
𡣆,A00973-002,異體字 ,A00973,嫵
󱔣,A00973-003,異體字 ,A00973,嫵
󱔤,A00973-004,異體字 ,A00973,嫵
嬌,A00974,正字 ,A00974,嬌
󱔥,A00974-001,異體字 ,A00974,嬌
󱔦,A00974-003,異體字 ,A00974,嬌
󱔧,A00974-004,異體字 ,A00974,嬌
󱔨,A00974-005,異體字 ,A00974,嬌
󱔩,A00974-006,異體字 ,A00974,嬌
嬝,A00975,正字 ,A00975,嬝
㜵,A00975-003,異體字 ,A00975,嬝
嬴,A00976,正字 ,A00976,嬴
𡢔,A00976-001,異體字 ,A00976,嬴
㜲,A00976-002,異體字 ,A00976,嬴
𡢣,A00976-005-1,異體字 ,A00976,嬴
𡣍,A00976-006,異體字 ,A00976,嬴
𦏝,A00976-007,異體字 ,A00976,嬴
󱔰,A00976-008,異體字 ,A00976,嬴
󱔱,A00976-009,異體字 ,A00976,嬴
󱔳,A00976-011,異體字 ,A00976,嬴
󱔹,A00976-017,異體字 ,A00976,嬴
󱔽,A00976-021,異體字 ,A00976,嬴
󱔾,A00976-022,異體字 ,A00976,嬴
嬰,A00977,正字 ,A00977,嬰
孆,A00977-001,異體字 ,A00977,嬰
孾,A00977-002,異體字 ,A00977,嬰
󱔿,A00977-003,異體字 ,A00977,嬰
󱓃,A00977-008,異體字 ,A00977,嬰
󱕆,A00977-011,異體字 ,A00977,嬰
󱕇,A00977-012,異體字 ,A00977,嬰
󱕈,A00977-013,異體字 ,A00977,嬰
󱕊,A00977-013-3,異體字 ,A00977,嬰
𦦿,A00977-013-5,異體字 ,A00977,嬰
嬪,A00978,正字 ,A00978,嬪
𡝏,A00978-001,異體字 ,A00978,嬪
娦,A00978-002,異體字 ,A00978,嬪
𡣑,A00978-004,異體字 ,A00978,嬪
𡤁,A00978-005,異體字 ,A00978,嬪
󱕍,A00978-006,異體字 ,A00978,嬪
𨊕,A00978-007,異體字 ,A00978,嬪
󱕏,A00978-009,異體字 ,A00978,嬪
󱕕,A00978-015,異體字 ,A00978,嬪
󱕖,A00978-016,異體字 ,A00978,嬪
󱕗,A00978-017,異體字 ,A00978,嬪
󱕙,A00978-019,異體字 ,A00978,嬪
󱕚,A00978-020,異體字 ,A00978,嬪
嬤,A00979,正字 ,A00979,嬤
𡡉,A00979-002,異體字 ,A00979,嬤
嬷,A00979-004,異體字 ,A00979,嬤
嬸,A00980,正字 ,A00980,嬸
󱕟,A00980-002,異體字 ,A00980,嬸
孀,A00981,正字 ,A00981,孀
󱕠,A00981-001,異體字 ,A00981,孀
子,A00982,正字 ,A00982,子
㜽,A00982-001,異體字 ,A00982,子
𡿹,A00982-002,異體字 ,A00982,子
𢀇,A00982-003,異體字 ,A00982,子
𢀈,A00982-004,異體字 ,A00982,子
𠙭,A00982-005,異體字 ,A00982,子
𡐫,A00982-006,異體字 ,A00982,子
𢀉,A00982-007,異體字 ,A00982,子
𣕓,A00982-008,異體字 ,A00982,子
󱕡,A00982-009,異體字 ,A00982,子
󱕢,A00982-010,異體字 ,A00982,子
󱕣,A00982-011,異體字 ,A00982,子
󱕤,A00982-013,異體字 ,A00982,子
󱕥,A00982-014,異體字 ,A00982,子
󱕦,A00982-015,異體字 ,A00982,子
󱕨,A00982-016-1,異體字 ,A00982,子
󱕩,A00982-016-2,異體字 ,A00982,子
孑,A00983,正字 ,A00983,孑
𡤼,A00983-001,異體字 ,A00983,孑
𠆨,A00983-002,異體字 ,A00983,孑
󱕪,A00983-003,異體字 ,A00983,孑
󱕫,A00983-004,異體字 ,A00983,孑
󱕬,A00983-005,異體字 ,A00983,孑
󱕭,A00983-006,異體字 ,A00983,孑
孓,A00984,正字 ,A00984,孓
孔,A00985,正字 ,A00985,孔
𡤿,A00985-003,異體字 ,A00985,孔
孕,A00986,正字 ,A00986,孕
㚺,A00986-001,異體字 ,A00986,孕
𡥗,A00986-002,異體字 ,A00986,孕
㞌,A00986-003,異體字 ,A00986,孕
𥀨,A00986-004,異體字 ,A00986,孕
𣎜,A00986-005-1,異體字 ,A00986,孕
𨈼,A00986-006,異體字 ,A00986,孕
𡢘,A00986-007,異體字 ,A00986,孕
󱕳,A00986-008,異體字 ,A00986,孕
󱕴,A00986-008-1,異體字 ,A00986,孕
󱕵,A00986-008-2,異體字 ,A00986,孕
󱕶,A00986-008-3,異體字 ,A00986,孕
󱕷,A00986-008-4,異體字 ,A00986,孕
󱕸,A00986-009,異體字 ,A00986,孕
󱕼,A00986-014,異體字 ,A00986,孕
󱕽,A00986-015,異體字 ,A00986,孕
󱕾,A00986-017,異體字 ,A00986,孕
󱕿,A00986-018,異體字 ,A00986,孕
󱖁,A00986-021,異體字 ,A00986,孕
󱖄,A00986-025,異體字 ,A00986,孕
󱖅,A00986-028,異體字 ,A00986,孕
󱖈,A00986-033,附錄字 ,A00986,孕
󱖊,A00986-035,附錄字 ,A00986,孕
字,A00987,正字 ,A00987,字
𡥜,A00987-001,異體字 ,A00987,字
𥤪,A00987-002,異體字 ,A00987,字
存,A00988,正字 ,A00988,存
𡥅,A00988-001-1,異體字 ,A00988,存
𠩯,A00988-004,異體字 ,A00988,存
侟,A00988-006,異體字 ,A00988,存
󱖎,A00988-007,異體字 ,A00988,存
孝,A00989,正字 ,A00989,孝
𢻯,A00989-001,異體字 ,A00989,孝
,A00989-006,異體字 ,A00989,孝
𡥈,A00989-009,異體字 ,A00989,孝
𡥉,A00989-010,異體字 ,A00989,孝
𡥍,A00989-011,異體字 ,A00989,孝
󱖓,A00989-012,異體字 ,A00989,孝
孜,A00990,正字 ,A00990,孜
孚,A00991,正字 ,A00991,孚
𤓽,A00991-001,異體字 ,A00991,孚
󱖖,A00991-002,異體字 ,A00991,孚
孟,A00992,正字 ,A00992,孟
𥁪,A00992-001,異體字 ,A00992,孟
󱖗,A00992-002,異體字 ,A00992,孟
󱖘,A00992-003,異體字 ,A00992,孟
󱖙,A00992-004,異體字 ,A00992,孟
󱖚,A00992-005,異體字 ,A00992,孟
󱖛,A00992-006,異體字 ,A00992,孟
󱖜,A00992-007,異體字 ,A00992,孟
󱖝,A00992-008,異體字 ,A00992,孟
󱖞,A00992-009,異體字 ,A00992,孟
󱖟,A00992-010,異體字 ,A00992,孟
󱖠,A00992-011,異體字 ,A00992,孟
󱖡,A00992-012,異體字 ,A00992,孟
󱖢,A00992-013,異體字 ,A00992,孟
󱖣,A00992-014,異體字 ,A00992,孟
󱖥,A00992-016,異體字 ,A00992,孟
孤,A00993,正字 ,A00993,孤
𦣮,A00993-001,異體字 ,A00993,孤
㜾,A00993-007,異體字 ,A00993,孤
󱖩,A00993-008,異體字 ,A00993,孤
󱖫,A00993-010,異體字 ,A00993,孤
季,A00994,正字 ,A00994,季
𡦠,A00994-001,異體字 ,A00994,季
𩐖,A00994-003,異體字 ,A00994,季
𡥞,A00994-004,異體字 ,A00994,季
孩,A00995,正字 ,A00995,孩
㜾,A00995-001,異體字 ,A00995,孩
䪱,A00995-002,異體字 ,A00995,孩
𠹛,A00995-004,異體字 ,A00995,孩
姟,A00995-004-1,異體字 ,A00995,孩
孫,A00996,正字 ,A00996,孫
𡤾,A00996-001,異體字 ,A00996,孫
󱖷,A00996-007,異體字 ,A00996,孫
孰,A00997,正字 ,A00997,孰
𠅩,A00997-001,異體字 ,A00997,孰
𩪿,A00997-003,異體字 ,A00997,孰
󱗀,A00997-009,異體字 ,A00997,孰
󱗁,A00997-010,異體字 ,A00997,孰
󱗂,A00997-011,異體字 ,A00997,孰
孳,A00998,正字 ,A00998,孳
孶,A00998-001,異體字 ,A00998,孳
𡥝,A00998-003,異體字 ,A00998,孳
𢀐,A00998-004,異體字 ,A00998,孳
𢇖,A00998-005,異體字 ,A00998,孳
󱗄,A00998-006,異體字 ,A00998,孳
孱,A00999,正字 ,A00999,孱
孵,A01000,正字 ,A01000,孵
𡥭,A01000-002,異體字 ,A01000,孵
󱗈,A01000-006,異體字 ,A01000,孵
學,A01001,正字 ,A01001,學
𡕕,A01001-001,異體字 ,A01001,學
斈,A01001-002,異體字 ,A01001,學
𢻯,A01001-004,異體字 ,A01001,學
斅,A01001-005,異體字 ,A01001,學
𣁃,A01001-006,異體字 ,A01001,學
󱗌,A01001-009,異體字 ,A01001,學
󱗍,A01001-010,異體字 ,A01001,學
孺,A01002,正字 ,A01002,孺
𡦗,A01002-001,異體字 ,A01002,孺
𡦘,A01002-002,異體字 ,A01002,孺
󱗝,A01002-003,異體字 ,A01002,孺
孽,A01003,正字 ,A01003,孽
㜸,A01003-001,異體字 ,A01003,孽
孼,A01003-002,異體字 ,A01003,孽
𦽆,A01003-003,異體字 ,A01003,孽
𦾨,A01003-004,異體字 ,A01003,孽
𡦣,A01003-005,異體字 ,A01003,孽
𧃯,A01003-006,異體字 ,A01003,孽
󱗧,A01003-010,異體字 ,A01003,孽
󱗨,A01003-011-1,異體字 ,A01003,孽
󱗩,A01003-012,異體字 ,A01003,孽
孿,A01004,正字 ,A01004,孿
㝈,A01004-001,異體字 ,A01004,孿
孪,A01004-002,異體字 ,A01004,孿
𤲶,A01004-003,異體字 ,A01004,孿
它,A01005,正字 ,A01005,它
󱗽,A01005-002,異體字 ,A01005,它
佗,A01005-003,異體字 ,A01005,它
宇,A01006,正字 ,A01006,宇
𠨯,A01006-001,異體字 ,A01006,宇
㙑,A01006-002,異體字 ,A01006,宇
𡧈,A01006-003,異體字 ,A01006,宇
㝢,A01006-004,異體字 ,A01006,宇
㡰,A01006-006,異體字 ,A01006,宇
𢉠,A01006-007,異體字 ,A01006,宇
穻,A01006-008,異體字 ,A01006,宇
𡧈,A01006-009,異體字 ,A01006,宇
󱗳,A01006-010,異體字 ,A01006,宇
󱗴,A01006-011,異體字 ,A01006,宇
󱗵,A01006-012,異體字 ,A01006,宇
󱗸,A01006-015,異體字 ,A01006,宇
󱗹,A01006-016,異體字 ,A01006,宇
󱗺,A01006-017,異體字 ,A01006,宇
󱗻,A01006-018,異體字 ,A01006,宇
守,A01007,正字 ,A01007,守
垨,A01007-001,異體字 ,A01007,守
㝊,A01007-002,異體字 ,A01007,守
𡬮,A01007-003,異體字 ,A01007,守
𡬴,A01007-004,異體字 ,A01007,守
󴦣,A01007-006,異體字 ,A01007,守
宅,A01008,正字 ,A01008,宅
𡊾,A01008-001,異體字 ,A01008,宅
𡧜,A01008-002,異體字 ,A01008,宅
𡧪,A01008-003,異體字 ,A01008,宅
㡯,A01008-004,異體字 ,A01008,宅
󱗾,A01008-005,異體字 ,A01008,宅
󱗿,A01008-006,異體字 ,A01008,宅
