polity_id	display_name	start_year	end_year	type	periods	english_name	english_page_title	ja_page_title	ja_name_source	raw_dates	interval_index	date_basis	region_en	province_en	review_status	notes
japan.shimodate	下館藩	1478	1871	藩	室町時代;安土桃山時代;江戸時代;明治時代	Shimodate	Shimodate Domain	下館藩	html_alternate_ja	de facto: 1478-1871/de jure: 1589-1871		polity	Kantō region	Hitachi Province (Present-day Central Ibaraki Prefecture)	selected_de_facto_dates	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.tsuchiura	土浦藩	1429	1871	藩	室町時代;安土桃山時代;江戸時代;明治時代	Tsuchiura	Tsuchiura Domain	土浦藩	html_alternate_ja	de facto: 1429-1871/de jure: 1604-1871		polity	Kantō region	Hitachi Province (Present-day Central Ibaraki Prefecture)	selected_de_facto_dates	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.kurohane	黒羽藩	1819	1871	藩	江戸時代;明治時代	Kurohane	Kurobane Domain	黒羽藩	html_alternate_ja	1819-1871		polity	Kantō region	Shimotsuke Province (Present-day Tochigi Prefecture)	link_label_differs_from_page	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.kitsuregawa		1593	1870	藩	安土桃山時代;江戸時代;明治時代	Kitsuregawa	Kitsuregawa Domain			1593-1870		polity	Kantō region	Shimotsuke Province (Present-day Tochigi Prefecture)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.fukiage		1842	1871	藩	江戸時代;明治時代	Fukiage	Fukiage Domain			1842-1871		polity	Kantō region	Shimotsuke Province (Present-day Tochigi Prefecture)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.ashikaga	足利藩	1688	1692	藩	江戸時代	Ashikaga	Ashikaga Domain	足利藩	html_alternate_ja	1688-1692/1705-1871	1	polity	Kantō region	Shimotsuke Province (Present-day Tochigi Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.ashikaga	足利藩	1705	1871	藩	江戸時代;明治時代	Ashikaga	Ashikaga Domain	足利藩	html_alternate_ja	1688-1692/1705-1871	2	polity	Kantō region	Shimotsuke Province (Present-day Tochigi Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.tatebayashi	館林藩	1590	1683	藩	安土桃山時代;江戸時代	Tatebayashi	Tatebayashi Domain	館林藩	html_alternate_ja	1590-1683/1707-1734/1740-1871	1	polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.tatebayashi	館林藩	1707	1734	藩	江戸時代	Tatebayashi	Tatebayashi Domain	館林藩	html_alternate_ja	1590-1683/1707-1734/1740-1871	2	polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.tatebayashi	館林藩	1740	1871	藩	江戸時代;明治時代	Tatebayashi	Tatebayashi Domain	館林藩	html_alternate_ja	1590-1683/1707-1734/1740-1871	3	polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.isezaki	伊勢崎藩	1601	1617	藩	安土桃山時代;江戸時代	Isezaki	Isesaki Domain	伊勢崎藩	html_alternate_ja	1601-1617/1636-1662/1681-1871	1	polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	link_label_differs_from_page;multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.isezaki	伊勢崎藩	1636	1662	藩	江戸時代	Isezaki	Isesaki Domain	伊勢崎藩	html_alternate_ja	1601-1617/1636-1662/1681-1871	2	polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	link_label_differs_from_page;multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.isezaki	伊勢崎藩	1681	1871	藩	江戸時代;明治時代	Isezaki	Isesaki Domain	伊勢崎藩	html_alternate_ja	1601-1617/1636-1662/1681-1871	3	polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	link_label_differs_from_page;multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.maebashi	前橋藩	1601	1767	藩	安土桃山時代;江戸時代	Maebashi	Maebashi Domain	前橋藩	html_alternate_ja	1601-1767/1867-1871	1	polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.maebashi	前橋藩	1867	1871	藩	江戸時代;明治時代	Maebashi	Maebashi Domain	前橋藩	html_alternate_ja	1601-1767/1867-1871	2	polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.yoshii	吉井藩	1590	1610	藩	安土桃山時代;江戸時代	Yoshii	Yoshii Domain	吉井藩	html_alternate_ja	1590-1610/1682-1693/1709-1871	1	polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.yoshii	吉井藩	1682	1693	藩	江戸時代	Yoshii	Yoshii Domain	吉井藩	html_alternate_ja	1590-1610/1682-1693/1709-1871	2	polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.yoshii	吉井藩	1709	1871	藩	江戸時代;明治時代	Yoshii	Yoshii Domain	吉井藩	html_alternate_ja	1590-1610/1682-1693/1709-1871	3	polity	Kantō region	Kōzuke Province (Present-day Gunma Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.tateyama	館山藩	1590	1614	藩	安土桃山時代;江戸時代	Tateyama	Tateyama Domain	館山藩	html_alternate_ja	1590-1614/1781-1871	1	polity	Kantō region	Awa Province (Present-day Southern Chiba Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.tateyama	館山藩	1781	1871	藩	江戸時代;明治時代	Tateyama	Tateyama Domain	館山藩	html_alternate_ja	1590-1614/1781-1871	2	polity	Kantō region	Awa Province (Present-day Southern Chiba Prefecture)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.kuki		1684	1798	藩	江戸時代	Kuki	Kuki Domain			1684-1798		polity	Kantō region	Musashi Province (Present-day Tokyo, Saitama, Northern Kanagawa and Western Chiba Prefectures)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.oshi	忍藩	1590	1600	藩	安土桃山時代	Oshi	Oshi Domain	忍藩	html_alternate_ja	1590-1600/1633-1871	1	polity	Kantō region	Musashi Province (Present-day Tokyo, Saitama, Northern Kanagawa and Western Chiba Prefectures)	multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
