polity_id	display_name	start_year	end_year	type	periods	english_name	english_page_title	ja_page_title	ja_name_source	raw_dates	interval_index	date_basis	region_en	province_en	review_status	notes
japan.fukushima	福島藩	1679	1868	藩	江戸時代	Fukushima	Fukushima Domain	福島藩	html_alternate_ja	1679-1868		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.shichinohe	七戸藩	1819	1871	藩	江戸時代;明治時代	Shichinohe	Shichinohe Domain	七戸藩	html_alternate_ja	1819-1871		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.yanagawa_domain_mutsu	梁川藩	1683	1821	藩	江戸時代	Yanagawa Domain (Mutsu)	Yanagawa Domain (Mutsu)	梁川藩	html_alternate_ja	1683-1821		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.soma_nakamura	相馬中村藩	1625	1871	藩	江戸時代;明治時代	Sōma Nakamura	Sōma Nakamura Domain	相馬中村藩	html_alternate_ja	1625-1871		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.tanagura	棚倉藩	1603	1866	藩	江戸時代	Tanagura	Tanagura Domain	棚倉藩	html_alternate_ja	1603-1866		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.shirakawa	白河藩	1627	1866	藩	江戸時代	Shirakawa	Shirakawa Domain	白河藩	html_alternate_ja	1627-1866		polity	Tōhoku	Mutsu Province (Present-day Fukushima, Miyagi, Iwate and Aomori Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.kubota	久保田藩	1602	1871	藩	安土桃山時代;江戸時代;明治時代	Kubota	Kubota Domain	久保田藩	html_alternate_ja	1602-1871		polity	Tōhoku	Dewa Province (Present-day Yamagata and Akita Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.tsuruoka	庄内藩	1622	1871	藩	江戸時代;明治時代	Tsuruoka	Tsuruoka Domain	庄内藩	html_alternate_ja	1622-1871		polity	Tōhoku	Dewa Province (Present-day Yamagata and Akita Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.dewa_matsuyama		1647	1871	藩	江戸時代;明治時代	Dewa-Matsuyama	Dewa-Matsuyama Domain			1647-1871		polity	Tōhoku	Dewa Province (Present-day Yamagata and Akita Prefectures)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.oyama		1647	1668	藩	江戸時代	Ōyama	Ōyama Domain			1647-1668		polity	Tōhoku	Dewa Province (Present-day Yamagata and Akita Prefectures)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.nigaho		1623	1624	藩	江戸時代	Nigaho	Nigaho Domain			1623-1624		polity	Tōhoku	Dewa Province (Present-day Yamagata and Akita Prefectures)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.yamagata	山形藩	1357	1871	藩	室町時代;安土桃山時代;江戸時代;明治時代	Yamagata	Yamagata Domain	山形藩	html_alternate_ja	de jure: 1357-1871/ De jure:1600-1870		polity	Tōhoku	Dewa Province (Present-day Yamagata and Akita Prefectures)	selected_de_jure_dates_no_de_facto_available	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.yonezawa	米沢藩	1238	1871	藩	鎌倉時代;室町時代;安土桃山時代;江戸時代;明治時代	Yonezawa	Yonezawa Domain	米沢藩	html_alternate_ja	de facto: 1238-1871/de jure: 1601-1871		polity	Tōhoku	Dewa Province (Present-day Yamagata and Akita Prefectures)	selected_de_facto_dates	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.nagatoro	長瀞藩	1789	1869	藩	江戸時代;明治時代	Nagatoro	Nagatoro Domain	長瀞藩	html_alternate_ja	1789-1869		polity	Tōhoku	Dewa Province (Present-day Yamagata and Akita Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.kameda	亀田藩	1623	1871	藩	江戸時代;明治時代	Kameda	Kameda Domain	亀田藩	html_alternate_ja	1623-1871		polity	Tōhoku	Dewa Province (Present-day Yamagata and Akita Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.honjo	本荘藩	1623	1868	藩	江戸時代	Honjō	Honjō Domain	本荘藩	html_alternate_ja	1623-1868		polity	Tōhoku	Dewa Province (Present-day Yamagata and Akita Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.shinjo	新庄藩	1622	1871	藩	江戸時代;明治時代	Shinjō	Shinjō Domain	新庄藩	html_alternate_ja	1622-1871		polity	Tōhoku	Dewa Province (Present-day Yamagata and Akita Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.kaminoyama	上山藩	1622	1871	藩	江戸時代;明治時代	Kaminoyama	Kaminoyama Domain	上山藩	html_alternate_ja	1622-1871		polity	Tōhoku	Dewa Province (Present-day Yamagata and Akita Prefectures)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.tendo	天童藩	1345	1584	藩	室町時代;安土桃山時代	Tendo	Tendō Domain	天童藩	html_alternate_ja	de facto: 1345-1584,1830-1871/de jure: 1830-1871	1	polity	Tōhoku	Dewa Province (Present-day Yamagata and Akita Prefectures)	selected_de_facto_dates;link_label_differs_from_page;multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.tendo	天童藩	1830	1871	藩	江戸時代;明治時代	Tendo	Tendō Domain	天童藩	html_alternate_ja	de facto: 1345-1584,1830-1871/de jure: 1830-1871	2	polity	Tōhoku	Dewa Province (Present-day Yamagata and Akita Prefectures)	selected_de_facto_dates;link_label_differs_from_page;multiple_intervals	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.yonezawashinden		1719	1869	藩	江戸時代;明治時代	Yonezawashinden	Yonezawashinden Domain			1719-1869		polity	Tōhoku	Dewa Province (Present-day Yamagata and Akita Prefectures)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.mito	水戸藩	1416	1871	藩	室町時代;安土桃山時代;江戸時代;明治時代	Mito	Mito Domain	水戸藩	html_alternate_ja	de facto 1416-1871/de jure: 1602-1871		polity	Kantō region	Hitachi Province (Present-day Central Ibaraki Prefecture)	selected_de_facto_dates	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.matsukawa		1870	1871	藩	明治時代	Matsukawa	Matsukawa Domain			1870-1871		polity	Kantō region	Hitachi Province (Present-day Central Ibaraki Prefecture)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.matsuoka	常陸松岡藩	1602	1861	藩	安土桃山時代;江戸時代	Matsuoka	Matsuoka Domain	常陸松岡藩	html_alternate_ja	1602-1861		polity	Kantō region	Hitachi Province (Present-day Central Ibaraki Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.kasama	笠間藩	1219	1871	藩	鎌倉時代;室町時代;安土桃山時代;江戸時代;明治時代	Kasama	Kasama Domain	笠間藩	html_alternate_ja	de facto: 1219-1871/de jure: 1601-1871		polity	Kantō region	Hitachi Province (Present-day Central Ibaraki Prefecture)	selected_de_facto_dates	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.shishido	常陸宍戸藩	1602	1871	藩	安土桃山時代;江戸時代;明治時代	Shishido	Shishido Domain	常陸宍戸藩	html_alternate_ja	1602-1871		polity	Kantō region	Hitachi Province (Present-day Central Ibaraki Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.shimotsuma	下妻藩	1591	1871	藩	安土桃山時代;江戸時代;明治時代	Shimotsuma	Shimotsuma Domain	下妻藩	html_alternate_ja	1591-1871		polity	Kantō region	Hitachi Province (Present-day Central Ibaraki Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.shimodate	下館藩	1478	1871	藩	室町時代;安土桃山時代;江戸時代;明治時代	Shimodate	Shimodate Domain	下館藩	html_alternate_ja	de facto: 1478-1871/de jure: 1589-1871		polity	Kantō region	Hitachi Province (Present-day Central Ibaraki Prefecture)	selected_de_facto_dates	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.hitachi_fuchu	常陸府中藩	1602	1871	藩	安土桃山時代;江戸時代;明治時代	Hitachi-Fuchū	Hitachi-Fuchū Domain	常陸府中藩	html_alternate_ja	1602-1871		polity	Kantō region	Hitachi Province (Present-day Central Ibaraki Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.tsuchiura	土浦藩	1429	1871	藩	室町時代;安土桃山時代;江戸時代;明治時代	Tsuchiura	Tsuchiura Domain	土浦藩	html_alternate_ja	de facto: 1429-1871/de jure: 1604-1871		polity	Kantō region	Hitachi Province (Present-day Central Ibaraki Prefecture)	selected_de_facto_dates	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.aso	麻生藩	1604	1871	藩	江戸時代;明治時代	Asō	Asō Domain	麻生藩	html_alternate_ja	1604-1871		polity	Kantō region	Hitachi Province (Present-day Central Ibaraki Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.yatabe	谷田部藩	1616	1871	藩	江戸時代;明治時代	Yatabe	Yatabe Domain	谷田部藩	html_alternate_ja	1616-1871		polity	Kantō region	Hitachi Province (Present-day Central Ibaraki Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.ushiku	牛久藩	1628	1871	藩	江戸時代;明治時代	Ushiku	Ushiku Domain	牛久藩	html_alternate_ja	1628-1871		polity	Kantō region	Hitachi Province (Present-day Central Ibaraki Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.kurohane	黒羽藩	1819	1871	藩	江戸時代;明治時代	Kurohane	Kurobane Domain	黒羽藩	html_alternate_ja	1819-1871		polity	Kantō region	Shimotsuke Province (Present-day Tochigi Prefecture)	link_label_differs_from_page	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.otawara	大田原藩	1600	1871	藩	安土桃山時代;江戸時代;明治時代	Ōtawara	Ōtawara Domain	大田原藩	html_alternate_ja	1600-1871		polity	Kantō region	Shimotsuke Province (Present-day Tochigi Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.kitsuregawa		1593	1870	藩	安土桃山時代;江戸時代;明治時代	Kitsuregawa	Kitsuregawa Domain			1593-1870		polity	Kantō region	Shimotsuke Province (Present-day Tochigi Prefecture)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.utsunomiya	宇都宮藩	1601	1871	藩	安土桃山時代;江戸時代;明治時代	Utsunomiya	Utsunomiya Domain	宇都宮藩	html_alternate_ja	1601-1871		polity	Kantō region	Shimotsuke Province (Present-day Tochigi Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.mibu	壬生藩	1601	1871	藩	安土桃山時代;江戸時代;明治時代	Mibu	Mibu Domain	壬生藩	html_alternate_ja	1601-1871		polity	Kantō region	Shimotsuke Province (Present-day Tochigi Prefecture)	ok	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
japan.fukiage		1842	1871	藩	江戸時代;明治時代	Fukiage	Fukiage Domain			1842-1871		polity	Kantō region	Shimotsuke Province (Present-day Tochigi Prefecture)	missing_japanese_name	Dates from English List of han; Japanese names resolved from manual overrides or non-API English page HTML.
